loc_code	x	y	target_groupnr	description	type	certain	phab	groupnr	group_name	type_name	type_shortname	typeclass_name	selectie	typelevel	main_type	typeclass	hydr_class	hydr_class_name	hydr_class_shortname	groundw_dep	groundw_dep_name	groundw_dep_shortname	flood_dep	flood_dep_name	flood_dep_shortname	tag_1	tag_1_name	tag_1_shortname	tag_2	tag_2_name	tag_2_shortname	tag_3	tag_3_name	tag_3_shortname
ALMP003	110287	185136	4	100% 9130_end	9130_end	1	100	4	4	95	95	10	1	2	54	10	2	2	2	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHP009	203834	177051	2	70% rbbmr; 30% gh	rbbmr	1	70	2	3	88	88	8	-1	1	49	8	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASBP003	238036	179497	3	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	6230_hmo	1	10	4	4	51	51	7	1	2	31	7	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASBP003	238036	179497	3	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	7140_meso	1	10	1	5	80	80	8	1	2	43	8	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASBP003	238036	179497	3	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	rbbhc	1	60	3	2	68	68	7	1	1	36	7	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASBP003	238036	179497	3	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	rbbmc	1	20	2	3	87	87	8	1	1	48	8	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
BOEP003	107334	170403	4	100% 91E0_va	91E0_va	1	100	4	4	102	102	10	-1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRAP009	165408	210432	4	100% 91E0_va	91E0_va	1	100	4	4	102	102	10	-1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
BTRP001	101924	164018	4	100% 9130_end	9130_end	1	100	4	4	95	95	10	1	2	54	10	2	2	2	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUCP010	229690	170679	3	70% gh; 30% 6430_hf,rbbhf	6430_hf	0	30	3	2	59	59	7	-1	2	33	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUCP010	229690	170679	3	70% gh; 30% 6430_hf,rbbhf	rbbhf	0	30	3	2	69	69	7	-1	1	37	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
COOP001	146113	196127	1	100% 91E0_vm	91E0_vm	1	100	1	5	104	104	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DORP002	154427	193391	3	100% 6430_hf,rbbhf,bos	6430_hf	0	100	3	2	59	59	7	1	2	33	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DORP002	154427	193391	3	100% 6430_hf,rbbhf,bos	rbbhf	0	100	3	2	69	69	7	1	1	37	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DORP024	154823	182431	4	100% 6510_hus	6510_hus	1	100	4	4	66	66	7	1	2	34	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPBP007	221649	179772	2	100% rbbmr	rbbmr	1	100	2	3	88	88	8	-1	1	49	8	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUNP012	178707	179625	4	100% 91E0_va	91E0_va	1	100	4	4	102	102	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DYLP029	169238	167404	2	70% rbbmr; 30% gh	rbbmr	1	70	2	3	88	88	8	1	1	49	8	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DYLP037	169802	167510	4	70% 9160; 30% 91E0_vc	9160	1	70	4	4	98	98	10	1	1	56	10	2	2	2	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DYLP037	169802	167510	4	70% 9160; 30% 91E0_vc	91E0_vc	1	30	1	5	103	103	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSCP017	167657	229201	3	100% 91E0_vn	91E0_vn	1	100	3	2	105	105	10	1	2	58	10	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
HAGP019	224064	217725	2	60% rbbmr; 30% gh; 10% rbbsf	rbbmr	1	60	2	3	88	88	8	1	1	49	8	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
HAGP019	224064	217725	2	60% rbbmr; 30% gh; 10% rbbsf	rbbsf	1	10	3	2	109	109	10	1	1	61	10	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
HAGP023	222955	217220	3	80% 4010; 20% 7150	4010	1	80	3	2	38	38	5	1	1	24	5	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HAGP023	222955	217220	3	80% 4010; 20% 7150	7150	1	20	3	2	83	83	8	1	1	44	8	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HALP001	143431	155389	4	90% 91E0_va; 10% 91E0_vc; 0% 7220	91E0_va	1	90	4	4	102	102	10	-1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HALP001	143431	155389	4	90% 91E0_va; 10% 91E0_vc; 0% 7220	91E0_vc	1	10	1	5	103	103	10	-1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HALP005	144281	156162	4	90% 91E0_va; 10% 9130_end; 0% 91E0_vc; 0% 7220,gh	9130_end	1	10	4	4	95	95	10	-1	2	54	10	2	2	2	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HALP005	144281	156162	4	90% 91E0_va; 10% 9130_end; 0% 91E0_vc; 0% 7220,gh	91E0_va	1	90	4	4	102	102	10	-1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HALP005	144281	156162	4	90% 91E0_va; 10% 9130_end; 0% 91E0_vc; 0% 7220,gh	91E0_vc	1	0	1	5	103	103	10	-1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HBTP007	212986	193133	3	60% rbbhc; 20% rbbms; 20% rbbhf	rbbhc	1	60	3	2	68	68	7	1	1	36	7	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HBTP007	212986	193133	3	60% rbbhc; 20% rbbms; 20% rbbhf	rbbhf	1	20	3	2	69	69	7	1	1	37	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
HBTP007	212986	193133	3	60% rbbhc; 20% rbbms; 20% rbbhf	rbbms	1	20	2	3	89	89	8	1	1	50	8	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
IJSP023	166813	166073	4	80% 91E0_va; 20% 91E0_vn	91E0_va	1	80	4	4	102	102	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
IJSP023	166813	166073	4	80% 91E0_va; 20% 91E0_vn	91E0_vn	1	20	3	2	105	105	10	1	2	58	10	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ITTP212	242307	202672	1	100% 91E0_vm	91E0_vm	1	100	1	5	104	104	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
