target_groupnr	groupnr	type	type_shortname	aandeel
1	4	6230_hmo	51	2
1	3	6410_mo	55	0
1	1	7140_meso	80	7
1	1	91E0_vm	104	73
1	1	91E0_vo	106	5
1	2	rbbmr	88	3
1	3	rbbso	110	1
2	3	rbbhfl	70	1
2	2	rbbmc	87	5
2	2	rbbmr	88	46
2	2	rbbms	89	8
2	3	rbbsf	109	1
3	3	1330_hpr	10	3
3	3	4010	38	17
3	4	6230_hmo	51	0
3	3	6430_hf	59	6
3	1	7140_meso	80	0
3	1	7140_oli	82	2
3	3	7150	83	2
3	1	91E0_vc	103	0
3	3	91E0_vn	105	9
3	3	rbbhc	68	19
3	3	rbbhf	69	12
3	3	rbbhfl	70	3
3	2	rbbmc	87	1
3	2	rbbms	89	1
3	3	rbbsm	41	0
4	5	2130_hd	15	1
4	4	2160	17	1
4	4	2170	18	2
4	4	2190_overig	23	8
4	4	6510_hua	64	4
4	4	6510_hus	66	4
4	4	9130_end	95	9
4	4	9160	98	15
4	4	91E0_va	102	22
4	1	91E0_vc	103	2
4	1	91E0_vm	104	1
4	3	91E0_vn	105	1
