unieknr	polygon_id	description_orig	description	source	phab	certain	type	groupnr	typegroup_name	rasterid	opp	geselecteerd_basis	geselecteerd_reserve	OBJECTID
31007	39689	60% gh; 40% 9160	60% gh; 40% 9160	1	40	1	98	4	14	114	1429	0	1	293875
31021	40401	70% 9160; 30% gh	70% 9160; 30% gh	1	70	1	98	4	14	114	789	0	1	293875
30926	42362	60% 9160; 20% rbbsp; 10% gh; 10% 6510,gh	60% 9160; 20% rbbsp; 10% gh; 10% 6510_hu,gh	2	60	1	98	4	14	114	8094	0	1	293875
31020	45861	80% gh; 20% 9160	80% gh; 20% 9160	1	20	1	98	4	14	114	3632	0	1	293875
31122	52043	100% 9160	100% 9160	1	100	1	98	4	14	114	1292	0	1	293875
31220	53551	100% 9160	100% 9160	1	100	1	98	4	14	114	11797	0	1	293875
31207	54768	100% 9160	100% 9160	1	100	1	98	4	14	114	58877	0	1	293875
31192	54833	100% 9160	100% 9160	1	100	1	98	4	14	114	3044	0	1	293875
31214	54834	100% 9160	100% 9160	1	100	1	98	4	14	114	2694	0	1	293875
31208	54893	100% 9160	100% 9160	1	100	1	98	4	14	114	8101	0	1	293875
31189	54898	100% 9160	100% 9160	1	100	1	98	4	14	114	3738	0	1	293875
31254	55880	70% 9120; 30% 9160	70% 9120; 30% 9160	1	30	1	98	4	14	114	5820	1	1	293875
31118	56666	100% 9160	100% 9160	1	100	1	98	4	14	114	1212	0	1	293875
31226	58932	100% 9160	100% 9160	1	100	1	98	4	14	114	5531	0	1	293875
31238	59087	100% 9160	100% 9160	1	100	1	98	4	14	114	1658	0	1	293875
31241	60329	70% 9160; 30% 9120	70% 9160; 30% 9120	1	70	1	98	4	14	114	7255	0	1	293875
31229	60362	70% 9160; 30% 9120	70% 9160; 30% 9120	1	70	1	98	4	14	114	18988	0	1	293875
31225	60566	100% 9160	100% 9160	1	100	1	98	4	14	114	23015	0	1	293875
31230	60598	100% 9160	100% 9160	1	100	1	98	4	14	114	15277	0	1	293875
31237	60639	100% 9160	100% 9160	1	100	1	98	4	14	114	16635	0	1	293875
31251	60670	100% 9160	100% 9160	1	100	1	98	4	14	114	6918	0	1	293875
31331	60671	100% 9160	100% 9160	1	100	1	98	4	14	114	1554	0	1	293875
31242	61892	100% 9160	100% 9160	1	100	1	98	4	14	114	659	0	1	293875
31240	63858	100% 9160	100% 9160	1	100	1	98	4	14	114	6015	0	1	293875
31249	64118	100% 9160	100% 9160	1	100	1	98	4	14	114	1720	0	1	293875
31239	64214	70% gh; 30% 9160	70% gh; 30% 9160	1	30	1	98	4	14	114	2260	0	1	293875
31243	64218	100% 9160	100% 9160	1	100	1	98	4	14	114	804	0	1	293875
31245	64220	100% 9160	100% 9160	1	100	1	98	4	14	114	1869	0	1	293875
31250	64235	100% 9160	100% 9160	1	100	1	98	4	14	114	2598	0	1	293875
31247	64244	100% 9160	100% 9160	1	100	1	98	4	14	114	1614	0	1	293875
31232	69776	100% 9160	100% 9160	1	100	1	98	4	14	114	5041	0	1	293875
31289	69777	70% 91E0_vc; 30% 9160; 0% 7220	70% 91E0_vc; 30% 9160; 0% 7220	1	30	1	98	4	14	114	7925	0	1	293875
22788	32636	90% gh; 10% 9130; 0% 7220	90% gh; 10% 9130_end; 0% 7220	2	10	1	95	4	14	121	908243	1	1	293875
11998	41041	60% gh; 20% rbbmr; 20% rbbsf	60% gh; 20% rbbmr; 20% rbbsf	1	20	1	109	3	13	233	160022	0	1	293875
12007	68351	60% rbbmr; 30% rbbsf; 10% gh	60% rbbmr; 30% rbbsf; 10% gh	1	30	1	109	3	13	233	352939	1	1	293875
22725	26909	100% 9130_end	100% 9130_end	1	100	1	95	4	14	249	7553	0	1	293875
22732	38486	75% 9120; 25% 9130_end	75% 9120; 25% 9130_end	1	25	1	95	4	14	249	41277	1	1	293875
22733	38640	100% 9130_end	100% 9130_end	1	100	1	95	4	14	249	16458	0	1	293875
22724	26908	100% 91E0_va	100% 91E0_va	1	100	1	102	4	14	249	18449	0	1	293875
33274	20316	100% 9130_end	100% 9130_end	1	100	1	95	4	14	313	34418	0	1	293875
33276	20656	100% 9130_end	100% 9130_end	1	100	1	95	4	14	313	5102	0	1	293875
33278	20735	100% 9130_end	100% 9130_end	1	100	1	95	4	14	313	11857	1	1	293875
33279	20736	100% 9130_end	100% 9130_end	1	100	1	95	4	14	313	7451	0	1	293875
33280	20760	100% 9130_end	100% 9130_end	1	100	1	95	4	14	313	44871	0	1	293875
33281	20763	100% 9130_end	100% 9130_end	1	100	1	95	4	14	313	41547	0	1	293875
33282	20765	100% 9130_end	100% 9130_end	1	100	1	95	4	14	313	20916	0	1	293875
33287	21273	100% 9130_end	100% 9130_end	1	100	1	95	4	14	313	698	0	1	293875
33288	21274	100% 9130_end	100% 9130_end	1	100	1	95	4	14	313	2146	0	1	293875
33290	24090	100% 9130_end	100% 9130_end	1	100	1	95	4	14	313	1410	0	1	293875
33291	24091	100% 9130_end	100% 9130_end	1	100	1	95	4	14	313	92351	0	1	293875
33292	24092	100% 9130_end	100% 9130_end	1	100	1	95	4	14	313	80706	0	1	293875
33293	24093	100% 9130_end	100% 9130_end	1	100	1	95	4	14	313	7859	0	1	293875
33299	30707	100% 9130_end	100% 9130_end	1	100	1	95	4	14	313	37782	0	1	293875
33302	35783	100% 9130_end	100% 9130_end	1	100	1	95	4	14	313	151255	0	1	293875
33303	44788	100% 9130_end	100% 9130_end	1	100	1	95	4	14	313	16302	0	1	293875
33284	20961	70% 91E0_va; 30% 91E0_vc	70% 91E0_va; 30% 91E0_vc	1	70	1	102	4	14	313	7910	0	1	293875
33286	21271	100% 91E0_va	100% 91E0_va	1	100	1	102	4	14	313	15267	0	1	293875
33294	25804	95% 91E0_va; 5% 91E0_vc; 0% 7220,gh	95% 91E0_va; 5% 91E0_vc; 0% 7220,gh	1	95	1	102	4	14	313	9354	0	1	293875
28118	55728	70% 9120; 30% 9160	70% 9120; 30% 9160	1	30	1	98	4	14	422	58457	0	1	293875
27990	56031	70% 9120; 30% 9160	70% 9120; 30% 9160	1	30	1	98	4	14	422	23715	0	1	293875
27982	56077	70% 9120; 30% 9160	70% 9120; 30% 9160	1	30	1	98	4	14	422	2815	0	1	293875
27984	56108	70% 9120; 30% 9160	70% 9120; 30% 9160	1	30	1	98	4	14	422	12004	0	1	293875
27988	56179	70% 9120; 30% 9160	70% 9120; 30% 9160	1	30	1	98	4	14	422	4841	0	1	293875
28074	56198	70% 9120; 30% 9160	70% 9120; 30% 9160	1	30	1	98	4	14	422	17500	0	1	293875
27971	60348	70% 9160; 30% 9120	70% 9160; 30% 9120	1	70	1	98	4	14	422	40205	1	1	293875
11694	29854	60% 91E0_sf; 100% 1130; 20% rbbmr	60% 91E0_sf; 100% 1130; 20% rbbmr	1	20	1	88	2	12	425	22530	0	1	293875
11716	40180	70% rbbmr; 30% gh	70% rbbmr; 30% gh	1	70	1	88	2	12	425	15838	0	1	293875
11724	54214	70% rbbmr; 30% 6430,rbbhf	70% rbbmr; 30% 6430_hf,rbbhf	2	70	1	88	2	12	425	4996	1	1	293875
11772	58864	70% 91E0_sf; 100% 1130; 30% rbbmr	70% 91E0_sf; 100% 1130; 30% rbbmr	1	30	1	88	2	12	425	9894	0	1	293875
11750	67394	100% 1130; 20% 91E0_sf; 80% rbbmr	100% 1130; 20% 91E0_sf; 80% rbbmr	1	80	1	88	2	12	425	7518	0	1	293875
4521	28756	100% 1130; 100% rbbmr	100% 1130; 100% rbbmr	1	100	1	88	2	12	445	906	0	1	293875
4588	28951	100% 1130; 100% rbbmr	100% 1130; 100% rbbmr	1	100	1	88	2	12	445	1173	0	1	293875
4591	28961	100% 1130; 100% rbbmr	100% 1130; 100% rbbmr	1	100	1	88	2	12	445	79	0	1	293875
4654	31135	100% 1130; 100% rbbmr	100% 1130; 100% rbbmr	1	100	1	88	2	12	445	19860	0	1	293875
4659	31351	100% 1130; 100% rbbmr	100% 1130; 100% rbbmr	1	100	1	88	2	12	445	215013	1	1	293875
26910	18900	100% 9130_end	100% 9130_end	1	100	1	95	4	14	505	1341	0	1	293875
26912	18902	70% 9130_end; 30% 9120	70% 9130_end; 30% 9120	1	70	1	95	4	14	505	5189	0	1	293875
26915	18906	100% 9130_end	100% 9130_end	1	100	1	95	4	14	505	7214	0	1	293875
26916	18907	100% 9130_end	100% 9130_end	1	100	1	95	4	14	505	2034	0	1	293875
26918	18909	80% 9130_end; 20% 91E0_vc	80% 9130_end; 20% 91E0_vc	1	80	1	95	4	14	505	5064	0	1	293875
26922	18911	60% gh; 40% 9130_end	60% gh; 40% 9130_end	1	40	1	95	4	14	505	22119	0	1	293875
26925	18914	60% gh; 40% 9130_end	60% gh; 40% 9130_end	1	40	1	95	4	14	505	29740	0	1	293875
26931	18943	100% 9130_end	100% 9130_end	1	100	1	95	4	14	505	5655	0	1	293875
26935	23118	100% 9130_end	100% 9130_end	1	100	1	95	4	14	505	1614	0	1	293875
26977	31062	80% 91E0_va; 20% 9130_end	80% 91E0_va; 20% 9130_end	1	20	1	95	4	14	505	34980	1	1	293875
26909	18899	100% 91E0_va	100% 91E0_va	1	100	1	102	4	14	505	12877	0	1	293875
26913	18904	100% 91E0_va	100% 91E0_va	1	100	1	102	4	14	505	5862	0	1	293875
26921	18910	50% 91E0_vc; 50% 91E0_va	50% 91E0_vc; 50% 91E0_va	1	50	1	102	4	14	505	7892	0	1	293875
26964	25274	100% 91E0_va	100% 91E0_va	1	100	1	102	4	14	505	14617	0	1	293875
26965	25580	80% 91E0_va; 20% 91E0_vc	80% 91E0_va; 20% 91E0_vc	1	80	1	102	4	14	505	47324	0	1	293875
26969	29177	100% 91E0_va	100% 91E0_va	1	100	1	102	4	14	505	10720	0	1	293875
26979	31596	100% 91E0_va	100% 91E0_va	1	100	1	102	4	14	505	2880	0	1	293875
6994	43183	100% 6430,rbbhf	100% 6430_hf,rbbhf	2	100	0	69	3	13	530	3648	0	1	293875
6996	52370	70% rbbhc; 30% rbbmc	70% rbbhc; 30% rbbmc	1	30	1	87	2	12	530	8888	0	1	293875
7059	40689	70% gh; 30% rbbmr	70% gh; 30% rbbmr	1	30	1	88	2	12	530	26364	0	1	293875
6992	41246	70% gh; 30% rbbmr	70% gh; 30% rbbmr	1	30	1	88	2	12	530	80389	0	1	293875
6991	41299	70% 3130; 30% rbbmr	70% 3130; 30% rbbmr	1	30	1	88	2	12	530	5839	0	1	293875
6988	43142	70% gh; 30% rbbmr	70% gh; 30% rbbmr	1	30	1	88	2	12	530	36423	1	1	293875
7023	53640	100% rbbmr	100% rbbmr	1	100	1	88	2	12	530	2952	0	1	293875
7060	53816	70% rbbmr; 30% gh	70% rbbmr; 30% gh	1	70	1	88	2	12	530	7917	0	1	293875
7012	59251	100% rbbmr,bos	100% rbbmr,bos	1	100	0	88	2	12	530	34061	0	1	293875
7066	59305	100% rbbmr,bos	100% rbbmr,bos	1	100	0	88	2	12	530	13141	0	1	293875
7021	45927	100% 91E0_vn	100% 91E0_vn	1	100	1	105	3	13	530	98772	1	1	293875
7045	64988	100% 91E0_vn	100% 91E0_vn	1	100	1	105	3	13	530	62197	0	1	293875
