loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	polygon_id	description_orig	phab	certain	type	groupnr	rasterid	opp	filterdepth	soilsurf_ost	description	typegroup_name	source	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
AABP002	AAB	Aabeek	177903	209459	2	1	1	1	417393_v2018	100% rbbhc	100	1	rbbhc	3	982	18127	2.47	9.59	100% rbbhc	2	1	4	2	10.12	4	2
AABP013	AAB	Aabeek	178315	209637	2	1	1	1	542556_v2016	100% 91E0_vn	100	1	91E0_vn	3	982	10623	1.71	10.34	100% 91E0_vn	2	1	4	2	10.34	2.71	2
AABP013	AAB	Aabeek	178315	209637	2	1	1	1	555285_v2016	100% 91E0_vm	100	1	91E0_vm	1	982	11958	1.71	10.34	100% 91E0_vm	5	1	4	2	10.34	2.71	2
AABP014	AAB	Aabeek	178310	209590	2	1	1	1	555285_v2016	100% 91E0_vm	100	1	91E0_vm	1	982	11958	1.74	9.41	100% 91E0_vm	5	1	4	2	9.41	2.74	2
AABP016	AAB	Aabeek	178328	209502	2	1	1	1	555285_v2016	100% 91E0_vm	100	1	91E0_vm	1	982	11958	2.07	9.93	100% 91E0_vm	5	1	4	2	9.93	3.07	2
AABP017	AAB	Aabeek	178370	209461	2	1	1	1	417707_v2018	50% rbbhf; 50% gh	50	1	rbbhf	3	982	6132	1.72	9.31	50% rbbhf; 50% gh	2	1	4	2	9.31	2.72	2
AABP019	AAB	Aabeek	178417	209404	2	1	1	1	416155_v2018	60% rbbhc; 40% gh	60	1	rbbhc	3	982	4514	1.73	9.49	60% rbbhc; 40% gh	2	1	4	2	9.49	2.73	2
AABP059	AAB	Aabeek	177355	209634	2	1	1	1	462036_v2018	100% 91E0_vm	100	1	91E0_vm	1	726	1669	1.25	9.035	100% 91E0_vm	5	1	3	1	9.275	1.69	0.4
AABP060	AAB	Aabeek	177751	209664	2	1	1	1	449439_v2018	50% rbbhc; 50% gh	50	1	rbbhc	3	982	6985	1	9.274	50% rbbhc; 50% gh	2	1	3	1	9.664	1.59	0.4
AABP063	AAB	Aabeek	178910	209535	2	1	1	1	552181_v2016	60% rbbhc; 40% gh	60	1	rbbhc	3	982	5742	1.71	9.515	60% rbbhc; 40% gh	2	1	2	5	9.875	2.27	0.4
ABEP011	ABE	Abeek	230541	195642	2	1	1	1	529602_v2018	100% 9190	100	1	9190	5	978	7913	1.19	75	100% 9190	1	1	4	2	75.08	1.42	0.3
ABEP014	ABE	Abeek	230569	195670	2	1	1	1	529602_v2018	100% 9190	100	1	9190	5	978	7913	1.714	74.654	100% 9190	1	1	4	2	75.504	2.714	0.3
ABEP021	ABE	Abeek	229808	202035	2	1	1	1	456018_v2018	70% rbbmr; 30% rbbhf	30	1	rbbhf	3	978	17805	1.31	58.6	70% rbbmr; 30% rbbhf	2	1	4	2	59.18	2.04	0.3
ABEP021	ABE	Abeek	229808	202035	2	1	1	1	456018_v2018	70% rbbmr; 30% rbbhf	70	1	rbbmr	2	978	17805	1.31	58.6	70% rbbmr; 30% rbbhf	3	1	4	2	59.18	2.04	0.3
ABEP022	ABE	Abeek	229849	202009	2	1	1	1	456018_v2018	70% rbbmr; 30% rbbhf	30	1	rbbhf	3	978	17805	1.52	57.689	70% rbbmr; 30% rbbhf	2	1	4	2	58.579	2.56	0.3
ABEP022	ABE	Abeek	229849	202009	2	1	1	1	456018_v2018	70% rbbmr; 30% rbbhf	70	1	rbbmr	2	978	17805	1.52	57.689	70% rbbmr; 30% rbbhf	3	1	4	2	58.579	2.56	0.3
ABEP023	ABE	Abeek	229904	201967	2	1	1	1	487026_v2018	90% 91E0_vm; 10% 91E0_va	10	1	91E0_va	4	978	6665	1.84	56.36	90% 91E0_vm; 10% 91E0_va	4	1	4	2	56.4	2.03	0.3
ABEP023	ABE	Abeek	229904	201967	2	1	1	1	487026_v2018	90% 91E0_vm; 10% 91E0_va	90	1	91E0_vm	1	978	6665	1.84	56.36	90% 91E0_vm; 10% 91E0_va	5	1	4	2	56.4	2.03	0.3
ABEP024	ABE	Abeek	229859	202086	2	1	1	1	551428_v2018	70% rbbmr; 30% rbbhf	30	1	rbbhf	3	978	4972	1.56	58.089	70% rbbmr; 30% rbbhf	2	1	4	2	58.979	2.6	0.3
ABEP024	ABE	Abeek	229859	202086	2	1	1	1	551428_v2018	70% rbbmr; 30% rbbhf	70	1	rbbmr	2	978	4972	1.56	58.089	70% rbbmr; 30% rbbhf	3	1	4	2	58.979	2.6	0.3
ABEP025	ABE	Abeek	229890	202069	2	1	1	1	551428_v2018	70% rbbmr; 30% rbbhf	30	1	rbbhf	3	978	4972	1.6	57.558	70% rbbmr; 30% rbbhf	2	1	3	1	58.858	3.05	0.3
ABEP025	ABE	Abeek	229890	202069	2	1	1	1	551428_v2018	70% rbbmr; 30% rbbhf	70	1	rbbmr	2	978	4972	1.6	57.558	70% rbbmr; 30% rbbhf	3	1	3	1	58.858	3.05	0.3
ABEP025	ABE	Abeek	229890	202069	2	1	1	1	551429_v2018	100% rbbsf	100	1	rbbsf	3	978	4413	1.6	57.558	100% rbbsf	2	1	3	1	58.858	3.05	0.3
ABEP027	ABE	Abeek	229792	202062	2	1	1	1	530254_v2018	90% gh; 10% 91E0_vn	10	1	91E0_vn	3	978	3222	0.73	59.14	90% gh; 10% 91E0_vn	2	1	4	2	60.2	1.94	0.3
ABEP031	ABE	Abeek	230661	203698	2	1	1	1	551293_v2018	70% 7140_meso; 30% 3130_aom	70	1	7140_meso	1	18	3636	1.7	52.4	70% 7140_meso; 30% 3130_aom	5	1	3	1	53.07	2.52	0.3
ABEP032	ABE	Abeek	230638	203714	2	1	1	1	551275_v2018	100% rbbhf	100	1	rbbhf	3	18	3279	2.14	53.04	100% rbbhf	2	1	3	1	54.24	3.49	0.3
ABEP033	ABE	Abeek	230608	203730	2	1	1	1	551275_v2018	100% rbbhf	100	1	rbbhf	3	18	3279	1.32	54.114	100% rbbhf	2	1	4	2	54.834	2.04	0
ABEP034	ABE	Abeek	230678	203741	2	1	1	1	551293_v2018	70% 7140_meso; 30% 3130_aom	70	1	7140_meso	1	18	3636	2.11	52.099	70% 7140_meso; 30% 3130_aom	5	1	4	2	52.719	2.73	0
ABEP035	ABE	Abeek	230667	203754	2	1	1	1	551275_v2018	100% rbbhf	100	1	rbbhf	3	18	3279	1.49	52.398	100% rbbhf	2	1	3	1	53.448	2.69	0.3
ABEP035	ABE	Abeek	230667	203754	2	1	1	1	551277_v2018	60% rbbsf; 40% rbbmr	40	1	rbbmr	2	18	2930	1.49	52.398	60% rbbsf; 40% rbbmr	3	1	3	1	53.448	2.69	0.3
ABEP035	ABE	Abeek	230667	203754	2	1	1	1	551277_v2018	60% rbbsf; 40% rbbmr	60	1	rbbsf	3	18	2930	1.49	52.398	60% rbbsf; 40% rbbmr	2	1	3	1	53.448	2.69	0.3
ABEP036	ABE	Abeek	230650	203767	2	1	1	1	551275_v2018	100% rbbhf	100	1	rbbhf	3	18	3279	2.17	52.87	100% rbbhf	2	1	4	2	53.88	3.33	0.3
ABEP037	ABE	Abeek	230642	203779	2	1	1	1	551275_v2018	100% rbbhf	100	1	rbbhf	3	18	3279	1.16	54.062	100% rbbhf	2	1	3	1	55.212	2.46	0.3
ABEP041	ABE	Abeek	231078	204310	2	1	1	1	551229_v2018	100% rbbmr	100	1	rbbmr	2	18	4717	1.4	50.034	100% rbbmr	3	1	4	2	50.664	2.03	0
ABEP041	ABE	Abeek	231078	204310	2	1	1	1	551235_v2018	100% rbbmr	100	1	rbbmr	2	18	1550	1.4	50.034	100% rbbmr	3	1	4	2	50.664	2.03	0
ABEP042	ABE	Abeek	231054	204335	2	1	1	1	551231_v2018	100% rbbhc	100	1	rbbhc	3	18	1102	1.25	51.209	100% rbbhc	2	1	4	2	51.709	2	0.5
ABEP042	ABE	Abeek	231054	204335	2	1	1	1	551233_v2018	100% 6230,6410	100	0	6410_mo	3	18	4037	1.25	51.209	100% 6230,6410_mo	2	2	4	2	51.709	2	0.5
ABEP043	ABE	Abeek	231032	204357	2	1	1	1	551231_v2018	100% rbbhc	100	1	rbbhc	3	18	1102	1.11	52.3	100% rbbhc	2	1	3	1	53.45	2.51	0.5
ABEP043	ABE	Abeek	231032	204357	2	1	1	1	551233_v2018	100% 6230,6410	100	0	6410_mo	3	18	4037	1.11	52.3	100% 6230,6410_mo	2	2	3	1	53.45	2.51	0.5
ABEP044	ABE	Abeek	231093	204330	2	1	1	1	551229_v2018	100% rbbmr	100	1	rbbmr	2	18	4717	2.04	50.282	100% rbbmr	3	1	3	1	50.832	2.59	0
ABEP045	ABE	Abeek	231081	204382	2	1	1	1	551233_v2018	100% 6230,6410	100	0	6410_mo	3	18	4037	1.97	51.34	100% 6230,6410_mo	2	2	3	1	52.35	3.23	0.5
ABEP046	ABE	Abeek	231056	204396	2	1	1	1	551233_v2018	100% 6230,6410	100	0	6410_mo	3	18	4037	1.57	52.191	100% 6230,6410_mo	2	2	3	1	53.211	2.59	0
ABEP047	ABE	Abeek	231013	204367	2	1	1	1	551231_v2018	100% rbbhc	100	1	rbbhc	3	18	1102	1.55	52.65	100% rbbhc	2	1	7	7	53.4	2.3	0
ABEP049	ABE	Abeek	229263	195819	2	1	1	1	471181_v2018	40% gh; 40% rbbkam; 10% 6230_ha; 10% rbbhc	10	1	rbbhc	3	978	21999	1.85	76.85	40% gh; 40% rbbkam; 10% 6230_ha; 10% rbbhc	2	1	6	3	76.85	2	0.3
ABEP049	ABE	Abeek	229263	195819	2	1	1	1	471181_v2018	40% gh; 40% rbbkam; 10% 6230_ha; 10% rbbhc	40	1	rbbkam	5	978	21999	1.85	76.85	40% gh; 40% rbbkam; 10% 6230_ha; 10% rbbhc	1	1	6	3	76.85	2	0.3
ABEP107	ABE	Abeek	244825	206241	2	1	1	1	514856_v2018	70% rbbsf; 30% gh	70	1	rbbsf	3	402	23708	1.43	31.61	70% rbbsf; 30% gh	2	1	3	1	32.63	2.95	1
ABEP108	ABE	Abeek	244920	206371	2	1	1	1	514915_v2018	90% rbbmr; 10% rbbhf; 0% 3150	10	1	rbbhfl	3	402	2729	2.35	32.48	90% rbbmr; 10% rbbhfl; 0% 3150	2	2	3	1	33.63	4	1
ABEP108	ABE	Abeek	244920	206371	2	1	1	1	514915_v2018	90% rbbmr; 10% rbbhf; 0% 3150	90	1	rbbmr	2	402	2729	2.35	32.48	90% rbbmr; 10% rbbhfl; 0% 3150	3	2	3	1	33.63	4	1
ABEP109	ABE	Abeek	244859	206507	2	1	1	1	514927_v2018	90% rbbmr; 10% rbbhf; 0% 3150	10	1	rbbhfl	3	402	1097	2.25	32.67	90% rbbmr; 10% rbbhfl; 0% 3150	2	2	3	1	33.92	4	1
ABEP109	ABE	Abeek	244859	206507	2	1	1	1	514927_v2018	90% rbbmr; 10% rbbhf; 0% 3150	90	1	rbbmr	2	402	1097	2.25	32.67	90% rbbmr; 10% rbbhfl; 0% 3150	3	2	3	1	33.92	4	1
ABEP116	ABE	Abeek	242112	208630	2	1	1	1	514390_v2018	100% 9190	100	1	9190	5	146	18792	2.05	33.32	100% 9190	1	1	3	1	33.72	2.95	1
ABEP119	ABE	Abeek	240908	208538	2	1	1	1	577910_v2018	100% 91E0_vm	100	1	91E0_vm	1	146	87439	0.6	33.44	100% 91E0_vm	5	1	3	1	34.34	2	1
ABEP120	ABE	Abeek	240944	208726	2	1	1	1	550271_v2018	100% 9190	100	1	9190	5	146	18512	2.06	33.87	100% 9190	1	1	3	1	34.31	3	1
ABEP121	ABE	Abeek	240946	209037	2	1	1	1	514462_v2018	100% 91E0_vm	100	1	91E0_vm	1	146	178022	1.58	33.81	100% 91E0_vm	5	1	3	1	34.68	2.95	1
ABEP121	ABE	Abeek	240946	209037	2	1	1	1	514483_v2018	100% 91E0_vm	100	1	91E0_vm	1	146	23208	1.58	33.81	100% 91E0_vm	5	1	3	1	34.68	2.95	1
ABEP122	ABE	Abeek	240978	209184	2	1	1	1	514483_v2018	100% 91E0_vm	100	1	91E0_vm	1	146	23208	2.15	33.53	100% 91E0_vm	5	1	3	1	33.88	3	1
ABEP126	ABE	Abeek	239178	208571	2	1	1	1	550405_v2018	100% 91E0_vm	100	1	91E0_vm	1	146	13756	1.44	34.88	100% 91E0_vm	5	1	3	1	35.89	2.95	1
ABEP130	ABE	Abeek	243072	207172	1	2	1	1	550152_v2018	50% 91E0_vm; 50% 9190	50	1	9190	5	146	52370	2.17	32.41	50% 91E0_vm; 50% 9190	1	1	3	1	33.64	3.9	1
ABEP130	ABE	Abeek	243072	207172	1	2	1	1	550152_v2018	50% 91E0_vm; 50% 9190	50	1	91E0_vm	1	146	52370	2.17	32.41	50% 91E0_vm; 50% 9190	5	1	3	1	33.64	3.9	1
ABEP131	ABE	Abeek	243044	207218	2	1	1	1	550152_v2018	50% 91E0_vm; 50% 9190	50	1	9190	5	146	52370	1.92	32.2	50% 91E0_vm; 50% 9190	1	1	3	1	32.78	3	1
ABEP131	ABE	Abeek	243044	207218	2	1	1	1	550152_v2018	50% 91E0_vm; 50% 9190	50	1	91E0_vm	1	146	52370	1.92	32.2	50% 91E0_vm; 50% 9190	5	1	3	1	32.78	3	1
ABEP133	ABE	Abeek	245756	206792	1	2	1	1	609597_v2018	100% rbbmr	100	1	rbbmr	2	402	6334	2.18	32.07	100% rbbmr	3	1	3	1	33.33	3.94	1
AHRP007	AHR	Antwerpse haven rechteroever	145765	225074	2	1	1	1	550470_v2016	80% gh; 20% rbbmr	20	1	rbbmr	2	957	59882	1.699	3.359	80% gh; 20% rbbmr	3	1	3	1	3.759	2.099	0
AHRP008	AHR	Antwerpse haven rechteroever	145766	225074	2	1	1	1	550470_v2016	80% gh; 20% rbbmr	20	1	rbbmr	2	957	59882	2.152	3.412	80% gh; 20% rbbmr	3	1	3	1	3.692	2.432	0
AHRP009	AHR	Antwerpse haven rechteroever	145901	224859	2	1	1	1	550470_v2016	80% gh; 20% rbbmr	20	1	rbbmr	2	957	59882	2.048	3.638	80% gh; 20% rbbmr	3	1	3	1	3.938	2.348	0
AHRP010	AHR	Antwerpse haven rechteroever	145900	224859	2	1	1	1	550470_v2016	80% gh; 20% rbbmr	20	1	rbbmr	2	957	59882	2.993	3.823	80% gh; 20% rbbmr	3	1	3	1	4.033	3.203	0
ALMP001	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109770	185010	2	1	1	1	659245_v2014	100% 91E0_va	100	1	91E0_va	4	601	8585	1.44	13.9	100% 91E0_va	4	1	4	2	14.68	2.37	0.3
ALMP002	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109744	185010	2	1	1	1	651807_v2014	100% 91E0_va	100	1	91E0_va	4	601	13491	1.05	13.42	100% 91E0_va	4	1	4	2	13.8	1.58	0.3
