jaar	gem_jaar	og_jaar	bg_jaar	var_sim	dag_onder_p01_mean	dag_onder_p05_mean	dag_onder_p10_mean	dag_onder_p30_mean	dag_onder_p01_median	dag_onder_p05_median	dag_onder_p10_median	dag_onder_p30_median	gem_jaar_t	gem_og_t	gem_bg_t	og_jaar_t	bg_jaar_t
1985	5.77884978216878	4.2075015115782	7.93703928875023	0.0262135358054172	1.02894736842105	3.28333333333333	8.00350877192983	61.8535087719298	0	0	1	57	1.75420466325645	1.48897107415552	2.01937269759771	1.4368690063408	2.07154032017211
1986	8.21166219594383	6.41969179112198	10.5038369775861	0.0157765460395227	3.52327586206897	14.7948275862069	29.5560344827586	86.8258620689655	0	11	29	92	2.10555536289217	1.90623804337763	2.3062332977859	1.85937010893607	2.35174061684827
1987	11.5676139404485	9.34909069486748	14.3125889610547	0.01180218457157	0.0922413793103448	0.456034482758621	1.35862068965517	17.7853448275862	0	0	0	9	2.44820929180009	2.26672516059655	2.62427053589406	2.23527908668549	2.66113949691468
1988	16.8799041337543	14.0678220837696	20.2541062765833	0.0086446107875587	0.0862068965517241	0.807758620689655	2.51293103448276	28.4827586206897	0	0	0	21	2.82612380987172	2.67051064981268	2.97991449141616	2.64389006765727	3.00835755208618
1989	24.2323879498909	20.3588396340227	28.8429319307916	0.00789694159731727	36.9836206896552	69.4551724137931	93.2379310344828	154.640517241379	33	73	100	161	3.187690083414	3.04784506844175	3.3321598199824	3.01351519762316	3.36186496920485
1990	28.876139307306	24.5559590201456	33.9563777823082	0.00683668012415565	45.1896551724138	72.5741379310345	94.9586206896552	169.358620689655	35	65	90	164	3.36301562459365	3.22705338839451	3.50338905603222	3.20095455473121	3.52507669445608
1991	28.091965762533	24.0256771964663	32.8464639706136	0.006364170932532	16.4068965517241	35.1387931034483	54.4112068965517	131.43275862069	6	27	47	128	3.33548361953386	3.19510148390481	3.47621800246911	3.17912314161691	3.4918440974508
1992	25.5477168272643	20.8250802987671	31.3413358182692	0.0108744362750271	1.73448275862069	7.25689655172414	15.3387931034483	69.5525862068965	0	3	11	71	3.24054795168865	3.06024426404562	3.40939020075038	3.03615804392865	3.44493785944866
1993	24.5344456146291	19.6733050664915	30.5967410957524	0.0126924859251539	7.36810344827586	22.7646551724138	40.9103448275862	116.338793103448	2	18	37	120	3.20007807359182	3.01104692415214	3.37651432023734	2.97926264403566	3.42089350314798
1994	25.1045646242773	20.7517987636497	30.3703390801229	0.00943839579288007	7.80172413793103	19.7594827586207	30.9637931034483	74.351724137931	1.5	17	34	81	3.22304968714459	3.06194987052948	3.37921765355216	3.03263293032438	3.4134664439648
