jaar	gem_jaar	gem_og	gem_bg	og_jaar	bg_jaar	dag_onder_p01_mean	dag_onder_p05_mean	dag_onder_p10_mean	dag_onder_p30_mean	dag_onder_p01_median	dag_onder_p05_median	dag_onder_p10_median	dag_onder_p30_median
1985	10.2469146693248	7.16841341457321	14.9724884816368	1.45319576255465	41.0074727101611	1.02894736842105	3.28333333333333	8.00350877192983	61.8535087719298	0	0	1	57
1986	19.4213708669507	15.8013258291532	24.0829675614997	12.4258704540206	31.1370831675679	3.52327586206897	14.7948275862069	29.5560344827586	86.8258620689655	0	11	29	92
1987	7.15795352821805	3.59611759324049	14.8769560550974	-0.148366444091325	60.5028749918238	0.0922413793103448	0.456034482758621	1.35862068965517	17.7853448275862	0	0	0	9
1988	8.0395632812019	4.57174963792202	14.6843140097709	-1.39035484245083	70.3397689531593	0.0862068965517241	0.807758620689655	2.51293103448276	28.4827586206897	0	0	0	21
1989	76.279160451536	63.5299542509091	92.3608814583482	50.0185542291905	120.483431520324	36.9836206896552	69.4551724137931	93.2379310344828	154.640517241379	33	73	100	161
1990	69.6022980944766	58.2029278422626	83.9073846876062	51.012097340224	98.0236505913251	45.1896551724138	72.5741379310345	94.9586206896552	169.358620689655	35	65	90	164
1991	35.8180261511768	29.6461740086212	43.6392419029311	24.9568682453388	53.6502096313826	16.4068965517241	35.1387931034483	54.4112068965517	131.43275862069	6	27	47	128
1992	12.291632733906	9.56735015441674	15.9714751630279	6.58216413548221	24.3314967229467	1.73448275862069	7.25689655172414	15.3387931034483	69.5525862068965	0	3	11	71
1993	23.628501574225	19.4946689783124	28.8719115232741	15.0514370955858	38.6468077984808	7.36810344827586	22.7646551724138	40.9103448275862	116.338793103448	2	18	37	120
1994	29.1381722029642	23.6307856550252	36.2892322332292	19.6117816988838	48.7098270620504	7.80172413793103	19.7594827586207	30.9637931034483	74.351724137931	1.5	17	34	81
1995	45.6673117916657	37.8998663112472	55.4917458595038	34.2394427160822	62.7978228848871	21.0801724137931	40.2715517241379	56.9818965517241	119.962931034483	19	41	58	123
1996	60.1274780792641	50.2711158141625	72.4928329008548	44.6116465036001	83.1691200546491	35.7181034482759	63.4396551724138	86.0637931034483	158.428448275862	27	57	79	151
1997	33.3229770713552	27.6276489796679	40.5214888982155	24.8228991850401	45.9375522716506	16.3991379310345	35.8465517241379	55.2413793103448	132.356896551724	5	25	47	124
1998	13.8692773914889	11.2232147757594	17.283445686494	9.07615219539325	21.6934864149175	4.14655172413793	12.2060344827586	21.6043103448276	69.1887931034483	0	8	15	62
1999	22.0605605440045	18.0485433802654	27.1928790621689	12.8273190734128	37.4307605253896	4.5551724137931	17.4301724137931	33.5672413793103	103.620689655172	1	13	30	108
2000	8.10820727153885	5.87996684989479	11.3391735068035	4.00201360726423	18.746653427275	0.402586206896552	2.99827586206897	7.93879310344828	45.0629310344828	0	0	2	43
2001	17.2746157873004	13.8127954710412	21.8190340182784	11.5421802256109	27.264069561352	2.74913793103448	10.9379310344828	21.4586206896552	66.1051724137931	0	5	16	73
2002	7.35115379185819	4.9454503266119	11.1191576137447	1.15111140794595	27.8066969696999	0.168103448275862	1.65603448275862	5.76810344827586	54.523275862069	0	0	1	55
2003	65.331695918079	54.6835975361863	78.6639809876228	49.0722335799623	88.3457871826199	37.8637931034483	67.6379310344828	90.0318965517241	153.062931034483	33	65	86	153
2004	25.4057853170837	20.7817851916346	31.3322111350373	18.1070598323476	37.6220527490753	12.1293103448276	26.9681034482759	45.0741379310345	127.502586206897	0	11	29	121
2005	52.5240644829696	43.8439137125985	63.4219226702959	41.1886079502849	69.2384704844503	24.0913793103448	56.8181034482759	85.4077586206896	164.347413793103	13	42	75	161.5
2006	42.7151438311178	35.6416261088506	51.596638040899	31.6332715382194	59.0262761274134	22.6344827586207	43.0120689655172	62.1439655172414	143.203448275862	20	37	55	138
2007	15.937542674268	12.4384428812349	20.669453022029	7.28045994420001	35.7426645846501	3.50689655172414	10.2344827586207	21.7801724137931	101.740517241379	0	2	12	105
2008	16.0731600305462	12.3082359959355	21.288063998997	9.22906174370648	30.5018428500058	2.58534482758621	9.18275862068966	18.6336206896552	85.8310344827586	0	0	8	85
