jaar	mean	p02.5	p50	p97.5	simulatienr
1985	9.07080082467347	6.30956397115361	9.03685069491727	13.3277006868807	1
1985	11.6180695120942	8.3972394862337	11.5803446454637	16.3814187310782	2
1985	7.44532337982447	5.07851079954996	7.41879953580303	11.1450753597553	3
1985	10.9283040713455	7.76154984264582	10.8897599287544	15.7063065351118	4
1985	12.9962697573762	9.29918565487646	12.9486069243166	18.5540236803442	5
1985	11.9796731726663	8.56568019755416	11.9377173868155	17.0992410845039	6
1985	8.71063146180299	5.86157477122833	8.67591670209131	13.24875081776	7
1985	9.83631441451097	6.68862650710522	9.79713753039722	14.804673311005	8
1985	9.56014427128557	6.74928875970339	9.52823748073305	13.808228737409	9
1985	12.3747480601419	8.89260815436613	12.3346535833884	17.5490540516788	10
1985	8.19770778981077	5.83617354145733	8.17330532602357	11.7176827541208	11
1985	5.47945077482731	3.89919965535061	5.46901837117592	7.78456356572975	12
1985	11.4316328072922	8.00732443336053	11.3890227982937	16.6780969142367	13
1985	8.34850645503912	5.81656999026238	8.32137656793765	12.2129670575601	14
1985	12.0457334376629	8.36163850108618	11.996708851706	17.7676176529308	15
1985	9.3190716769888	6.50202495100297	9.28760675194695	13.6229805912543	16
1985	12.7872670939484	8.68252622513829	12.7251082356735	19.3684085903047	17
1985	7.08613567817233	5.07812187433318	7.06876966999215	10.0313202499192	18
1985	15.3012062113435	10.4385674872713	15.22601791424	23.07358653275	19
1985	10.4213025356897	7.14229348778463	10.3790712825415	15.568072728402	20
1986	22.4414882791165	18.2281468817568	22.4054265338385	27.8910230554363	1
1986	20.985586575703	17.1287287289317	20.954202093414	25.9371719352129	2
1986	20.5280658963824	16.7733495460224	20.4981444434529	25.3383917572874	3
1986	17.3391913093211	14.0908617463257	17.3140065003586	21.5179878606206	4
1986	19.4485109577946	15.8759310447913	19.4198008921065	24.0317854137752	5
1986	19.6123629759462	16.1222507676745	19.5860946461706	24.044850532911	6
1986	18.9099371688972	15.4537460526383	18.8830978167228	23.3316359966236	7
1986	20.5296489432622	16.7762328244451	20.500086574704	25.3351530970007	8
1986	16.2469194565152	13.0662887418681	16.2202977952136	20.397007780575	9
1986	18.8808019601488	15.252326378941	18.8514023072742	23.5865423109307	10
1986	18.4000538590281	15.0915108808458	18.3748085659319	22.6141168490246	11
1986	19.5131725127515	15.8634885456982	19.4836738916071	24.2159406312853	12
1986	17.9875578903515	14.6550270959021	17.9619263167267	22.2621782039514	13
1986	20.5320971757954	16.6460735620687	20.4990167694186	25.5662699139663	14
1986	20.093298254339	16.1627172785706	20.0591501586483	25.230831135249	15
1986	16.6740241867097	13.4132762341869	16.647553530795	20.9209839396461	16
1986	20.280011274031	16.5236974472319	20.2500037578865	25.1066646791433	17
1986	19.4716027492813	15.8108834849168	19.441836786452	24.1955917825438	18
1986	20.9294669364803	17.1290125392441	20.8987235018868	25.7940850221623	19
1986	19.6236189771601	15.9629668010032	19.593587488172	24.3411393326477	20
1987	8.41490854268548	5.19308444222437	8.37237025458314	14.0429737676236	1
1987	4.45349549276038	2.17758579279467	4.44306300734292	9.22396889638791	2
1987	7.84437662668208	3.59828783507333	7.79751477139482	17.7196648470817	3
1987	7.95361419596764	4.16281015718876	7.90840760599234	15.7135273593091	4
