jaar	groep3n	gem_jaar	gem_og	gem_bg	og_jaar	bg_jaar	dag_onder_p01_mean	dag_onder_p05_mean	dag_onder_p10_mean	dag_onder_p30_mean	dag_onder_p01_median	dag_onder_p05_median	dag_onder_p10_median	dag_onder_p30_median
1985	1	8.28939697730797	4.55079763637146	15.8412760201634	0.358059440179529	64.8285992780872	0.277777777777778	2.36111111111111	7.01666666666667	58.5305555555556	0	0	2	57
1985	2	11.4762494566381	6.22221508791201	22.5114869857426	-3.3052635424335	148.710658115539	0.805263157894737	3.15526315789474	8.99473684210526	65.0578947368421	0	0	2.5	65
1985	3	14.8761414902645	8.28794211347978	28.4116463591735	-3.13267878374	220.918532831398	1.9175	4.235	7.95	61.8	0	0	1	50
1986	1	18.8346746386116	13.4541938400926	26.9676835660633	5.73210005760066	54.2884227162159	3.65789473684211	15.0710526315789	29.6526315789474	82.1473684210526	0	11.5	29	89
1986	2	20.4613712583511	14.3460585515617	29.9640129891324	2.97834361405752	73.8793033082077	4.11842105263158	16.6026315789474	32.85	92.4	0	13	31	95
1986	3	17.1649171015057	12.3844299290412	24.2633482785048	7.29349009921641	45.0332913947792	2.83	12.815	26.335	85.975	0	11	25	91.5
1987	1	8.98738938905038	4.28272197722112	19.5263637289797	-1.13683326064238	116.946245488457	0.192105263157895	1.07368421052632	3.09473684210526	29.4315789473684	0	0	0	23
1987	2	21.1745528625461	6.90699516840877	64.5560471102758	-7.57428552872096	1675.51199324814	0.0894736842105263	0.271052631578947	0.781578947368421	14.5289473684211	0	0	0	6
1987	3	10.7838783081046	2.27097972523367	50.3382078484682	-1.69745600162201	2305.80354576555	0	0.045	0.2575	9.815	0	0	0	4
1988	1	10.1624889609471	4.96014750341718	21.4639127129607	-1.61249599975884	137.103135190213	0.168421052631579	1.27631578947368	3.94736842105263	35.4368421052632	0	0	0	32
1988	2	29.11906371356	10.6638704042075	81.4408098624547	-37.8064053173657	3558.26305599187	0.0763157894736842	0.868421052631579	2.35789473684211	25.0842105263158	0	0	0	15
1988	3	13.5768571736714	3.5557845112911	55.1958658289389	-11.227070150699	8860.78634952526	0.0175	0.305	1.2975	25.105	0	0	0	18
1989	1	65.7204943259411	48.2701728559364	91.5126721635715	27.2302357387579	161.053074053968	28.5789473684211	58.1552631578947	80.071052631579	138.589473684211	23.5	64	94.5	150
1989	2	75.9395696084549	55.5507305306429	106.291505726656	16.3700711156258	239.128915940427	41.4684210526316	78.3473684210526	104.836842105263	169.228947368421	38	79	104	171
1989	3	77.8127915750991	58.4960096886941	105.448794270086	40.5662285215728	172.571040096474	40.7075	71.7425	94.7275	156.03	36	73	99.5	161.5
1990	1	53.4663985315981	39.6661830099651	73.618355484443	26.1516190797195	118.603305239868	29.6289473684211	55.0736842105263	77.9105263157895	155.302631578947	22	52	78.5	156.5
1990	2	77.6945361544137	56.5774238482189	109.253463274003	32.2432253196292	199.166700300586	57.3815789473684	86.3394736842105	110.205263157895	186.565789473684	39	71	97	174
1990	3	75.4415122025999	56.9382807759908	101.769200185232	48.2600921874035	126.443679206237	48.39	76.1225	96.67	166.365	44	76	97	165
1991	1	31.5450321119898	23.1085652453241	44.0040822144642	13.8379359248227	73.4233643082129	11.9763157894737	31.0026315789474	51.2447368421053	132.576315789474	5	25	46.5	135
1991	2	43.0410061307905	30.8686678458017	61.5087344707791	8.20568146873817	153.539470702196	22.6947368421053	44.6342105263158	66.2684210526316	146.718421052632	9	32	59	134
1991	3	33.1145135340831	24.4791960465322	45.6485186601232	11.9120221066451	93.764316499218	14.6425	30.0475	46.155	115.825	6	23	39	116
1992	1	13.3077243872479	9.11205615919824	19.8981063021735	2.46789030266498	45.2902556509129	1.65526315789474	8.08157894736842	18.1815789473684	74.3631578947368	0	6	16	80
1992	2	19.168017486921	12.2124713246631	31.107324452181	1.66263255189406	94.5390615009015	3.1	10.3842105263158	19.6684210526316	79.6368421052632	0	2	9	75
1992	3	8.15510754023498	5.15012849732115	13.2622943411376	-0.604232779609053	48.0694983595404	0.5125	3.5025	8.525	55.4025	0	0	7	60.5
1993	1	18.8429119283275	13.5754180200363	26.7189428136898	9.30449781348324	43.2077419014673	3.64473684210526	16.1	32.7842105263158	104.831578947368	1	14	30	107.5
1993	2	31.706249389735	22.7182608856061	45.3351306410186	8.79136417993666	99.9509128697309	13.8447368421053	32.928947368421	52.2736842105263	125.802631578947	3	23	48	126
1993	3	20.9110714000521	15.4586975470215	28.7839654878798	9.38471246264807	47.0687835953173	4.7525	19.44	37.835	118.28	3	18	38	120.5
1994	1	26.9120636462773	19.2201739073697	38.5977013644229	9.91724301299772	81.6883830678327	7.08684210526316	19.3921052631579	30.9815789473684	75.7605263157895	3	19	34	83
1994	2	33.0522950423337	22.5598611198642	49.924849430706	9.6370030571314	137.477207058407	9.33421052631579	20.2210526315789	30.7342105263158	76.3	0	12	29.5	82
1994	3	28.4712286154923	20.5169226047951	40.3773399763817	5.77289190910466	99.8838896386306	7.025	19.67	31.165	71.1625	3	19	36	78
1995	1	41.6733566553535	30.4505034816826	58.3327739084476	25.1926624363333	78.8569502695158	17.5868421052632	34.6526315789474	50.9342105263158	113.178947368421	16	37	57	119
1995	2	46.0468551573428	33.2090572796139	65.4034611182511	22.073500749369	111.504434477086	21.0078947368421	43.0289473684211	62	127.178947368421	16	40	59	133
1995	3	48.2876189575909	36.0101663319254	65.9803986065913	24.8720188093327	98.0918751180488	24.4675	42.99	57.96	119.5525	27	46	60	122
1996	1	51.6401309828292	38.3587752282984	70.9992042568792	30.7423358162939	97.3596910009307	31.2421052631579	57.6868421052632	80.9894736842105	155.244736842105	19	47	70	147
1996	2	65.6501669272711	47.8126076615908	92.280435027402	27.7928425530742	152.578047350085	42.2157894736842	71.4052631578947	94.7921052631579	175.376315789474	36	68	89	171.5
1996	3	59.6687974922408	44.974757995928	80.5845953672104	35.9928606871101	111.723976958999	33.7975	61.3375	82.5925	145.3525	30	59	76.5	141
1997	1	29.5835785822269	21.5420934496356	41.5392610232538	11.0501852333056	82.3936410929772	14.4236842105263	32.1263157894737	51.0026315789474	129.284210526316	3	22	41	117
1997	2	43.5196825798957	31.4454013488096	61.6580456326542	14.5171019575484	114.186262780229	24.7973684210526	48.5526315789474	70.5605263157895	151.476315789474	9	31.5	56	139.5
1997	3	27.7445162445275	20.6232135597578	38.002750070378	12.861685984154	60.8573476123395	10.2975	27.31	44.715	117.1125	4	23.5	44	119
1998	1	12.5706147187388	8.76019880326934	18.4302846412824	6.79329574778583	26.4179398531775	1.75789473684211	8.88421052631579	18.2342105263158	66.0131578947368	0	7	15	62
1998	2	21.230865544824	14.6899979626512	31.4815591931443	0.0526932030995102	87.8729571510093	8.26315789473684	18.9921052631579	29.9184210526316	78.9421052631579	0	9	18	63
1998	3	11.1972167057711	7.9686011618929	16.0172180563206	5.22455816971963	24.4447965671562	2.505	8.915	16.9075	62.94	0	7	15	60
1999	1	19.7260383777421	14.1474786714044	28.112432380735	4.39248806984732	62.14275341729	3.88947368421053	15.75	31.5736842105263	99.1026315789474	1	13	29	108
1999	2	20.1474608228624	14.077313681984	29.5764134960713	4.82135514134601	65.858742738118	3.81842105263158	15.5315789473684	30.9684210526316	102.276315789474	0	11.5	29	103
1999	3	23.4406558152183	17.2519698677006	32.4282335870341	8.40189021677416	56.7848565131934	5.8875	20.83	37.93	109.19	2	16	35	112
2000	1	10.2725364647895	6.52032163958506	16.62660819502	2.5953774128679	41.3525575533865	0.784210526315789	4.30789473684211	10.2236842105263	49.1052631578947	0	1	6.5	50.5
2000	2	10.3438904959571	6.00460141360301	18.4027425975078	1.26572261536147	57.0509491848314	0.334210526315789	3.59736842105263	9.91052631578947	49.4	0	0	2	49
2000	3	5.9525801434874	3.07506462080605	11.8042559907902	1.73622817973112	29.7090287566763	0.105	1.185	3.895	37.1025	0	0	0	32
2001	1	14.870076807671	10.4051499857519	21.7441999251287	7.98981295080413	30.5939396771613	2.38421052631579	10.2605263157895	21.7236842105263	69.8868421052632	0	6.5	18	74
2001	2	15.6843687013271	10.2402268457544	24.8319060225914	3.68483575711088	61.778572931378	1.92631578947368	8.17631578947368	15.9052631578947	54.1736842105263	0	1.5	8	55.5
2001	3	18.9528575415443	13.6320597049166	26.8823315482109	9.40157923698583	50.5326565249262	3.8775	14.205	26.4825	73.8475	0	8	20	81
2002	1	9.56420593404339	5.32894213705207	17.6615520029013	0.202964890790629	63.9602852884219	0.255263157894737	2.15789473684211	6.74736842105263	56.1868421052632	0	0	3	58
2002	2	13.4037575380981	6.55645344320932	28.0478732789298	-11.5134164174901	188.08874693181	0.118421052631579	1.73157894736842	6.10526315789474	50.5026315789474	0	0	0	45
2002	3	7.78983990165851	3.73030093033423	17.0528687647651	-0.139796353234785	124.154692115371	0.1325	1.1075	4.5175	56.7625	0	0	1	56
2003	1	48.0276843615484	35.7382858115908	65.8492155119418	28.7073576308934	87.1212121855217	27.2105263157895	52.4184210526316	73.4184210526316	138.384210526316	20	48	72	139
2003	2	62.3689573980713	45.6300323191649	87.2105830108428	31.8137496888815	129.62467141288	39.5973684210526	70.6736842105263	93.8236842105263	156.113157894737	33.5	66	89	158
2003	3	74.1646842160295	56.0830378445192	99.8027036522464	47.6575967883026	120.245633753074	46.3375	79.2125	102.2125	164.11	41.5	77	100	163
2004	1	24.4485828869409	17.3670713504876	35.2619951707207	4.21354006407072	92.1051124101089	9.86315789473684	23.4263157894737	40.7052631578947	121.989473684211	1	13	31	118
2004	2	35.0493463655764	24.3321548533508	51.7717747115817	11.7100005843729	102.519916577019	20.3368421052632	35.2368421052632	51.6973684210526	129.136842105263	0	9.5	28	118
2004	3	23.3166211439039	17.0700577797299	32.4690595251028	14.1857645364561	43.6390571179157	6.485	22.4775	42.9325	131.1875	0	12	30.5	128
2005	1	40.7499766299442	30.1459746565186	56.251014602272	19.2901702839657	87.214904970906	16.2631578947368	43.5263157894737	70.8105263157895	154.271052631579	10	38	68	153
2005	2	62.1430722188539	45.2209244912493	87.3970566317281	38.9611111519185	109.782689838758	30.4526315789474	70.3421052631579	101.723684210526	178.734210526316	15	48	83	166
2005	3	52.1032498323695	39.1701445883591	70.5514467312434	31.6715802457694	93.0871212437316	25.485	56.5975	83.775	160.2525	14	45	80	165.5
2006	1	42.4925719628185	31.5531258914291	58.4239972767376	24.3161338106732	76.7500084639723	24.7789473684211	46.1447368421053	65.9210526315789	148.494736842105	23	41	57	142
2006	2	39.6757332475198	28.6943406792596	56.1359562193156	18.8475700343253	84.5250476454924	16.3605263157895	37.2	57.2289473684211	139.321052631579	16	32	49.5	134
2006	3	42.3940768879587	31.8861347703361	57.3704892231103	28.9291481232293	71.5947111519629	26.5575	45.5575	63.225	141.865	22	37	52	135
2007	1	17.2686555751235	11.7976838040397	25.9735004647678	4.94613205650508	53.3608211734735	3.35263157894737	12.6447368421053	26.1394736842105	103.060526315789	0	4.5	16	96
2007	2	16.1683782189271	9.96978546689142	27.1141929634897	-6.50762567774758	140.695246650476	0.85	5.92368421052632	16.6315789473684	91.4684210526316	0	0	8	107
2007	3	16.955047752801	11.4489370390544	25.8195292022747	7.27813347964031	52.8365985644902	6.1775	12.04	22.53	110.245	0	1	11	108.5
2008	1	19.927556245313	12.4779192241773	33.0729416640251	5.87229370664645	88.2896011951451	2.03684210526316	9.31578947368421	16.0763157894737	77.0605263157895	0	0	3	68
2008	2	20.6213624863134	12.8055786299092	34.417784858342	-7.07890439223078	181.27542863958	1.51315789473684	8.15263157894737	19.7842105263158	91.2342105263158	0	0	9	89.5
2008	3	14.0660299647456	9.4717270006957	21.4566645834194	5.66801819229883	43.0889245834328	4.125	10.035	19.97	89.03	0	1.5	10	92
2009	1	54.0283699512396	40.157785604508	74.2320765655983	32.6914200629008	94.6656899650975	32.571052631579	61.7736842105263	87.3657894736842	163.042105263158	19	56	82	157
2009	2	65.5702645635533	47.8631917656813	91.9080459306688	38.0648501363287	129.379881628948	39.1921052631579	71.3605263157895	96.8868421052632	164.218421052632	35	69	93.5	161.5
2009	3	75.1518678572051	56.7660688818242	101.278627923569	51.6065583744529	126.976070512595	49.81	80.08	101.7125	163.19	43	71.5	95	163.5
2010	1	54.0895722887496	40.1642505592447	74.4184877523165	37.7342172030609	80.790405662323	36.571052631579	57.6684210526316	73.9631578947368	131.315789473684	34	52	67	124
2010	2	51.0161434359761	36.5115887738107	73.0931150307195	27.8939220078195	103.306637729082	21.8157894736842	41.9605263157895	57.7552631578947	115.636842105263	22	48	63	118
2010	3	53.1572702835667	40.0131419466706	71.9077566788759	36.6860238173212	82.7611970344692	34.2975	53.44	66.765	115.4825	37	52	63	113
2011	1	41.0339278818114	30.1358004644932	57.1139583347188	24.5856863736619	72.1319560649724	20.9789473684211	44.7368421052632	67.1473684210526	154.421052631579	11	34	59	137.5
2011	2	40.85088516088	29.5565860567723	57.7904744301397	23.2412704079472	80.6078617934683	13.8342105263158	41.7631578947368	72.6684210526316	160.523684210526	6	39	71	164
2011	3	52.1041997219175	39.2291772923687	70.4427114108576	32.4383110868201	93.2893105847595	26.2375	56.3925	81.8425	154.59	14	43	71	142
2012	1	26.1012032466574	18.4552714561375	37.874978638531	15.4831408673809	56.8432326459515	9.77368421052632	21.1105263157895	35.4868421052632	102.476315789474	0	10	27	95
2012	2	21.9971427836304	14.9024904344488	33.3839961118232	5.25628521174025	76.7090547690262	3.13157894736842	13.2789473684211	24.2105263157895	75.6736842105263	0	9	24	77.5
2012	3	19.9033482785392	14.4594872087267	27.9426427842153	9.24750539719162	46.9164803128148	4.705	16.8575	29.9925	80.04	0	12	32	77
2013	1	37.7415821940828	27.9794693853555	51.9639845074415	23.064879715039	66.8290429651336	12.9026315789474	38.9	60.6342105263158	130.636842105263	9	38	59	126
2013	2	36.198540899709	25.4209947252947	52.9866359244116	14.1627507353339	104.174565488415	7.31052631578947	27.4052631578947	45.4973684210526	97.9868421052632	3	27	49.5	112
2013	3	33.1591288619234	24.8691962631076	44.9768850758083	12.9509793641658	78.5112370399492	12.5025	34.01	54.475	114.715	8	34	55	114
