jaar	gem_jaar	og_jaar	bg_jaar	dag_onder_p01_mean	dag_onder_p05_mean	dag_onder_p10_mean	dag_onder_p30_mean	dag_onder_p01_median	dag_onder_p05_median	dag_onder_p10_median	dag_onder_p30_median	var_sim	gem_jaar_t	gem_og_t	gem_bg_t	og_jaar_t	bg_jaar_t
1985	59.2962896457556	50.1034641473392	70.1757857583201	1.02894736842105	3.28333333333333	8.00350877192983	61.8535087719298	0	0	1	57	0.00738692754413651	4.0825467348346	3.9402447533296	4.23150812537337	3.91409015035791	4.2510033193113
1986	59.1425582225367	51.8685872547232	67.4366197006384	3.52327586206897	14.7948275862069	29.5560344827586	86.8258620689655	0	11	29	92	0.0044833559194095	4.07995077054891	3.97246675794417	4.18915230971989	3.94871335172332	4.2111881893745
1987	59.2843479686081	44.9489238463314	78.1917254810953	0.0922413793103448	0.456034482758621	1.35862068965517	17.7853448275862	0	0	0	9	0.019947023313756	4.08234532459718	3.89929909420449	4.25074833868404	3.80552681950381	4.35916382969054
1988	71.0903419625226	56.4653616502993	89.5033091552263	0.0862068965517241	0.807758620689655	2.51293103448276	28.4827586206897	0	0	0	21	0.0138091406744158	4.26395149020585	4.10480347798103	4.40888197893046	4.03362738201299	4.49427559839871
1989	96.7706800700599	87.9929146708017	106.424074668472	36.9836206896552	69.4551724137931	93.2379310344828	154.640517241379	33	73	100	161	0.00235362405867619	4.57234405656331	4.484150878944	4.66402421628667	4.47725629613217	4.66743181699445
1990	116.81046250843	100.221252712427	136.145615646865	45.1896551724138	72.5741379310345	94.9586206896552	169.358620689655	35	65	90	164	0.00610729280156619	4.76055264265322	4.65091864066703	4.87664363018769	4.60738026907855	4.91372501622788
1991	119.135019780443	106.309231925686	133.508188150659	16.4068965517241	35.1387931034483	54.4112068965517	131.43275862069	6	27	47	128	0.00337734969664003	4.78025746992045	4.68645887054718	4.87966606804844	4.66635212941961	4.89416281042129
1992	112.180161686738	100.836928314037	124.799405202736	1.73448275862069	7.25689655172414	15.3387931034483	69.5525862068965	0	3	11	71	0.00295811251333997	4.72010616539434	4.61880826846271	4.81760412639604	4.61350464086844	4.82670768992025
1993	109.519692533923	96.8869835410995	123.799530280938	7.36810344827586	22.7646551724138	40.9103448275862	116.338793103448	2	18	37	120	0.00391002594311786	4.69610437357964	4.58641309998389	4.80065527756137	4.57354518109258	4.81866356606671
1994	109.889272483366	97.6725445496629	123.634049492622	7.80172413793103	19.7594827586207	30.9637931034483	74.351724137931	1.5	17	34	81	0.0036154907132983	4.69947324502893	4.59262808591875	4.80114619697945	4.58162050164038	4.81732598841747
