jaar	gem_jaar	og_jaar	bg_jaar	gem_jaar_t	gem_og_t	gem_bg_t	var_sim	og_jaar_t	bg_jaar_t	rdag_onder_p01_mean	rdag_onder_p05_mean	rdag_onder_p10_mean	rdag_onder_p30_mean	rdag_onder_p01_median	rdag_onder_p05_median	rdag_onder_p10_median	rdag_onder_p30_median
1985	33.6766322315008	23.0601311583189	49.1807939282527	3.51680419124802	3.29581489386743	3.68625283729624	0.0373315608239933	3.13810520252287	3.89550317997317	12.1236842105263	19.7508771929825	34.369298245614	82.3184210526316	4	10	26	82
1986	35.2490174509099	26.4864851602204	46.9104610800014	3.56243765513675	3.38833267439986	3.70678059323645	0.021262854334468	3.27663460894708	3.84824070132641	2.42672413793103	6.02155172413793	15.5879310344828	63.1810344827586	0	3	12	62
1987	36.9779618513439	30.5519302242412	44.7555899952441	3.61032210954945	3.47616684557201	3.73171206035194	0.00948579034465643	3.41942786608456	3.80121635301434	1.8	3.93965517241379	9.35689655172414	32.626724137931	0	0	4	27
1988	38.8712587468763	34.6885865786448	43.5582681681474	3.66025512784575	3.55573216335131	3.76305198423869	0.00337373754496074	3.5464107158058	3.7740995398857	1.59913793103448	3.67844827586207	8.78362068965517	30.6931034482759	0	0	3	24
1989	40.7855948948809	35.9886447998698	46.2219336176659	3.7083289527656	3.61415003626375	3.80775449396913	0.00407548607862718	3.58320346647422	3.83345443905698	20.8456896551724	43.3551724137931	87.1413793103448	180.639655172414	17	40	88	192
1990	42.3729248388917	35.5609205082999	50.4898279835953	3.74650959314789	3.64860187446876	3.85191885861234	0.00799585398572629	3.57124729637084	3.92177188992494	28.05	54.0974137931034	100.787068965517	208.198275862069	18	41	87	201
1991	43.4739607651589	35.7238630061142	52.9054000763329	3.77216215576048	3.67167417439559	3.88419589370816	0.0100350570724372	3.57581889702854	3.96850541449241	15.2181034482759	32.5577586206897	65.8241379310345	153.577586206897	10	27	59	151
1992	44.1931477627669	36.5022974887389	53.5044214623549	3.78856974907387	3.68887755134056	3.9036957831496	0.00951565864626596	3.59737520350446	3.97976429464329	4.69137931034483	10.8810344827586	26.3086206896552	82.3922413793103	2	8	23	81
1993	44.7302121652557	37.5020077032435	53.3515937648251	3.80064916067643	3.70435796048669	3.914652122574	0.00808666073536193	3.62439447029638	3.97690385105647	6.33448275862069	15.6663793103448	36.873275862069	107.987068965517	3	11	32	108
1994	45.1709524181674	38.5932793465967	52.8696958877186	3.81045423463721	3.71958980119384	3.9194103851792	0.00644711361495237	3.65307815112005	3.96783031815438	2.92844827586207	6.44827586206897	15.3939655172414	55.975	0	1	8.5	53.5
1995	45.5256883087182	39.7735409394849	52.1097253859289	3.81827674485617	3.73425986343674	3.91910668605272	0.00474937948409461	3.68320189069709	3.95335159901526	15.7603448275862	29.7163793103448	53.7862068965517	116.143103448276	11	26	54	124
1996	45.6317476808235	41.2213445967009	50.5140338525734	3.82060369534158	3.74404004064949	3.91092104380359	0.00268956016721614	3.71895619493759	3.92225119574556	38.2	67.576724137931	112.239655172414	203.525862068966	27	56	105	201
1997	45.3490527370723	41.7470007797538	49.2619001542052	3.81438928851658	3.7391778470614	3.8942227991957	0.00178297981254093	3.73162761110573	3.89715096592743	14.0784482758621	31.9810344827586	68.6387931034483	170.089655172414	10	26	60	159
1998	44.8715619341076	38.9304531139175	51.7193330505227	3.80380422959169	3.72000754123534	3.88122631470544	0.00525088258618241	3.66177680075107	3.94583165843232	4.92931034482759	11.1318965517241	25.1793103448276	74.4112068965517	2	8	22	67
1999	44.5358389864583	35.8102831205439	55.3874692236059	3.79629423551762	3.69972366365069	3.87899795574465	0.01237760070585	3.57823509016574	4.0143533808695	4.29396551724138	10.1862068965517	24.373275862069	80.2663793103448	1	5	17	80
2000	44.571172251878	34.144273271953	58.1822134588647	3.79708728797849	3.68926157816793	3.88520074169455	0.0184866212661657	3.53059487860047	4.06357969735651	1.9051724137931	4.48965517241379	11.2758620689655	43.0413793103448	0	1	6	38
2001	45.1345823053979	34.5031606479857	59.0418524455286	3.80964874436805	3.69655323745418	3.89967130622188	0.0187798793120243	3.54105093282619	4.0782465559099	1.97241379310345	4.68793103448276	11.8974137931034	45.2543103448276	0	1	5	37.5
2002	46.2421521580857	36.9061175318654	57.9398966679513	3.83389176649222	3.72247687719131	3.92171511522907	0.0132384328763897	3.60837732407679	4.05940620890764	1.56810344827586	3.71120689655172	9.54827586206897	39.2560344827586	0	0	4	34
2003	47.7507889158967	40.7641836071712	55.934833972473	3.86599558858914	3.76137216777749	3.94875565701814	0.00651411608155505	3.70780384310632	4.02418733407196	19.9836206896552	41.5629310344828	80.7965517241379	175.097413793103	15	36.5	78	175.5
2004	49.3034409152462	44.2624049172761	54.9185994440711	3.89799387405415	3.80082483424534	3.97604524819345	0.00302826747631555	3.79013566928042	4.00585207882789	7.43965517241379	18.2758620689655	44.8991379310345	138.797413793103	4	13	35	124
2005	50.7688229740274	46.3866173208405	55.5650214444528	3.92728244519691	3.83639716104893	4.00281857800033	0.00212123443648669	3.83701099782175	4.01755389257208	21.3258620689655	40.2551724137931	77.7525862068966	190.027586206897	16	34	72	187
2006	51.9917668797	47.3673986866868	57.0676013085097	3.95108537680949	3.8636742103689	4.02710544349107	0.00225873115916148	3.85793420064389	4.04423655297509	20.6396551724138	41.0318965517241	77.2905172413793	179.364655172414	18	40	75	176.5
2007	52.971063655904	48.1909325146188	58.2253432009568	3.96974579570038	3.88339457519691	4.0474473924054	0.00232830446745024	3.87517088125603	4.06432071014473	9.49051724137931	19.5172413793103	38.8396551724138	102.877586206897	6	15	34	96.5
2008	53.8295573680678	49.0515562462571	59.0729727696093	3.98582270976492	3.89962460506876	4.06517612941271	0.00224902399281704	3.8928719132605	4.07877350626933	5.53879310344828	12.2991379310345	28.0827586206897	91.5939655172414	3	8	23	83
2009	54.6105308492914	49.901109924312	59.7644037209763	4.00022673685096	3.91364988108467	4.08107759099128	0.00211710279973002	3.91004324548229	4.09041022821962	23.876724137931	45.3051724137931	87.1879310344828	204.128448275862	18	39	78	198
2010	55.2014985180902	50.4832733175032	60.3606945111899	4.01099009998143	3.92241828344564	4.09386875723107	0.0020780592076563	3.9216420599798	4.10033813998305	15.2646551724138	31.5620689655172	61.1818965517241	143.365517241379	12	27	55	140
2011	55.6659021276657	50.2204868662255	61.7017646193074	4.01936778942078	3.92740768052645	4.10554430848649	0.00275864736413066	3.91642304835042	4.12231253049114	34.0120689655172	54.4672413793103	86.4474137931035	169.148275862069	33	52	82	162
2012	56.1045586888886	49.1387523508014	64.0578231047335	4.02721706927872	3.93122496394427	4.11809169410062	0.00457480326043799	3.89464797708413	4.15978616147331	4.61293103448276	11.0215517241379	27.2672413793103	100.787068965517	1	6	21	95
2013	56.8109001132867	48.6294541271474	66.3687970513348	4.03972821071894	3.94110542736039	4.13488911842738	0.00629422124723195	3.88422939933002	4.19522702210786	4.40689655172414	10.8491379310345	28.6956896551724	109.168103448276	2	6	22	104
2014	57.9535797568616	49.561498969381	67.7666631654919	4.05964234107652	3.95993625710427	4.15798054531117	0.00636967186995739	3.903214301852	4.21607038030104	11.2655172413793	23.073275862069	47.7258620689655	126.09224137931	5	16	43	128
2015	59.5773101325379	51.9497032667576	68.3248538379983	4.08727479911152	3.98632179143201	4.1894903234519	0.00488563864428495	3.9502760056282	4.22427359259484	8.63534482758621	21.2612068965517	50.8241379310345	147.4	6	18	46	146
2016	61.7217913073077	55.0040103856158	69.2600320499375	4.12263705019933	4.01765837170016	4.23451838790367	0.00345641716703874	4.00740609867633	4.23786800172233	6.18620689655172	13.6379310344828	23.6103448275862	73.2439655172414	1	6	16	71
2017	64.4200202749005	55.8559375859393	74.2971865047211	4.16542445863291	4.04919733045233	4.29825981881921	0.00529691545415343	4.02277583295192	4.3080730843139	16.1629310344828	36.4922413793103	64.1784482758621	169.416379310345	13	32	56	164
2018	67.4945120682941	53.6212452119711	84.9571684008573	4.2120462918813	4.07645966873508	4.37699622740581	0.0137823930006717	3.98194535543953	4.44214722832307	78.9112068965517	111.296551724138	137.004310344828	199.894827586207	81	119	150	206
