meetpunt	p01	p05	p10	p30	p50	p70	p90	p95	p99	groep3	ampl	groep3n
1	15.725213557093	15.8973290862365	16.0153214619572	16.342848483308	16.659156058347	16.9929521018364	17.2442280118865	17.3222407013886	17.4559422426218	4	1.73072868552881	4
2	75.1399943157202	75.1906312744615	75.2207739110522	75.2848693234425	75.3291294834683	75.370791235716	75.4252603860904	75.4509304075204	75.4968385713749	3	0.356844255654693	3
3	65.9377012262907	66.0977588496538	66.2042945516128	66.5775242640169	66.9785420255297	67.2823242469566	67.456937880272	67.5198961140621	67.6278591833272	4	1.69015795703655	4
4	1.41156104990098	1.51088532024724	1.57216944914784	1.73842368846762	1.86546700750089	1.97011452236235	2.08116372427315	2.12197458385466	2.18888783681255	2	0.777326786911562	4
5	2.53869806361619	2.66493581770404	2.75605118793901	3.03093205223287	3.28275959145401	3.53570876522712	3.77148683452607	3.8389110621161	3.93905774669398	3	1.40035968307779	4
6	8.89449971271312	9.00401113001844	9.07457749320739	9.25297827515684	9.39764261612413	9.56487380377097	9.77104439484487	9.84230982519679	9.94981300567379	4	1.05531329296066	4
7	17.5219348310095	17.6238387822834	17.6848812708749	17.847267239712	18.0013999003009	18.1509419285866	18.29080434668	18.34033320217	18.4228919489115	4	0.900957117902006	4
8	26.240570756773	26.3984221327174	26.4939976006093	26.7164135862043	26.8379454620184	26.9315453869575	27.0579947566177	27.1201658926496	27.2373588562118	2	0.996788099438806	4
9	27.1049762737552	27.2423744540278	27.3425623934334	27.6860297741417	27.8488270772911	27.9347285704343	28.0252742433118	28.0669977765445	28.1474560412953	4	1.04247976754012	4
10	16.8149922849407	16.9558297266778	17.0469004564249	17.2752346364776	17.4607133801482	17.6612200840686	17.8889567112933	17.9740467473684	18.1143645359046	3	1.29937225096394	4
11	33.1816535973192	33.2869796743308	33.3506610998886	33.5657027692757	33.7246012707289	33.860698971805	34.0045488868436	34.0613911316564	34.1597622686118	2	0.978108671292667	4
12	35.3533377700399	35.4132129030497	35.4517714257296	35.545159336623	35.6109202148315	35.6811293592476	35.7680047384057	35.8039616773093	35.8663911836808	3	0.513053413640947	4
13	32.7375275406751	32.7860785555131	32.8169478282089	32.8942358568486	32.9575294556352	33.0225921385665	33.092078930436	33.1192645731694	33.1674433769446	3	0.429915836269537	4
14	34.922910597657	35.0465963979226	35.1311230482923	35.3405503174809	35.4388031150334	35.4979995136886	35.5737683537947	35.6102537724976	35.6782827386885	4	0.75537214103143	4
15	33.8504522847316	33.9582096536494	34.0322030664389	34.2421373697973	34.4583700510974	34.7094999211046	34.9331931482492	35.0015997543107	35.1089386993264	2	1.25848641459473	4
16	17.0230392552013	17.0410108881956	17.0523644117264	17.0840479805673	17.1108191119787	17.1309720600956	17.1525946878486	17.1611377604104	17.1751929779484	3	0.152153722747151	2
17	0.614809746129984	0.734753136022041	0.815563542234738	1.03271010581528	1.2041199226099	1.35680355793234	1.49269614551699	1.54334264939054	1.6290967152215	2	1.01428696909152	4
18	0.507975007788045	0.646675576618224	0.730327826613647	0.959734985368914	1.16064957122424	1.34964130023689	1.55627628787838	1.64193584999478	1.78358718567493	2	1.27561217788689	4
19	28.4425957509796	28.562420426683	28.6408550714359	28.8724398785135	29.0050908935196	29.0886408995308	29.1811652717551	29.2238101149757	29.3188619507279	3	0.876266199748244	4
20	13.4164078273558	13.527765418281	13.606520163288	13.8231717750393	14.0015107090512	14.1323266624804	14.2641470896251	14.3186311989723	14.4121789533783	2	0.995771126022468	4
21	13.8318107877105	13.9498129399962	14.0229588058308	14.2116664161646	14.3715165650316	14.5441148509515	14.7024200484761	14.7614028877585	14.8666348873283	3	1.03482409961778	4
22	9.74239546508828	9.87447949040302	9.9677056012518	10.2301061267397	10.4540832789972	10.6454444675563	10.788554138097	10.8401743025544	10.9281303221122	4	1.18573485702395	4
23	55.1461850136915	55.2065338662505	55.2486887450975	55.3436319123931	55.3856130293397	55.4169250813768	55.4564701737121	55.4750971221512	55.508693896605	2	0.362508882913509	3
24	45.7044319338504	45.8189998980167	45.9002003313028	46.1752972064133	46.3046151345351	46.3673849006044	46.4357418898386	46.4651940133679	46.5178460836183	2	0.813414149767915	4
25	44.3083723627892	44.415179158743	44.4847602506756	44.6644358561101	44.7734800319365	44.8584849888338	44.9596639497209	45.0040137111097	45.0840478919366	3	0.775675529147428	4
26	22.341166189273	22.3782053520373	22.4022503580795	22.4709163217485	22.5308232284633	22.5797113204768	22.6169980542779	22.6318918915622	22.6578679967654	3	0.3167018074924	3
27	26.4068648624703	26.4881533073104	26.5482888849479	26.723414694995	26.8505451226003	26.9259349585931	26.9999144801028	27.0312737388267	27.086390828187	4	0.679525965716699	4
28	32.9641196122637	33.0533053713712	33.113961263825	33.2919620722437	33.4205661076753	33.5233180440106	33.6278712694436	33.6669235328177	33.7309642978238	3	0.766844685560123	4
29	39.3908594928954	39.4160426017128	39.4354100047795	39.4847961500684	39.5191390827609	39.5492401915202	39.5767808809069	39.5869555281529	39.6035083718951	2	0.212648878999701	2
30	4.19120660462327	4.30100580992625	4.36398638881156	4.51587134356348	4.6371066482477	4.75794963636268	4.90553823064881	4.96457828605525	5.06410435242695	3	0.872897747803683	4
31	4.08603139927429	4.20530252804423	4.27590792719767	4.44352429211672	4.57552775663284	4.7059223194671	4.86190879788595	4.92266333179298	5.02690896295296	3	0.940877563678671	4
32	53.6506049545072	53.7235365109766	53.767636160959	53.8765449865279	53.9617995142141	54.0459207551741	54.1517320701406	54.1971464836362	54.2747955103915	4	0.624190555884361	4
33	18.8244460671049	18.9126250024677	18.9668717531991	19.0949422386574	19.1922932620028	19.2964708414925	19.4331667359237	19.4931015344488	19.6003409508514	2	0.775894883746478	4
34	27.890776116398	28.0493093735077	28.1579582492165	28.4840882626532	28.7991998315422	29.0320494981719	29.1954655788446	29.2604097672944	29.3790947773629	3	1.4883186609649	4
35	30.2681022580852	30.3282413385003	30.3675961366232	30.4695114934896	30.5421239391016	30.6003244665325	30.6761480886945	30.712190182615	30.7754444995677	2	0.507342241482458	4
36	20.0395386238397	20.1387377809824	20.2072976625125	20.3674066598819	20.4644913328739	20.5317754582135	20.6159177544689	20.6524374631774	20.7195529529789	4	0.680014329139254	4
