jaar,gem_jaar,og_jaar,bg_jaar,aantal dagen onder kritisch minimum
1985,17.65229508983781,10.989520161296157,28.35460669485318,3.283333333333333
1986,23.376676796734408,16.904841250552398,32.326184550305904,14.794827586206896
1987,30.574430623125053,24.567588830573495,38.04996145022448,0.4560344827586207
1988,38.423103874204834,32.3697135783732,45.60852562854621,0.8077586206896552
1989,44.877816235842964,38.135550729746036,52.8120966279147,69.45517241379311
1990,46.58010164109854,40.32379126082079,53.80709008389273,72.57413793103449
1991,43.84349701813101,38.51842274331724,49.90474930888401,35.13879310344828
1992,40.20639565001468,34.748123667230836,46.5220587634206,7.256896551724138
1993,37.90913506977922,32.616358248445806,44.06079031852809,22.764655172413793
1994,37.098224418490524,32.49830064882745,42.34923757634519,19.75948275862069
1995,36.670406627760165,32.49732324580587,41.37936875828155,40.27155172413793
1996,34.910625127263046,30.90061746699502,39.44101596280527,63.439655172413794
1997,31.141581295316673,27.345826979324134,35.46420762137018,35.84655172413793
1998,27.39591534341781,23.0975580979396,32.49417857598835,12.206034482758621
1999,25.303606736686962,20.47917103782499,31.26457182775258,17.430172413793102
2000,25.070621908585718,20.00817445108783,31.413964548329147,2.9982758620689656
2001,26.89971559783554,22.030827964283358,32.8446438970672,10.937931034482759
2002,30.666930775311947,26.289573588238678,35.77314177505391,1.6560344827586206
2003,35.49240648695016,31.2100187069824,40.36238907966676,67.63793103448276
2004,38.899920238060346,34.23326796900489,44.20272688828671,26.968103448275862
2005,41.30151797506529,36.27989081339755,47.01820619632935,56.81810344827586
2006,42.22330258475896,37.03874151055102,48.13358144623393,43.012068965517244
2007,42.593128621424974,37.21596917796368,48.747208411690664,10.23448275862069
2008,43.44787941082468,37.96591517293956,49.72139395820613,9.182758620689656
2009,44.206212112794105,38.69327791664321,50.504617199174675,71.22672413793103
2010,42.83410295217485,37.75720201553206,48.59365307214119,51.064655172413794
2011,39.98379744984829,35.33883356128738,45.239299020379285,47.78189655172414
2012,37.19161401698066,32.23592143440677,42.909155117610716,17.07844827586207
2013,36.26065799409316,30.73389663606473,42.781276117838466,33.44827586206897
2014,37.61510032674463,31.546853278642917,44.85061505481253,14.01206896551724
2015,42.23755418467966,35.888296243871984,49.710105249378465,53.62068965517241
2016,50.18887028251199,43.3583216247888,58.09548446161942,7.193965517241379
2017,63.688265267424995,55.4425905702123,73.16027427753654,60.95
2018,83.82110255784376,68.85206127545258,102.04454454753544,112.06206896551724
