jaar	gem_jaar	og_jaar	bg_jaar	dag_onder_p01_mean	dag_onder_p05_mean	dag_onder_p10_mean	dag_onder_p30_mean	dag_onder_p01_median	dag_onder_p05_median	dag_onder_p10_median	dag_onder_p30_median	var_sim	gem_jaar_t	gem_og_t	gem_bg_t	og_jaar_t	bg_jaar_t
1985	20.4772470120867	15.1723742183923	27.636916883167	1.02894736842105	3.28333333333333	8.00350877192983	61.8535087719298	0	0	1	57	0.0234024556964382	3.01931436789774	2.78241476162331	3.26648087445713	2.71947628858919	3.31915244720628
1986	28.8356218624419	23.5500119607023	35.307544199181	3.52327586206897	14.7948275862069	29.5560344827586	86.8258620689655	0	11	29	92	0.0106726993787252	3.36161149307176	3.20075848236421	3.53003921404815	3.15912632834775	3.56409665779577
1987	39.3129542036367	33.352734144625	46.3382810391365	0.0922413793103448	0.456034482758621	1.35862068965517	17.7853448275862	0	0	0	9	0.0070366706030545	3.67155408806353	3.53069890196568	3.81537946848142	3.50713975234826	3.8359684237788
1988	51.5480929937753	44.1858402086427	60.1370456858521	0.0862068965517241	0.807758620689655	2.51293103448276	28.4827586206897	0	0	0	21	0.00618235885053041	3.94251521644747	3.8088059959171	4.08332782801645	3.78840438048777	4.09662605240717
1989	62.8080680095902	54.0818923959595	72.9422221067108	36.9836206896552	69.4551724137931	93.2379310344828	154.640517241379	33	73	100	161	0.00582450199925963	4.14008353671269	4.01032076863613	4.27444148746259	3.99049942365132	4.28966764977405
1990	65.6622685628937	57.797605224084	74.5970961272455	45.1896551724138	72.5741379310345	94.9586206896552	169.358620689655	35	65	90	164	0.00423675584939872	4.18452446162729	4.0710217616016	4.30097435220185	4.05694734271073	4.31210158054385
1991	60.1156363266522	53.4537354841832	67.6078051089178	16.4068965517241	35.1387931034483	54.4112068965517	131.43275862069	6	27	47	128	0.00359103357261654	4.09626997952684	3.98567023739102	4.20715807614955	3.97881652247868	4.213723436575
1992	53.547223208989	46.1821980779039	62.0868047154552	1.73448275862069	7.25689655172414	15.3387931034483	69.5525862068965	0	3	11	71	0.00569944422258544	3.98056394137541	3.83981545888708	4.11347217425621	3.83259440084262	4.1285334819082
1993	50.8180120566841	43.6702123269251	59.135740629341	7.36810344827586	22.7646551724138	40.9103448275862	116.338793103448	2	18	37	120	0.00598133593281235	3.928250859785	3.78649950596059	4.06340891963024	3.77666622956316	4.07983549000684
1994	51.2911930200083	45.1577870341871	58.2576484411003	7.80172413793103	19.7594827586207	30.9637931034483	74.351724137931	1.5	17	34	81	0.00422210375961689	3.93751906141548	3.81786878645428	4.0545930085994	3.81016273529485	4.06487538753611
1995	53.2507040961486	47.6048597999682	59.566134605809	21.0801724137931	40.2715517241379	56.9818965517241	119.962931034483	19	41	58	123	0.00326974928310629	3.975011026965	3.87184705780217	4.08143146914421	3.86293485266386	4.08708720126615
1996	52.4549076845084	46.5206027561985	59.1462100052796	35.7181034482759	63.4396551724138	86.0637931034483	158.428448275862	27	57	79	151	0.00375210094372847	3.9599538992831	3.85260350364187	4.07294994763051	3.83989528449254	4.08001251407366
1997	46.1860229154244	41.1220516998	51.8735963934038	16.3991379310345	35.8465517241379	55.2413793103448	132.356896551724	5	25	47	124	0.00351072590442085	3.83267721801679	3.72955661451375	3.93957376927919	3.71654451532533	3.94880992070825
1998	38.7003284361545	33.6905233918444	44.4550950914817	4.14655172413793	12.2060344827586	21.6043103448276	69.1887931034483	0	8	15	62	0.00500278298122828	3.65584808672206	3.53850381476033	3.77263339854899	3.517216592823	3.79447958062113
1999	34.0766236922012	28.6618185436628	40.5143965478294	4.5551724137931	17.4301724137931	33.5672413793103	103.620689655172	1	13	30	108	0.00779488574367234	3.52861162698883	3.38576486934853	3.67250617127268	3.355565872713	3.70165738126466
2000	32.3498626160938	26.5862972196355	39.3628944502747	0.402586206896552	2.99827586206897	7.93879310344828	45.0629310344828	0	0	2	43	0.0100218316170673	3.47660977414017	3.31024936207631	3.64255705977121	3.2803959409374	3.67282360734295
2001	34.5592557753655	28.8712827439208	41.36782457297	2.74913793103448	10.9379310344828	21.4586206896552	66.1051724137931	0	5	16	73	0.00841787385302912	3.54267540942637	3.38435808269195	3.69867761369158	3.36284742441348	3.72250339443926
2002	40.7436137505337	35.4847442774092	46.781852180615	0.168103448275862	1.65603448275862	5.76810344827586	54.523275862069	0	0	1	55	0.00497141865469846	3.70729910962704	3.57904559410354	3.83310433989006	3.56910286545272	3.84549535380137
2003	50.2795835164084	44.9118808829685	56.2888142042205	37.8637931034483	67.6379310344828	90.0318965517241	153.062931034483	33	65	86	153	0.00331780308364856	3.91759910040231	3.81168873827101	4.02722005072477	3.80470236738428	4.03049583342034
2004	56.9471835209815	50.7312111979181	63.9247838637337	12.1293103448276	26.9681034482759	45.0741379310345	127.502586206897	0	11	29	121	0.003477563599081	4.04212423337579	3.9347880676439	4.15401354728323	3.92654132667143	4.15770714008016
2005	60.5190543751389	54.0247578994738	67.7940278654481	24.0913793103448	56.8181034482759	85.4077586206896	164.347413793103	13	42	75	161.5	0.00335429158181139	4.10295826380038	3.99711409119478	4.21249888447848	3.98944242111449	4.21647410648626
2006	59.3970731005511	53.0541437571414	66.4983362856991	22.6344827586207	43.0120689655172	62.1439655172414	143.203448275862	20	37	55	138	0.00331987498198488	4.08424495075308	3.97639297641709	4.19354675585887	3.97131297241748	4.19717692908868
2007	57.2835471607651	50.325602008904	65.2034877742552	3.50689655172414	10.2344827586207	21.7801724137931	101.740517241379	0	2	12	105	0.00436540087700253	4.04801344742435	3.92294681465975	4.16801326689009	3.91851393387664	4.17751296097205
2008	58.2865219348547	51.4599934052315	66.0186372841028	2.58534482758621	9.18275862068966	18.6336206896552	85.8310344827586	0	0	8	85	0.00403913447498322	4.06537088197829	3.94559978252919	4.18207150539976	3.9408046787003	4.18993708525629
2009	61.7566263760103	55.3409014595818	68.9161325666441	40.6844827586207	71.226724137931	95.4318965517241	163.478448275862	35	67	89	161	0.00313194507060313	4.12320127948377	4.01901960727369	4.23044594163125	4.01351226370175	4.23289029526579
2010	61.5393512925615	55.1073093567391	68.7221314507194	30.9534482758621	51.0646551724138	66.1715517241379	120.719827586207	31	51	65	119	0.00317235993131345	4.11967682860599	4.01559467505471	4.22781784788787	4.00928236356298	4.23007129364901
2011	57.923574769159	51.9813436822504	64.5450901490261	20.451724137931	47.7818965517241	74.023275862069	156.478448275862	10	39.5	68	151	0.00304972096564883	4.0591244652537	3.95601535671921	4.16581274973852	3.95088487886482	4.16736405164258
2012	52.683168482015	47.0949893736942	58.934427594429	5.85	17.0784482758621	29.898275862069	85.9594827586207	0	11	27	82	0.00327285615232929	3.96429602089052	3.85575189536998	4.07318999853928	3.85216661263921	4.07642542914183
