jaar	gem_jaar	gem_og	gem_bg	og_jaar	bg_jaar	dag_onder_p01_mean	dag_onder_p05_mean	dag_onder_p10_mean	dag_onder_p30_mean	dag_onder_p01_median	dag_onder_p05_median	dag_onder_p10_median	dag_onder_p30_median
1985	62.0193408632025	53.7418645152971	71.9579174462908	46.2163109397319	85.6076410084471	1.02894736842105	3.28333333333333	8.00350877192983	61.8535087719298	0	0	1	57
1986	84.2446981523438	73.3539016791967	97.2513157833249	61.774605224189	116.679143694354	3.52327586206897	14.7948275862069	29.5560344827586	86.8258620689655	0	11	29	92
1987	18.2591793083074	15.6783391713192	21.3588023834828	8.4054145291999	34.3533484184804	0.0922413793103448	0.456034482758621	1.35862068965517	17.7853448275862	0	0	0	9
1988	28.8604511386607	24.929874327088	33.57035162507	9.36265922328521	60.6073952791214	0.0862068965517241	0.807758620689655	2.51293103448276	28.4827586206897	0	0	0	21
1989	150.991135845481	131.604181597129	174.142789615557	123.922470414689	188.087345839926	36.9836206896552	69.4551724137931	93.2379310344828	154.640517241379	33	73	100	161
1990	168.613376545052	146.880162616009	194.582975068244	127.195999986527	222.693186570371	45.1896551724138	72.5741379310345	94.9586206896552	169.358620689655	35	65	90	164
1991	130.774860826804	113.870390489428	150.976014307967	92.1987876006332	191.168903432705	16.4068965517241	35.1387931034483	54.4112068965517	131.43275862069	6	27	47	128
1992	70.6030704026343	61.2846307721858	81.7625170892831	43.8123965884551	110.269911228348	1.73448275862069	7.25689655172414	15.3387931034483	69.5525862068965	0	3	11	71
1993	114.681987797955	99.8815549738269	132.361934099051	94.7048872692067	140.992426387673	7.36810344827586	22.7646551724138	40.9103448275862	116.338793103448	2	18	37	120
1994	75.2669282598017	65.3701909322389	87.1140257707684	58.4774539085381	97.8609619726264	7.80172413793103	19.7594827586207	30.9637931034483	74.351724137931	1.5	17	34	81
1995	119.581273934627	104.097605519617	138.087909852104	92.499702753458	158.007699724916	21.0801724137931	40.2715517241379	56.9818965517241	119.962931034483	19	41	58	123
1996	157.52836853679	137.21693576382	181.797669975363	126.227879985436	202.02074212568	35.7181034482759	63.4396551724138	86.0637931034483	158.428448275862	27	57	79	151
1997	131.585016490998	114.584632184958	151.898865452247	102.824054868288	174.636482989502	16.3991379310345	35.8465517241379	55.2413793103448	132.356896551724	5	25	47	124
1998	70.1483672679191	60.8980798840309	81.2245124573044	53.4083761214309	95.1063078339413	4.14655172413793	12.2060344827586	21.6043103448276	69.1887931034483	0	8	15	62
1999	101.560709018783	88.4432463046039	117.229603569572	82.3634998642382	128.784561715789	4.5551724137931	17.4301724137931	33.5672413793103	103.620689655172	1	13	30	108
2000	45.6748444373935	39.5724846992123	52.9850606624083	34.9828266801454	60.8081228441853	0.402586206896552	2.99827586206897	7.93879310344828	45.0629310344828	0	0	2	43
2001	65.3764505549972	56.8386803690645	75.5800718966224	51.8118194154154	84.8032983372601	2.74913793103448	10.9379310344828	21.4586206896552	66.1051724137931	0	5	16	73
2002	55.3551750462356	47.998597969992	64.1676357957746	33.4886003820514	91.0515810043908	0.168103448275862	1.65603448275862	5.76810344827586	54.523275862069	0	0	1	55
2003	150.557984654045	131.201414449961	173.675335625725	126.973494132258	182.291019650832	37.8637931034483	67.6379310344828	90.0318965517241	153.062931034483	33	65	86	153
2004	128.605229514323	111.891621465279	148.594124891367	108.158721189924	156.328769997143	12.1293103448276	26.9681034482759	45.0741379310345	127.502586206897	0	11	29	121
2005	163.771646843033	142.651320508284	189.007897495899	133.727395553074	202.973650948231	24.0913793103448	56.8181034482759	85.4077586206896	164.347413793103	13	42	75	161.5
2006	143.069846711717	124.576522753244	165.171378031013	117.114535769256	179.544197392447	22.6344827586207	43.0120689655172	62.1439655172414	143.203448275862	20	37	55	138
2007	102.129347331354	88.8375854352069	118.022614517024	79.9721394111274	134.872596853394	3.50689655172414	10.2344827586207	21.7801724137931	101.740517241379	0	2	12	105
2008	86.932385045792	75.5373297061159	100.569908576389	70.7386697123584	109.523160171724	2.58534482758621	9.18275862068966	18.6336206896552	85.8310344827586	0	0	8	85
2009	161.455291449232	140.690731840902	186.25718245494	137.58805469414	189.88837156228	40.6844827586207	71.226724137931	95.4318965517241	163.478448275862	35	67	89	161
2010	122.061516423348	106.174019019646	141.064973759896	101.47405304015	148.722183112633	30.9534482758621	51.0646551724138	66.1715517241379	120.719827586207	31	51	65	119
2011	154.76747419944	134.844885217042	178.565218476766	131.858149092964	182.936649214615	20.451724137931	47.7818965517241	74.023275862069	156.478448275862	10	39.5	68	151
2012	87.1196205291201	75.6970590721509	100.791158194213	68.4061298399706	112.049879039378	5.85	17.0784482758621	29.898275862069	85.9594827586207	0	11	27	82
2013	113.754042988735	99.0321961681921	131.34683146966	94.6625492427985	139.134450470662	10.9327586206897	33.448275862069	53.551724137931	114.450862068966	6.5	34	55	114
2014	101.015911679796	87.8417662936911	116.774125722012	79.5336563263434	130.10829067952	3.30431034482759	14.0120689655172	27.2448275862069	100.230172413793	0	8	22	97
2015	141.852617312849	123.597164827607	163.656389521682	119.975879807142	170.700212397486	27.5275862068966	53.6206896551724	74.7741379310345	143.999137931034	25	50	71	146
2016	69.9612607962901	60.6957966433152	81.0654456111995	55.4911305692032	90.5926631832239	1.82413793103448	7.19396551724138	16.5896551724138	68.4577586206897	0	1	11	69
2017	147.190089453186	128.209428174376	169.867161641228	119.303162726246	188.242360707902	28.2043103448276	60.95	84.4594827586207	148.204310344828	18	57	83	146
2018	177.257052366513	154.237628790985	204.822833886771	152.073741238153	208.637194644771	85.0974137931034	112.062068965517	129.647413793103	177.511206896552	81	115	133	181
