jaar	mean	p02.5	p50	p97.5	simulatienr	groep3n
1985	61.2643071052724	48.0508336303783	61.1113858524839	79.2553943234181	1	2
1985	66.3265061137088	50.2933791508558	66.0990471493089	89.2205099994504	1	3
1985	57.9359124485554	46.9074342016235	57.8251433509642	72.3636316522868	1	4
1985	57.9764359453723	45.5792337388865	57.8351868332355	74.8002134291702	2	2
1985	71.5070745293791	54.3007469834303	71.2592733675892	96.0677595712909	2	3
1985	59.5765650208907	47.8343268991667	59.4516584483955	75.116110558445	2	4
1985	60.324601493559	47.7124126907816	60.1842403505985	77.3130529960084	3	2
1985	57.4123908530917	43.897637495841	57.2278251491579	76.4969737585767	3	3
1985	58.7300766233877	47.3691720098231	58.6122622395585	73.6755838492415	3	4
1985	63.1141898550963	49.2077260494169	62.9479597443873	82.2005570033004	4	2
1985	62.7035685211746	48.0355977269708	62.5021189116362	83.3851298788994	4	3
1985	66.3875035473297	53.5735172213575	66.2530153868515	83.2468796901069	4	4
1985	59.6947638937066	47.3277577346691	59.5599498097742	76.2929720447867	5	2
1985	75.3286766666632	57.7900590251545	75.0872779886829	100.026039066061	5	3
1985	62.9490635320121	50.8138631993074	62.8237622232585	78.8961877703269	5	4
1985	53.5767823068943	42.1289998641283	53.4465079323325	69.1078004432015	6	2
1985	64.704561922062	49.5740808148227	64.4981065375528	86.0259268029651	6	3
1985	65.2581961615961	52.7894627634107	65.1296807104146	81.6073502545773	6	4
1985	63.3438487607865	49.9843753573515	63.1916609551106	81.4060508817208	7	2
1985	62.1239280182027	47.1710844470686	61.91372762847	83.4316672590954	7	3
1985	59.616133183076	47.566096685157	59.4829039896091	75.6995416417924	7	4
1985	59.263994986398	46.7816468053101	59.1236023873216	76.1212767998226	8	2
1985	66.8282939638865	51.0433982955741	66.6063481275836	89.1892262019414	8	3
1985	57.3778719975056	46.0321018322394	57.2561898023728	72.4118241136542	8	4
1985	51.9527592965922	41.0940303428254	51.8342038790313	66.5619060362582	9	2
1985	64.992964830455	49.7084455021598	64.7838741328115	86.5730107130479	9	3
1985	65.7425197023082	53.2521276702109	65.6140791537502	82.0961163358791	9	4
1985	66.9840280903418	52.8228107987007	66.8217655778715	86.1492360892432	10	2
1985	66.0426450514788	50.1824901236444	65.8141826393397	88.6679628093361	10	3
1985	62.4872503802821	50.682875764432	62.3680355489259	77.9069945923168	10	4
1985	50.3292817439518	39.3059377820333	50.2027862690264	65.3948163696779	11	2
1985	73.6859979048885	56.3055618518048	73.4427717903834	98.2880225889818	11	3
1985	64.2558378429789	52.1152972150328	64.1325772694878	80.1198005344262	11	4
1985	58.1494723670869	45.6998140996896	58.0083468077131	75.0451234563589	12	2
1985	63.3239924199918	47.9869893189408	63.1041625578675	85.2541219144308	12	3
1985	60.5003818724495	48.7740628470376	60.3781971528377	75.9379715280707	12	4
1985	61.6397371442159	48.8133786031681	61.4982259090646	78.8864477526166	13	2
1985	59.6671803874292	45.4321880294962	59.4705494518587	79.86953915728	13	3
1985	62.8285487474793	51.2279525517837	62.7155591826185	77.8736848477609	13	4
1985	70.8113198788473	55.8357970736416	70.6392836615849	91.0837432693379	14	2
1985	63.825005421687	48.1929865454971	63.59860988261	86.27539782938	14	3
1985	62.9037695675095	51.00783769167	62.7836807689793	78.4466302080472	14	4
1985	62.4344610870829	49.6793379857057	62.2959607805614	79.4876835046684	15	2
1985	60.5676958017699	46.9237912794898	60.3913669084036	79.5092469233751	15	3
1985	65.7113079224514	53.234426406212	65.5840267896718	82.0378133242716	15	4
1985	54.9520818766916	43.6205252691794	54.8300152266117	70.1316962567687	16	2
1985	58.886060930354	44.9136435046082	58.6922965235363	78.6876518764777	16	3
1985	60.7599757410894	49.0536088721431	60.639305465566	76.1400411490625	16	4
1985	52.8668950123987	41.673123492435	52.7432730695682	67.9889575884317	17	2
1985	69.2051871527073	52.8566644995125	68.9812579441414	92.32168708195	17	3
1985	59.3905514082556	47.9343573103957	59.2725005026522	74.4459041798147	17	4
1985	56.2239083417666	44.4968091577549	56.0940296228701	72.0057982442078	18	2
1985	71.7614592101419	55.1788671636517	71.5379935851621	95.0245103769668	18	3
1985	63.1311733313529	51.1942078200721	63.0100437208922	78.7314312543029	18	4
1985	57.6625245914686	45.2906791157502	57.5215343768191	74.4678352288488	19	2
1985	67.3303530401245	51.5911486034686	67.1163269874141	89.5017051722459	19	3
1985	69.7864834834337	56.7519202025464	69.6551571993635	86.7661870278315	19	4
1985	60.7805809439135	47.6859931907813	60.6290313348392	78.604294023944	20	2
1985	69.3791448387521	53.2473368668173	69.1577377078311	92.0816811949717	20	3
1985	59.8101107553034	48.7106479756435	59.7017062251352	74.2240746623454	20	4
1986	75.031215455524	60.1204468654824	74.8652203498583	94.856689540075	1	2
1986	76.8971899867454	59.2807022521477	76.6598238195082	101.547955930385	1	3
1986	73.4416988955305	59.9710025002555	73.3118741268832	90.876692309883	1	4
1986	75.3623869868792	60.5370242563034	75.2007872504792	95.0007048255201	2	2
1986	86.8987026617164	67.0381802702877	86.6297110218858	114.679309538928	2	3
1986	77.7821160285542	63.0425712320532	77.6316156703808	97.0613472627229	2	4
1986	83.7620946855903	67.6531867443188	83.5895708175079	104.962195084844	3	2
1986	88.8376815306862	69.1534742859326	88.5813470437253	116.049585220275	3	3
1986	82.8805183891974	67.482439694733	82.7271052247275	102.902775690594	3	4
1986	75.1845966543789	59.9250364745594	75.0091269302719	95.6214023429222	4	2
1986	84.4821483764565	65.6653066479866	84.2382389533003	110.525769836326	4	3
1986	79.858363659193	64.9548631841985	79.7093202754223	99.2614161505875	4	4
1986	77.112495442572	62.3977808090166	76.9573131558975	96.4252759463996	5	2
1986	86.7916819008011	67.550412330775	86.5411290660909	113.395223446983	5	3
1986	80.610394020696	65.644109283662	80.4617880894712	100.064752332125	5	4
1986	74.6492178017522	59.9802575636225	74.4888637858522	94.078091863735	6	2
1986	78.6779091357048	61.2180518314834	78.4516161387882	102.817678929088	6	3
1986	85.4304731107174	69.6803936499065	85.2753520691819	105.862227136156	6	4
1986	69.8510808365573	56.1412606087887	69.7041497428055	87.9840531123996	7	2
1986	80.3958026944361	62.1676602964304	80.1508082196412	105.819269669531	7	3
1986	79.8750318084098	64.3870233153081	79.7111204980977	100.284634985157	7	4
1986	76.9952783010309	62.0389215532905	76.8334279022111	96.7376253318915	8	2
1986	84.5182189480827	65.5136538077814	84.2663020250391	110.93435333276	8	3
