meetpunt	p01	p05	p10	p30	p50	p70	p90	p95	p99	groep3	ampl	groep3n
1	15.725213557093	15.8973290862365	16.0153214619572	16.342848483308	16.342848483308	16.342848483308	16.342848483308	16.342848483308	16.342848483308	4	0.617634926215	4
2	75.1399943157202	75.1906312744615	75.2207739110522	75.2848693234425	75.2848693234425	75.2848693234425	75.2848693234425	75.2848693234425	75.2848693234425	3	0.144875007722248	2
3	65.9377012262907	66.0977588496538	66.2042945516128	66.5775242640169	66.5775242640169	66.5775242640169	66.5775242640169	66.5775242640169	66.5775242640169	4	0.639823037726259	4
4	1.41156104990098	1.51088532024724	1.57216944914784	1.73842368846762	1.73842368846762	1.73842368846762	1.73842368846762	1.73842368846762	1.73842368846762	2	0.326862638566638	3
5	2.53869806361619	2.66493581770404	2.75605118793901	3.03093205223287	3.03093205223287	3.03093205223287	3.03093205223287	3.03093205223287	3.03093205223287	3	0.492233988616685	4
6	8.89449971271312	9.00401113001844	9.07457749320739	9.25297827515684	9.25297827515684	9.25297827515684	9.25297827515684	9.25297827515684	9.25297827515684	4	0.358478562443715	3
7	17.5219348310095	17.6238387822834	17.6848812708749	17.847267239712	17.847267239712	17.847267239712	17.847267239712	17.847267239712	17.847267239712	4	0.325332408702543	3
8	26.240570756773	26.3984221327174	26.4939976006093	26.7164135862043	26.7164135862043	26.7164135862043	26.7164135862043	26.7164135862043	26.7164135862043	2	0.475842829431254	4
9	27.1049762737552	27.2423744540278	27.3425623934334	27.6860297741417	27.6860297741417	27.6860297741417	27.6860297741417	27.6860297741417	27.6860297741417	4	0.581053500386513	4
10	16.8149922849407	16.9558297266778	17.0469004564249	17.2752346364776	17.2752346364776	17.2752346364776	17.2752346364776	17.2752346364776	17.2752346364776	3	0.460242351536884	4
11	33.1816535973192	33.2869796743308	33.3506610998886	33.5657027692757	33.5657027692757	33.5657027692757	33.5657027692757	33.5657027692757	33.5657027692757	2	0.384049171956583	3
12	35.3533377700399	35.4132129030497	35.4517714257296	35.545159336623	35.545159336623	35.545159336623	35.545159336623	35.545159336623	35.545159336623	3	0.191821566583158	2
13	32.7375275406751	32.7860785555131	32.8169478282089	32.8942358568486	32.8942358568486	32.8942358568486	32.8942358568486	32.8942358568486	32.8942358568486	3	0.15670831617355	2
14	34.922910597657	35.0465963979226	35.1311230482923	35.3405503174809	35.3405503174809	35.3405503174809	35.3405503174809	35.3405503174809	35.3405503174809	4	0.417639719823839	4
15	33.8504522847316	33.9582096536494	34.0322030664389	34.2421373697973	34.2421373697973	34.2421373697973	34.2421373697973	34.2421373697973	34.2421373697973	2	0.391685085065674	3
16	17.0230392552013	17.0410108881956	17.0523644117264	17.0840479805673	17.0840479805673	17.0840479805673	17.0840479805673	17.0840479805673	17.0840479805673	3	0.0610087253660545	2
17	0.614809746129984	0.734753136022041	0.815563542234738	1.03271010581528	1.03271010581528	1.03271010581528	1.03271010581528	1.03271010581528	1.03271010581528	2	0.417900359685297	4
18	0.507975007788045	0.646675576618224	0.730327826613647	0.959734985368914	0.959734985368914	0.959734985368914	0.959734985368914	0.959734985368914	0.959734985368914	2	0.451759977580869	4
19	28.4425957509796	28.562420426683	28.6408550714359	28.8724398785135	28.8724398785135	28.8724398785135	28.8724398785135	28.8724398785135	28.8724398785135	3	0.429844127533833	4
20	13.4164078273558	13.527765418281	13.606520163288	13.8231717750393	13.8231717750393	13.8231717750393	13.8231717750393	13.8231717750393	13.8231717750393	2	0.406763947683515	4
21	13.8318107877105	13.9498129399962	14.0229588058308	14.2116664161646	14.2116664161646	14.2116664161646	14.2116664161646	14.2116664161646	14.2116664161646	3	0.379855628454081	3
22	9.74239546508828	9.87447949040302	9.9677056012518	10.2301061267397	10.2301061267397	10.2301061267397	10.2301061267397	10.2301061267397	10.2301061267397	4	0.487710661651414	4
