unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	gew_aantal_meetptn	geselecteerd	reserve	cat	selectie	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
2	ALMP002	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109744	185010	2	1	1	1	4	601	1.05	13.42	14	1	0	2	3	1	4	2	13.8	1.58	0.3
5	ARHP010	ARH	Aronst Hoek	203804	177070	1	2	1	1	2	486	2.15	23.791	12	1	0	4	3	-1	6	3	24.191	2.7	0.3
7	BEBP012	BEB	Bellebeek	133244	174908	2	1	1	1	3	505	1.7	13.91	13	1	0	3	3	-1	7	7	13.91	2.2	1
8	BEBP013	BEB	Bellebeek	133268	174873	2	1	1	1	3	505	0.94	13.21	13	1	0	4	3	-1	4	2	13.9	1.78	0.3
11	BRAP003	BRA	Bos van Ranst	163755	210701	2	1	1	1	4	918	1.125	8.84	14	1	0	2	3	-1	4	2	9.4	2.17	0.97
13	BRAP102	BRA	Bos van Ranst	163992	210550	2	1	1	1	4	918	1.525	9.17	14	1	0	3	3	-1	4	2	9.62	2.25	0.55
14	DEMP007	DEM	de Merode-Herselt	190806	194941	2	1	1	1	1	822	2.07	15.85	11	1	0	4	3	1	3	1	16.34	2.71	0.3
15	DEMP011	DEM	de Merode-Herselt	190657	194916	2	1	1	1	1	822	1.85	15.76	11	1	0	3	3	1	3	1	15.76	2	0.3
17	DORP004	DOR	Dorent	154347	192887	2	1	1	1	3	790	1.67	3.58	13	1	0	2	3	1	2	5	3.98	2.22	0.3
19	DUNP010	DUN	Dunbergbroek	178354	180655	2	1	1	1	4	134	1.81	15.714	14	1	0	2	3	1	3	1	16.054	2.4	0.5
20	DUNP011	DUN	Dunbergbroek	178562	180199	2	1	1	1	4	134	1.82	16.05	14	1	0	3	3	1	3	1	16.54	2.31	0
22	DYLP020	DYL	Dijlevallei	169378	167510	2	1	1	1	3	262	1.74	27.24	13	1	0	5	3	1	3	1	27.48	2.23	0.5
23	DYLP021	DYL	Dijlevallei	169440	167581	2	1	1	1	3	262	2.06	27.89	13	1	0	3	3	1	3	1	28.21	2.53	0.3
26	DYLP066	DYL	Dijlevallei	169359	167629	2	1	1	1	3	262	2.205	27.165	13	1	0	8	3	1	3	1	27.435	2.625	0.3
29	DYLP073	DYL	Dijlevallei	169323	167496	2	1	1	1	3	262	1.61	27.22	13	1	0	7	3	1	3	1	27.61	2.15	0.3
30	DYLP156	DYL	Dijlevallei	169478	166091	2	1	1	1	3	262	1.84	28.092	13	1	0	9	3	1	3	1	28.432	2.33	0.3
31	GOBP004	GOB	Gorenbroek	201885	184397	2	1	1	1	2	166	2.11	20.0131	12	1	0	3	3	1	3	1	20.4131	2.66	0.3
32	GSCP002	GSC	Groot Schietveld	167621	229841	2	1	1	1	3	478	1.48	17.78	13	1	0	5	3	1	4	2	18.53	2.73	1
33	GSCP007	GSC	Groot Schietveld	167540	229836	2	1	1	1	3	478	1.97	18.25	13	1	0	2	3	1	3	1	18.43	2.3	0.3
34	GSCP008	GSC	Groot Schietveld	167490	229826	2	1	1	1	3	478	2.22	18.4	13	1	0	6	3	1	4	2	18.77	2.84	0.5
35	GSCP009	GSC	Groot Schietveld	167459	229809	2	1	1	1	3	478	1.45	0	13	1	0	9	3	1	4	2	0.8	2.5	0.5
37	GSCP011	GSC	Groot Schietveld	167660	229863	2	1	1	1	3	478	1.7	17.65	13	1	0	3	3	1	3	1	18.45	3	1
39	GSCP020	GSC	Groot Schietveld	167682	229188	2	1	1	1	3	478	2.23	18.5	13	1	0	4	3	1	4	2	18.52	2.5	0.5
40	GSCP021	GSC	Groot Schietveld	167691	229182	2	1	1	1	3	478	1.67	18.31	13	1	0	8	3	1	3	1	18.89	2.5	0.5
41	GSCP024	GSC	Groot Schietveld	168020	229769	2	1	1	1	3	478	1.78	19.06	13	1	0	7	3	1	4	2	19.69	2.56	0.3
45	HALP002	HAL	Hallerbos	143429	155341	2	1	1	1	4	185	1.62	74.36	14	2	0	3	3	-1	3	1	74.74	2.15	0.3
48	HBTP008	HBT	Helderbeekvallei Terril	212972	193185	2	1	1	1	3	694	1.91	32.878	13	1	0	4	3	1	3	1	33.378	2.56	0.3
49	IJSP003	IJS	Ijsevallei	163141	164523	2	1	1	1	3	262	0.83	6.52	13	1	0	4	3	1	4	2	7.04	1.5	0.3
52	KALP022	KAL	Kalmthoutse heide	155356	230811	2	1	1	1	3	734	0.82	23.47	13	1	0	2	3	1	3	1	23.29	1.14	1
55	KLUP003	KLU	Kluysbos	119864	161359	2	1	1	1	4	217	0.68	44.73	14	1	0	2	3	-1	4	2	45.12	1.32	0.5
56	LAAP003	LAA	Laambroeken	218524	190066	2	1	1	1	3	694	1.91	40.153	13	1	0	2	3	1	4	2	40.583	2.49	0.3
57	LAVP059	LAV	Laanvallei	168181	164052	2	1	1	1	3	262	1.83	30.35	13	1	0	2	3	1	4	2	30.62	2.1	0
58	LAVP060	LAV	Laanvallei	168105	164098	2	1	1	1	3	262	1.87	31.09	13	1	0	6	3	1	4	2	31.41	2.19	0
61	LDOP035	LDO	Langdonken	185221	191291	2	1	1	1	1	342	1.77	14.02	11	1	0	2	3	1	3	1	14.57	2.47	0.3
63	LEPP009	LEP	Lenspolder	34664	204521	2	1	1	1	4	817	2.16	4.91	14	1	0	3	3	1	4	2	5.19	2.44	0
64	LEPP011	LEP	Lenspolder	34654	204481	2	1	1	1	4	817	1.22	4.66	14	1	0	10	3	1	4	2	5.56	2.12	0
65	LEUP005	LEU	De Leunen	201075	186470	2	1	1	1	2	54	1.18	-0.74	12	1	0	5	3	-1	3	1	0	2.07	0.3
66	LEUP006	LEU	De Leunen	201075	186405	2	1	1	1	2	54	0.43	-0.9	12	1	0	11	3	-1	3	1	0	1.51	0.36
67	LEUP008	LEU	De Leunen	201300	186315	2	1	1	1	2	54	0.63	-0.79	12	1	0	9	3	-1	3	1	0	1.57	0.3
68	LEUP009	LEU	De Leunen	201320	186255	2	1	1	1	2	54	0.575	-0.8	12	1	0	7	3	-1	3	1	0	1.52	0.29
69	LOHP009	LOH	Lovenhoek	175532	213189	2	1	1	1	4	214	0.6	10.746	14	1	0	3	3	1	3	1	11.646	2.5	2
71	LOHP017	LOH	Lovenhoek	175233	213318	2	1	1	1	4	214	0.91	10.265	14	1	0	2	3	1	3	1	10.905	2.55	2
73	MATP003	MAT	De Maten	224779	181757	2	1	1	1	1	306	0.88	41.97	11	1	0	2	3	1	3	1	42.28	1.44	0.5
74	MATP006	MAT	De Maten	226190	183227	2	1	1	1	3	306	1.64	49.23	13	1	0	4	3	1	3	1	49.65	2.31	0.5
77	MATP014	MAT	De Maten	226291	182944	2	1	1	1	3	306	1.23	48.72	13	1	0	6	3	1	3	1	49.05	1.81	0.5
78	MATP015	MAT	De Maten	226040	183424	2	1	1	1	1	306	0.63	49.24	11	1	0	3	3	1	3	1	49.66	1.3	0.5
79	MATP017	MAT	De Maten	226823	183586	2	1	1	1	3	306	0.85	50.921	13	1	0	3	3	1	3	1	51.431	1.61	0.5
80	MOEP011	MOE	Moenebroeken	116115	166574	2	1	1	1	3	217	2.59	0	13	1	0	2	3	1	4	2	0.45	3.04	0
82	MOLP018	MOL	Molenbeekvallei	167135	177145	2	1	1	1	4	454	1.34	25.3	14	1	0	2	3	1	3	1	25.82	2.01	0.3
84	MOLP024	MOL	Molenbeekvallei	166641	176739	2	1	1	1	4	454	1.43	26.794	14	1	0	4	3	1	3	1	27.234	2.02	0.3
85	MOLP025	MOL	Molenbeekvallei	166664	176724	2	1	1	1	4	454	1.49	26.695	14	1	0	3	3	1	3	1	27.035	2.03	0.4
