loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	firstyear	lastyear	nryears	cat
ALMP001	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109770	185010	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	601	1.59	14.68	14	2004	2006	3	3
ALMP002	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109744	185010	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	601	1.2	13.8	14	2004	2008	5	3
ALMP003	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	110287	185136	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	601	0.85	18.33	14	2004	2008	5	3
ASBP001	ASB	Asbeek	238494	179477	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	1010	0.96	71.947	11	2008	2016	9	3
BELP004	BEL	de Belv<e9>d<e8>re	28016	199778	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	177	2.47	5.47	15	2001	2006	5	3
BELP005	BEL	de Belv<e9>d<e8>re	28044	199714	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	177	0.96	4.33	15	2001	2006	5	3
BELP006	BEL	de Belv<e9>d<e8>re	28068	199648	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	177	0.99	4.1	15	2001	2006	5	3
BELP008	BEL	de Belv<e9>d<e8>re	28242	199806	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	177	1.9	4.23	15	2001	2006	5	3
BELP009	BEL	de Belv<e9>d<e8>re	28145	199761	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	177	1.13	4.38	15	2001	2006	5	3
BELP010	BEL	de Belv<e9>d<e8>re	27947	199669	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	177	1.6	4.73	15	2001	2006	5	3
