rasterid	groupnr	gew_aantal_meetptn	loc_code	n_tubes	n_tubes_lgl	aantal_cat1A	aantal_cat1B	area_code	area_name	x	y	typegroup_name	filterdepth	soilsurf_ost
486	2	1	ARHP009	4	0	0	1	ARH	Aronst Hoek	203834	177051	12	2.1	24.31
486	2	1	ARHP010	4	0	0	1	ARH	Aronst Hoek	203804	177070	12	2.3	24.191
54	3	1	AVEP007	21	0	0	1	AVE	Averbode	194071	191836	13	1.98	22.46
54	3	1	AVEP036	21	0	0	1	AVE	Averbode	194308	192708	13	2.75	22.731
850	1	1	BOBP016	5	0	0	1	BOB	Bosbeekvallei	239779	195779	11	0.98	50.816
850	1	1	BOBP018	5	0	0	1	BOB	Bosbeekvallei	240525	196690	11	1.31	47.724
850	1	1	BOBP303	5	0	0	1	BOB	Bosbeekvallei	239925	195868	11	0.5	51.34
850	1	1	BOBP304	5	0	0	1	BOB	Bosbeekvallei	239926	195869	11	1.5	51.39
89	4	1	BOEP003	5	0	0	1	BOE	Boembeke	107334	170403	14	2.8	0.6
1	5	1	BREP201	13	0	0	1	BRE	Bredene - De Haan	55379	218541	15	2.19	5.67
1	5	1	BREP202	13	0	0	1	BRE	Bredene - De Haan	55440	218464	15	2.91	6.55
1	5	1	BREP203	13	0	0	1	BRE	Bredene - De Haan	55243	218558	15	2.95	6.39
1	5	1	BREP204	13	0	0	1	BRE	Bredene - De Haan	55302	218484	15	2.67	6.14
1	5	1	BREP205	13	0	0	1	BRE	Bredene - De Haan	55139	218468	15	2.55	6.03
1	5	1	BREP206	13	0	0	1	BRE	Bredene - De Haan	55099	218328	15	2.62	6.66
1	5	1	BREP207	13	0	0	1	BRE	Bredene - De Haan	54921	218343	15	2.7	6.6
1	5	1	BREP210	13	0	0	1	BRE	Bredene - De Haan	55034	218027	15	2.8	6.63
990	5	2	BRSP008	1	0	1	1	BRS	Domeinbos Brasschaat (Inslag)	160451	222061	15	2.19	15.78
25	4	1	BTRP001	1	0	0	1	BTR	Bos ter Rijst	101924	164018	14	2.17	68.17
1	5	1	BUNP001	13	0	0	1	BUN	Paddegat-bunkerweiden	57800	216439	15	2.68	3.696
1	5	1	CATP004	13	0	0	1	CAT	Cathille	58649	214127	15	1.22	2.28
822	1	1	DEMP007	17	0	0	1	DEM	de Merode-Herselt	190806	194941	11	2.22	16.34
822	1	1	DEMP011	17	0	0	1	DEM	de Merode-Herselt	190657	194916	11	2	15.76
306	2	1	DPBP007	1	0	0	1	DPB	Diepenbeek	221649	179772	12	2.21	0
262	3	1	DYLP020	33	0	0	1	DYL	Dijlevallei	169378	167510	13	1.99	27.48
262	3	1	DYLP021	33	0	0	1	DYL	Dijlevallei	169440	167581	13	2.21	28.21
262	2	1	DYLP029	9	0	0	1	DYL	Dijlevallei	169238	167404	12	1.44	27.42
