unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	typegroup_name	rasterid	cat	gew_aantal_meetptn	geselecteerd	reserve
126	WAHP712	WAH	Waaslandhaven	144656	214876	VLD	Gevalideerd	P	Peilbuis/Piëzometer	2	12	41	1	1	1	0
181	ZWIP104	ZWI	Zwinduinen en -polders	75551	226763	VLD	Gevalideerd	P	Peilbuis/Piëzometer	5	15	53	1	1	1	0
59	MSBP007	MSB	Molenstedebroek	194938	187299	VLD	Gevalideerd	P	Peilbuis/Piëzometer	2	12	54	1	1	1	0
64	NEIP001	NEI	Neigembos	128122	167393	VLD	Gevalideerd	P	Peilbuis/Piëzometer	4	14	57	1	1	1	0
7	BOEP003	BOE	Boembeke	107334	170403	VLD	Gevalideerd	P	Peilbuis/Piëzometer	4	14	89	1	1	1	0
34	HALP001	HAL	Hallerbos	143431	155389	VLD	Gevalideerd	P	Peilbuis/Piëzometer	4	14	185	1	1	1	0
70	RASP002	RAS	Raspaillebos	120111	162861	VLD	Gevalideerd	P	Peilbuis/Piëzometer	4	14	217	1	1	1	0
119	VIEP117	VIE	Vierkensbroek-Demervallei	192297	188970	VLD	Gevalideerd	P	Peilbuis/Piëzometer	2	12	310	1	1	1	0
3	ARHP009	ARH	Aronst Hoek	203834	177051	ENT	Ingegeven	P	Peilbuis/Piëzometer	2	12	486	1	1	1	0
186	ZWIP213	ZWI	Zwinduinen en -polders	79544	228488	ENT	Ingegeven	P	Peilbuis/Piëzometer	1	11	565	1	1	1	0
91	TLAP003	TLA	Terlaemen & Weijerman	214025	187912	VLD	Gevalideerd	P	Peilbuis/Piëzometer	1	11	694	1	1	1	0
129	WELP018	WEL	Wellemeersen	128284	176954	VLD	Gevalideerd	P	Peilbuis/Piëzometer	3	13	1017	1	1	1	0
