unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	selectie	gew_aantal_meetptn	geselecteerd	reserve
150	WAHP711	WAH	Waaslandhaven	144524	214863	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	41	2.31	2.485	12	-1	1	0	2
212	ZWIP108	ZWI	Zwinduinen en -polders	75653	226501	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	5	53	1.05	5.351	15	-1	1	0	2
63	MSBP003	MSB	Molenstedebroek	194861	187151	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	2	54	1.97	19.154	12	-1	1	0	2
62	MSBP002	MSB	Molenstedebroek	194917	187270	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	54	2.0920000000001	19.1069999999999	12	-1	1	0	3
68	MSBP013	MSB	Molenstedebroek	195275	186651	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	54	2.215	19.3709999999999	12	-1	1	0	4
67	MSBP009	MSB	Molenstedebroek	194851	187121	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	54	2.766	19.452	12	-1	1	0	5
69	MSBP014	MSB	Molenstedebroek	195268	186601	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	54	2.2659999999999	19.376	12	-1	1	0	6
66	MSBP008	MSB	Molenstedebroek	194883	187199	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	54	1.6270000000001	19.3859999999999	12	-1	1	0	7
64	MSBP006	MSB	Molenstedebroek	194955	187335	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	54	2.136	18.91	12	-1	1	0	8
71	NEIP002	NEI	Neigembos	128078	167410	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	57	1.1	0.45	14	-1	1	0	2
204	ZWBP013	ZWB	Zwalmbeek	107282	173439	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	89	3	20.23	14	-1	1	0	2
85	SBBP002	SBB	Steenbergse bossen	109983	170962	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	89	1.34	52.147	14	-1	1	0	3
206	ZWBP017	ZWB	Zwalmbeek	107421	173519	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	89	3	32.07	14	-1	1	0	4
205	ZWBP014	ZWB	Zwalmbeek	107312	173473	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	89	3	20.17	14	-1	1	0	5
39	HALP005	HAL	Hallerbos	144281	156162	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	185	1.96	68.673	14	-1	1	0	2
38	HALP002	HAL	Hallerbos	143429	155341	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	185	1.79	74.66	14	-1	1	0	3
43	KLUP003	KLU	Kluysbos	119864	161359	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	217	0.93	45.12	14	-1	1	0	2
80	RASP001	RAS	Raspaillebos	120085	162768	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	217	2.57	69.404	14	-1	1	0	3
82	RASP003	RAS	Raspaillebos	120002	163028	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	217	1.32	40.862	14	-1	1	0	4
