loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	ser_firstyear	ser_lastyear	ser_nryears	ser_length	rest_aantal_meetptn	rankclus	rankclus_lastyear	rankclus_nryears	beschikbaar_aantal_cluster	gew_aantal_meetptn	aantal_cat1A	n
BRSP008	BRS	Domeinbos Brasschaat (Inslag)	160451	222061	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	990	2.19	15.78	15	NA	0	0	NA	1	1	1	1	1	2	1	1
BTRP001	BTR	Bos ter Rijst	101924	164018	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	25	2.17	68.17	14	NA	0	0	NA	1	1	1	1	1	1	0	1
COOP001	COO	Coolhembos	146113	196127	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	233	1.4	2.56	11	2006	2015	8	10	1	1	1	1	1	1	0	1
DPBP007	DPB	Diepenbeek	221649	179772	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	306	2.21	0	12	NA	0	0	NA	1	1	1	1	1	1	0	1
DYLP037	DYL	Dijlevallei	169802	167510	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	582	1.12	28.42	14	2008	2016	9	9	1	1	1	1	1	1	0	1
DYLP109	DYL	Dijlevallei	169049	168137	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	262	2.97	28.13	14	2008	2016	9	9	1	1	1	1	1	1	0	1
HAGP019	HAG	Hageven	224064	217725	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	274	2.061	34.611	12	2002	2015	14	14	1	1	1	1	1	1	0	1
KBRP060	KBR	Potpolder Kruibeke Rupelmonde	145448	202168	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	233	2.14	2.233	12	2001	2012	11	12	1	1	1	1	1	1	0	1
LDOP041	LDO	Langdonken	186424	191178	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	310	2.62	14.604	13	2005	2016	10	12	1	1	1	1	1	1	0	1
MOGP003	MOG	Mosselgoren	188983	208897	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	758	1.63	14.721	11	NA	0	0	NA	1	1	1	1	1	1	0	1
SWPP032	SWP	Scheldemeersen Wortegem-Petege	94675	169402	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	537	1.68	10.47	14	NA	0	0	NA	1	1	1	1	1	1	0	1
TORP018	TOR	Torfbroek	162023	179712	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	198	0.42	16.963	14	2005	2016	12	12	1	1	1	1	1	1	0	1
VRIP024	VRI	Vrieselhof	167122	212402	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	918	3	8.98	15	NA	0	0	NA	1	1	1	1	1	1	0	1
WALP005	WAL	Walenbos	184748	179727	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	134	0.91	26.42	15	NA	0	0	NA	1	1	1	1	1	1	0	1
ZEMP005	ZEM	Zemst	158392	184259	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	710	2.52	8.223	14	2005	2010	6	6	1	1	1	1	1	1	0	1
ZWAP241	ZWA	Zwarte Beek	215877	198283	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	950	0.85	51.711	15	2009	2016	8	8	1	1	1	1	1	1	0	1
