unieknr	loc_code	x	y	rasterid	groupnr	ser_length	ser_firstyear	ser_lastyear	ser_nryears	rest_aantal_meetptn	rankclus	rankclus_lastyear	rankclus_nryears	beschikbaar_aantal_cluster	gew_aantal_meetptn	aantal_cat1A	aantal_cat1B	n
1	ALMP002	109744	185010	601	4	5	2004	2008	5	1	1	1	1	2	1	0	0	2
2	ALMP003	110287	185136	601	4	5	2004	2008	5	1	1	1	1	2	1	0	0	2
3	ASBP001	238494	179477	1010	1	9	2008	2016	9	1	1	1	1	3	1	0	0	1
4	BELP004	28016	199778	177	5	6	2001	2006	5	1	1	1	1	8	1	0	0	8
5	BELP005	28044	199714	177	5	6	2001	2006	5	1	1	1	1	8	1	0	0	8
6	BELP006	28068	199648	177	5	6	2001	2006	5	1	1	1	1	8	1	0	0	8
7	BELP008	28242	199806	177	5	6	2001	2006	5	1	1	1	1	8	1	0	0	8
8	BELP009	28145	199761	177	5	6	2001	2006	5	1	1	1	1	8	1	0	0	8
9	BELP010	27947	199669	177	5	6	2001	2006	5	1	1	1	1	8	1	0	0	8
10	BUIP011	206653	212113	118	1	9	2001	2009	9	1	1	1	1	14	1	0	0	13
11	BUIP012	206540	212103	118	1	9	2001	2009	9	1	1	1	1	14	1	0	0	13
12	BUIP014	206517	212120	118	1	9	2001	2009	9	1	1	1	1	14	1	0	0	13
13	BUIP015	206639	212165	118	1	9	2001	2009	9	1	1	1	1	14	1	0	0	13
14	BUIP016	206637	212165	118	1	9	2001	2009	9	1	1	1	1	14	1	0	0	13
15	BUIP023	206653	212114	118	1	9	2001	2009	9	1	1	1	1	14	1	0	0	13
16	BUIP026	206595	212157	118	1	9	2001	2009	9	1	1	1	1	14	1	0	0	13
17	BUIP027	206595	212155	118	1	9	2001	2009	9	1	1	1	1	14	1	0	0	13
18	BUIP029	206552	212168	118	1	9	2001	2009	9	1	1	1	1	14	1	0	0	13
19	BUIP030	206550	212169	118	1	9	2001	2009	9	1	1	1	1	14	1	0	0	13
20	BUIP031	206473	212059	118	1	9	2001	2009	9	1	1	1	1	14	1	0	0	13
21	BUIP032	206473	212059	118	1	9	2001	2009	9	1	1	1	1	14	1	0	0	13
22	BUIP033	206472	212059	118	1	9	2001	2009	9	1	1	1	1	14	1	0	0	13
23	BUIP035	206335	212060	118	1	7	2003	2009	7	1	1	1	1	14	1	0	0	1
24	DUNP010	178354	180655	134	4	10	2004	2013	6	1	1	1	1	2	1	0	0	2
25	DUNP012	178707	179625	134	4	10	2004	2013	6	1	1	1	1	2	1	0	0	2
26	HALP002	143429	155341	185	4	8	2008	2015	8	1	1	1	1	2	1	0	0	1
27	HALP005	144281	156162	185	4	5	2008	2012	5	1	1	1	1	2	1	0	0	1
28	ITTP212	242307	202672	146	1	5	2012	2016	5	1	1	1	1	2	1	0	0	1
29	KALP136	154423	234049	734	3	5	2011	2015	5	1	1	1	1	2	1	0	0	2
30	KALP137	154350	234337	734	3	5	2011	2015	5	1	1	1	1	2	1	0	0	2
31	LDOP019	184754	191421	342	1	9	2004	2012	8	1	1	1	1	4	1	0	0	1
32	LDOP035	185221	191291	342	1	12	2005	2016	9	1	1	1	1	4	1	0	0	1
33	LDOP036	185321	190835	342	1	8	2005	2012	6	1	1	1	1	4	1	0	0	1
34	LDOP042	184750	191415	342	1	10	2007	2016	6	1	1	1	1	4	1	0	0	1
35	MATP003	224779	181757	306	1	6	2011	2016	5	1	1	1	1	4	1	0	0	4
36	MATP010	225128	182769	306	1	5	2012	2016	5	1	1	1	1	4	1	0	0	4
37	MATP013	226425	182603	306	1	5	2012	2016	5	1	1	1	1	4	1	0	0	4
38	MATP015	226040	183424	306	1	5	2012	2016	5	1	1	1	1	4	1	0	0	4
39	MECP050	237195	185737	1010	1	10	2007	2016	10	1	1	1	1	3	1	0	0	2
40	MOLP018	167135	177145	454	4	5	2001	2005	5	1	1	1	1	5	1	0	0	5
41	MOLP022	166595	176767	454	4	5	2001	2005	5	1	1	1	1	5	1	0	0	5
42	MOLP023	166621	176753	454	4	5	2001	2005	5	1	1	1	1	5	1	0	0	5
43	MOLP024	166641	176739	454	4	5	2001	2005	5	1	1	1	1	5	1	0	0	5
44	MOLP025	166664	176724	454	4	5	2001	2005	5	1	1	1	1	5	1	0	0	5
45	MOSP001	210617	207077	630	1	9	2006	2014	9	1	1	1	1	3	1	0	0	3
46	MOSP003	210894	207017	630	1	9	2006	2014	9	1	1	1	1	3	1	0	0	3
47	MOSP004	210870	207068	630	1	9	2006	2014	9	1	1	1	1	3	1	0	0	3
48	NODP004	28636	200385	177	5	5	2002	2006	5	1	1	1	1	8	1	0	0	8
49	NODP006	27875	200717	177	5	5	2002	2006	5	1	1	1	1	8	1	0	0	8
50	OSKP026	51964	210700	113	5	7	2003	2009	5	1	1	1	1	2	1	0	0	2
51	OSKP038	54530	210938	113	5	7	2003	2009	5	1	1	1	1	2	1	0	0	2
52	SBEP001	38116	205439	817	5	12	2001	2012	12	1	1	1	1	3	1	0	0	1
53	SCPP021	204705	204248	886	3	7	2008	2014	7	1	1	1	1	13	1	0	0	8
54	SCPP024	206720	204096	886	3	7	2006	2012	7	1	1	1	1	13	1	0	0	1
55	SCPP025	206960	204244	886	2	6	2006	2011	6	1	1	1	1	3	1	0	0	1
56	SCPP027	205749	204186	886	1	6	2007	2012	5	1	1	1	1	3	1	0	0	1
57	SCPP033	205281	204334	886	3	7	2008	2014	7	1	1	1	1	13	1	0	0	8
58	SCPP034	205513	204333	886	2	7	2008	2014	7	1	1	1	1	3	1	0	0	2
59	SCPP035	205616	204216	886	3	7	2008	2014	7	1	1	1	1	13	1	0	0	8
60	SCPP036	205976	204000	886	3	7	2008	2014	7	1	1	1	1	13	1	0	0	8
61	SCPP039	206669	204706	886	3	7	2008	2014	7	1	1	1	1	13	1	0	0	8
62	SCPP040	206707	204679	886	3	7	2008	2014	7	1	1	1	1	13	1	0	0	8
63	SCPP042	205315	204593	886	3	7	2008	2014	7	1	1	1	1	13	1	0	0	8
64	SCPP043	207040	205023	886	2	7	2008	2014	7	1	1	1	1	3	1	0	0	2
65	SCPP045	206476	204589	886	1	7	2008	2014	7	1	1	1	1	3	1	0	0	1
66	SCPP047	206640	204635	886	3	7	2008	2014	6	1	1	1	1	13	1	0	0	1
67	SCPP050	207566	205767	886	3	7	2008	2014	7	1	1	1	1	13	1	0	0	8
68	SHHP032	226069	192196	722	3	9	2008	2016	7	1	1	1	1	4	1	0	0	1
69	STAP050	242727	208039	146	1	8	2009	2016	8	1	1	1	1	2	1	0	0	1
70	TEUP019	222593	189365	722	3	5	2010	2014	5	1	1	1	1	4	1	0	0	1
71	TEUP026	224931	188926	722	3	9	2008	2016	9	1	1	1	1	4	1	0	0	1
72	TEUP043	223696	188700	722	1	10	2007	2016	10	1	1	1	1	4	1	0	0	1
73	TEUP044	223773	188744	722	1	9	2008	2016	9	1	1	1	1	4	1	0	0	2
74	TEUP045	225036	188792	722	3	7	2008	2014	7	1	1	1	1	4	1	0	0	1
75	TEUP046	225067	188690	722	1	9	2008	2016	7	1	1	1	1	4	1	0	0	1
