unieknr	loc_code	rasterid	groupnr	rankclus	rankclus_lastyear	rankclus_nryears	beschikbaar_aantal_cluster	gew_aantal_meetptn	n	selectie	lastyear	nryears	firstyear
132	ALMP002	601	4	1	1	1	2	1	2	1	2019	100	2004
133	ALMP003	601	4	1	1	1	2	1	2	1	2019	100	2004
121	ARHP009	486	2	1	1	1	4	1	4	-1	0	0	NA
122	ARHP010	486	2	1	1	1	4	1	4	-1	0	0	NA
50	BELP004	177	5	1	1	1	3	1	3	1	2019	100	2001
51	BELP010	177	5	1	1	1	3	1	3	1	2019	100	2001
20	BOEP003	89	4	1	1	1	5	1	5	-1	0	0	NA
25	BUIP011	118	1	1	1	1	6	1	6	1	2019	100	2001
26	BUIP015	118	1	1	1	1	6	1	6	1	2019	100	2001
27	BUIP023	118	1	1	1	1	6	1	6	1	2019	100	2001
28	BUIP027	118	1	1	1	1	6	1	6	1	2019	100	2001
29	BUIP032	118	1	1	1	1	6	1	6	1	2019	100	2001
30	BUIP033	118	1	1	1	1	6	1	6	1	2019	100	2001
177	DEMP007	822	1	1	1	1	10	1	10	1	2019	100	2005
178	DEMP011	822	1	1	1	1	10	1	10	1	2019	100	NA
31	DUNP010	134	4	1	1	1	2	1	2	1	2019	100	2004
32	DUNP012	134	4	1	1	1	2	1	2	1	2019	100	2004
66	DYLP020	262	3	1	1	1	10	1	10	1	2019	100	2004
67	DYLP021	262	3	1	1	1	10	1	10	1	2019	100	2004
64	DYLP029	262	2	1	1	1	2	1	2	1	2019	100	2004
68	DYLP066	262	3	1	1	1	10	1	10	1	2019	100	2004
69	DYLP071	262	3	1	1	1	10	1	10	1	2019	100	2004
70	DYLP072	262	3	1	1	1	10	1	10	1	2019	100	2004
71	DYLP073	262	3	1	1	1	10	1	10	1	2019	100	2004
72	DYLP156	262	3	1	1	1	10	1	10	1	2019	100	2016
33	GOBP004	166	2	1	1	1	4	1	4	1	2019	100	2014
111	GSCP002	478	3	1	1	1	10	1	10	1	2019	100	2001
112	GSCP007	478	3	1	1	1	10	1	10	1	2019	100	2001
113	GSCP008	478	3	1	1	1	10	1	10	1	2019	100	NA
114	GSCP009	478	3	1	1	1	10	1	10	1	2019	100	2001
115	GSCP010	478	3	1	1	1	10	1	10	1	2019	100	2001
116	GSCP011	478	3	1	1	1	10	1	10	1	2019	100	2001
117	GSCP017	478	3	1	1	1	10	1	10	1	2019	100	2001
118	GSCP020	478	3	1	1	1	10	1	10	1	2019	100	2001
119	GSCP021	478	3	1	1	1	10	1	10	1	2019	100	2001
120	GSCP024	478	3	1	1	1	10	1	10	1	2019	100	NA
