unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	typegroup_name	rasterid	gew_aantal_meetptn	geselecteerd	reserve	filterdepth	soilsurf_ost	selectie
127	VDBP513	VDB	Vallei van de Drie Beken	202202	191476	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	54	1	1	0	1.85	31.95	1
11	BUIP027	BUI	Buitengoor	206595	212155	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	118	1	1	0	1.39	30.903	1
17	DUNP012	DUN	Dunbergbroek	178707	179625	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	134	1	1	0	1.53	19.08	1
83	ROTP003	ROT	Rotbroek	200403	185618	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	12	166	1	1	0	1.44	19.546	1
171	WESP008	WES	Westhoek	22617	198715	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	177	1	1	0	1.45	6.25	1
72	NODP006	NOD	Noordduinen	27875	200717	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	15	177	1	1	0	2.83	10.09	1
193	ZWAP231	ZWA	Zwarte Beek	220110	198031	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	210	1	1	0	2.06	66.695	1
54	MOEP030	MOE	Moenebroeken	116473	166514	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	217	1	1	0	1.5	22.71	1
20	DYLP029	DYL	Dijlevallei	169238	167404	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	12	262	1	1	0	1.44	27.42	1
45	LAVP059	LAV	Laanvallei	168181	164052	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	262	1	1	0	1.83	30.62	1
51	MATP010	MAT	De Maten	225128	182769	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	306	1	1	0	2.22	46.64	1
209	ZWIP041	ZWI	Zwinduinen en -polders	77028	227941	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	15	309	1	1	0	2.01	5.48	1
48	LDOP019	LDO	Langdonken	184754	191421	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	342	1	1	0	1.65	14.49	1
99	SNOP129	SNO	Snoekengracht	183331	169489	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	390	1	1	0	3	56.61	1
126	VDBP506	VDB	Vallei van de Drie Beken	202732	191923	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	438	1	1	0	1.61	22.02	1
56	MOLP023	MOL	Molenbeekvallei	166621	176753	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	454	1	1	0	1.66	27.339	1
143	VISP002	VIS	Visbeekvallei	181212	217908	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	470	1	1	0	0.64	17.203	1
33	GSCP017	GSC	Groot Schietveld	167657	229201	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	478	1	1	0	1.91	19.01	1
2	ALMP003	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	110287	185136	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	601	1	1	0	0.85	18.33	1
59	MOSP015	MOS	De Most	212551	207735	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	1	11	630	1	1	0	1.51	40.102	1
197	ZWAP303	ZWA	Zwarte Beek	213435	204022	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	630	1	1	0	1.05	46.214	1
