unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	typegroup_name	rasterid	gew_aantal_meetptn	geselecteerd	reserve	filterdepth	soilsurf_ost	selectie
124	VDBP004	VDB	Vallei van de Drie Beken	198401	189278	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	54	1	0	2	1.12	20.43	1
128	VDBP531	VDB	Vallei van de Drie Beken	197880	189431	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	54	1	0	3	0.72	19.78	1
154	WEBP210	WEB	Webbekomsbroek	199320	186194	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	54	1	0	4	2.135	20.145	1
10	BUIP023	BUI	Buitengoor	206653	212114	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	118	1	0	2	2.33	31.384	1
9	BUIP015	BUI	Buitengoor	206639	212165	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	118	1	0	3	2	31.114	1
13	BUIP033	BUI	Buitengoor	206472	212059	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	118	1	0	4	1.8	30.675	1
16	DUNP010	DUN	Dunbergbroek	178354	180655	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	134	1	0	2	2.06	16.054	1
153	WEBP202	WEB	Webbekomsbroek	199709	184801	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	12	166	1	0	2	1.75	20.774	1
26	GOBP004	GOB	Gorenbroek	201885	184397	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	12	166	1	0	3	2.26	20.4131	1
152	WEBP036	WEB	Webbekomsbroek	200108	184654	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	12	166	1	0	4	2.26	20.57	1
174	WESP093	WES	Westhoek	22509	198809	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	177	1	0	2	2.09	5.66	1
173	WESP018	WES	Westhoek	23813	199363	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	177	1	0	3	1.8	5.44	1
179	WESP302	WES	Westhoek	23338	199132	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	177	1	0	4	1.75	5.38	1
170	WESP007	WES	Westhoek	23034	198650	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	177	1	0	5	2.07	5.98	1
169	WESP005	WES	Westhoek	23086	198942	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	177	1	0	6	1.97	5.57	1
175	WESP097	WES	Westhoek	23408	198956	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	177	1	0	7	1.97	6.57	1
