unieknr	loc_code	x	y	rasterid	groupnr	ser_length	ser_firstyear	ser_lastyear	ser_nryears	rest_aantal_meetptn	rankclus	rankclus_lastyear	rankclus_nryears	beschikbaar_aantal_cluster	gew_aantal_meetptn	aantal_cat1A	n
1	ALMP002	109744	185010	601	4	5	2004	2008	5	1	1	1	1	2	1	0	2
2	ALMP003	110287	185136	601	4	5	2004	2008	5	1	1	1	1	2	1	0	2
3	ARHP009	203834	177051	486	2	NA	NA	0	0	1	1	1	1	4	1	0	4
4	ARHP010	203804	177070	486	2	NA	NA	0	0	1	1	1	1	4	1	0	4
5	ASBP001	238494	179477	1010	1	9	2008	2016	9	1	1	1	1	3	1	0	1
6	AVEP007	194071	191836	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
7	AVEP036	194308	192708	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
8	BELP004	28016	199778	177	5	6	2001	2006	5	1	1	1	1	8	1	0	8
9	BELP005	28044	199714	177	5	6	2001	2006	5	1	1	1	1	8	1	0	8
10	BELP006	28068	199648	177	5	6	2001	2006	5	1	1	1	1	8	1	0	8
11	BELP008	28242	199806	177	5	6	2001	2006	5	1	1	1	1	8	1	0	8
12	BELP009	28145	199761	177	5	6	2001	2006	5	1	1	1	1	8	1	0	8
13	BELP010	27947	199669	177	5	6	2001	2006	5	1	1	1	1	8	1	0	8
14	BOBP016	239779	195779	850	1	NA	NA	0	0	1	1	1	1	5	1	0	5
15	BOBP018	240525	196690	850	1	NA	NA	0	0	1	1	1	1	5	1	0	5
16	BOBP303	239925	195868	850	1	NA	NA	0	0	1	1	1	1	5	1	0	5
17	BOBP304	239926	195869	850	1	NA	NA	0	0	1	1	1	1	5	1	0	5
18	BOEP003	107334	170403	89	4	NA	NA	0	0	1	1	1	1	5	1	0	5
19	BREP201	55379	218541	1	5	NA	NA	0	0	1	1	1	1	13	1	0	13
20	BREP202	55440	218464	1	5	NA	NA	0	0	1	1	1	1	13	1	0	13
21	BREP203	55243	218558	1	5	NA	NA	0	0	1	1	1	1	13	1	0	13
22	BREP204	55302	218484	1	5	NA	NA	0	0	1	1	1	1	13	1	0	13
23	BREP205	55139	218468	1	5	NA	NA	0	0	1	1	1	1	13	1	0	13
24	BREP206	55099	218328	1	5	NA	NA	0	0	1	1	1	1	13	1	0	13
25	BREP207	54921	218343	1	5	NA	NA	0	0	1	1	1	1	13	1	0	13
26	BREP210	55034	218027	1	5	NA	NA	0	0	1	1	1	1	13	1	0	13
27	BUIP011	206653	212113	118	1	9	2001	2009	9	1	1	1	1	14	1	0	13
28	BUIP012	206540	212103	118	1	9	2001	2009	9	1	1	1	1	14	1	0	13
29	BUIP014	206517	212120	118	1	9	2001	2009	9	1	1	1	1	14	1	0	13
30	BUIP015	206639	212165	118	1	9	2001	2009	9	1	1	1	1	14	1	0	13
31	BUIP016	206637	212165	118	1	9	2001	2009	9	1	1	1	1	14	1	0	13
32	BUIP023	206653	212114	118	1	9	2001	2009	9	1	1	1	1	14	1	0	13
33	BUIP026	206595	212157	118	1	9	2001	2009	9	1	1	1	1	14	1	0	13
34	BUIP027	206595	212155	118	1	9	2001	2009	9	1	1	1	1	14	1	0	13
35	BUIP029	206552	212168	118	1	9	2001	2009	9	1	1	1	1	14	1	0	13
36	BUIP030	206550	212169	118	1	9	2001	2009	9	1	1	1	1	14	1	0	13
37	BUIP031	206473	212059	118	1	9	2001	2009	9	1	1	1	1	14	1	0	13
38	BUIP032	206473	212059	118	1	9	2001	2009	9	1	1	1	1	14	1	0	13
39	BUIP033	206472	212059	118	1	9	2001	2009	9	1	1	1	1	14	1	0	13
40	BUIP035	206335	212060	118	1	7	2003	2009	7	1	1	1	1	14	1	0	1
41	BUNP001	57800	216439	1	5	NA	NA	0	0	1	1	1	1	13	1	0	13
42	CATP004	58649	214127	1	5	NA	NA	0	0	1	1	1	1	13	1	0	13
43	DEMP007	190806	194941	822	1	NA	NA	0	0	1	1	1	1	17	1	0	17
44	DEMP011	190657	194916	822	1	NA	NA	0	0	1	1	1	1	17	1	0	17
45	DUNP010	178354	180655	134	4	10	2004	2013	6	1	1	1	1	2	1	0	2
46	DUNP012	178707	179625	134	4	10	2004	2013	6	1	1	1	1	2	1	0	2
47	DYLP020	169378	167510	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
48	DYLP021	169440	167581	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
49	DYLP029	169238	167404	262	2	NA	NA	0	0	1	1	1	1	9	1	0	9
50	DYLP064	169296	166832	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
51	DYLP066	169359	167629	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
52	DYLP070	169294	167490	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
53	DYLP071	169297	167489	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
