unieknr	loc_code	x	y	rasterid	groupnr	area_code	area_name	loc_validitycode	loc_validity	loc_typecode	loc_typename	obswell_statecode	obswell_state	soilsurf_ost	measuringref_ost	tubelength	filterlength	filterdepth	typegroup_name	firstyear	lastyear	nryears	cat
1	ALMP001	109770	185010	601	4	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	2	1	1	1	4	2	13.9	14.68	2.37	0.3	1.44	4	2004	2006	3	3
2	ALMP002	109744	185010	601	4	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	2	1	1	1	4	2	13.42	13.8	1.58	0.3	1.05	4	2004	2008	5	3
3	ALMP003	110287	185136	601	4	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	2	1	1	1	4	2	17.63	18.33	1.55	0.3	0.7	4	2004	2008	5	3
4	ASBP003	238036	179497	1010	3	ASB	Asbeek	2	1	1	1	3	1	75.391	75.931	1.64	0.3	0.95	2	2008	2016	9	3
5	BEBP012	133244	174908	505	3	BEB	Bellebeek	2	1	1	1	7	7	13.91	13.91	2.2	1	1.7	2	NA	NA	0	3
6	BEBP013	133268	174873	505	3	BEB	Bellebeek	2	1	1	1	4	2	13.21	13.9	1.78	0.3	0.94	2	NA	NA	0	3
7	BRAP002	163992	210550	918	4	BRA	Bos van Ranst	2	1	1	1	4	2	9.19	9.56	1.22	1.22	0.24	4	NA	NA	0	3
8	BRAP003	163755	210701	918	4	BRA	Bos van Ranst	2	1	1	1	4	2	8.84	9.4	2.17	0.97	1.125	4	NA	NA	0	3
9	BRAP009	165408	210432	918	4	BRA	Bos van Ranst	2	1	1	1	5	4	9.24	9.93	1.9	1.2	0.61	4	NA	NA	0	3
10	BRAP102	163992	210550	918	4	BRA	Bos van Ranst	2	1	1	1	4	2	9.17	9.62	2.25	0.55	1.525	4	NA	NA	0	3
11	DORP016	158521	186074	790	3	DOR	Dorent	2	1	1	1	4	2	7.35	8.07	2.68	0.3	1.81	2	2005	2005	1	3
12	DORP024	154823	182431	710	4	DOR	Dorent	2	1	1	1	1	6	9.8	10.17	3.08	0.3	2.56	4	2005	2014	3	3
13	DUNP010	178354	180655	134	4	DUN	Dunbergbroek	2	1	1	1	3	1	15.714	16.054	2.4	0.5	1.81	4	2004	2013	6	3
14	DUNP011	178562	180199	134	4	DUN	Dunbergbroek	2	1	1	1	3	1	16.05	16.54	2.31	0	1.82	4	2007	2016	4	3
15	DUNP012	178707	179625	134	4	DUN	Dunbergbroek	2	1	1	1	3	1	18.29	19.08	2.32	0	1.53	4	2004	2013	6	3
16	DYLP029	169238	167404	262	2	DYL	Dijlevallei	2	1	1	1	3	1	27	27.42	1.86	0.3	1.29	3	2004	2016	5	3
17	DYLP037	169802	167510	582	4	DYL	Dijlevallei	2	1	1	1	3	1	27.99	28.42	1.55	0.3	0.97	4	2004	2016	10	3
18	DYLP109	169049	168137	262	4	DYL	Dijlevallei	2	1	1	1	3	1	27.66	28.13	3.44	0.3	2.82	4	2004	2016	10	3
19	DYLP156	169478	166091	262	3	DYL	Dijlevallei	2	1	1	1	3	1	28.092	28.432	2.33	0.3	1.84	2	2016	2016	1	3
20	GOBP004	201885	184397	166	2	GOB	Gorenbroek	2	1	1	1	3	1	20.0131	20.4131	2.66	0.3	2.11	3	2014	2016	3	3
