unieknr	loc_code	x	y	rasterid	groupnr	ser_lastyear	ser_nryears	gew_aantal_meetptn	rankclus	rankclus_lastyear	rankclus_nryears	beschikbaar_aantal_cluster	n	geselecteerd
53	OSKP026	51964	210700	113	5	2009	5	1	1	1	1	3	2	1
12	BUIP027	206595	212155	118	1	2009	9	1	1	1	1	15	13	1
109	VOTP001	179852	184577	134	1	2015	9	1	1	1	1	5	3	1
22	DUNP012	178707	179625	134	4	2013	6	1	1	1	1	3	2	1
27	ITTP212	242307	202672	146	1	2016	5	1	1	1	1	2	1	1
122	WESP057	23258	199248	177	4	2012	12	1	1	1	1	16	11	1
124	WESP074	23953	199593	177	5	2012	12	1	1	1	1	3	3	1
26	HALP005	144281	156162	185	4	2012	5	1	1	1	1	2	1	1
89	TORP018	162023	179712	198	4	2016	11	1	1	1	1	2	1	1
140	ZWAP202	220114	197295	210	3	2015	11	1	1	1	1	2	1	1
24	DYLP085	169055	166957	262	2	2016	9	1	1	1	1	2	2	1
32	KBRP040	146391	203727	297	2	2014	9	1	1	1	1	3	1	1
41	MATP010	225128	182769	306	1	2016	5	1	1	1	1	4	4	1
155	ZWIP032	77484	227998	309	5	2015	11	1	1	1	1	14	3	1
39	LDOP041	186424	191178	310	3	2013	7	1	1	1	1	2	2	1
35	LDOP035	185221	191291	342	1	2012	6	1	1	1	1	4	2	1
47	MOLP023	166621	176753	454	4	2005	5	1	1	1	1	5	5	1
2	ALMP003	110287	185136	601	4	2008	5	1	1	1	1	2	2	1
50	MOSP001	210617	207077	630	1	2014	9	1	1	1	1	3	3	1
86	TEUP046	225067	188690	722	1	2016	7	1	1	1	1	4	1	1
85	TEUP045	225036	188792	722	3	2014	7	1	1	1	1	5	1	1
29	KALP136	154423	234049	734	3	2015	5	1	1	1	1	3	2	1
101	TYDP057	32283	204089	817	4	2012	10	1	1	1	1	11	7	1
96	TYDP050	32403	204128	817	5	2012	10	1	1	1	1	4	2	1
105	VENP005	208256	206362	886	1	2016	5	1	1	1	1	8	1	1
62	SCPP025	206960	204244	886	2	2011	6	1	1	1	1	5	1	1
74	SCPP042	205315	204593	886	3	2014	7	1	1	1	1	13	8	1
135	ZWAP141	216785	198435	950	1	2016	10	1	1	1	1	7	4	1
143	ZWAP228	217381	197149	950	3	2016	8	1	1	1	1	2	1	1
146	ZWAP241	215877	198283	950	5	2016	8	1	1	1	1	2	2	1
4	ASBP002	238407	179495	1010	1	2016	9	1	1	1	1	4	2	1
