loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	polygon_id	description_orig	patch_id	phab	certain	type	groupnr	rasterid	opp	filterdepth	soilsurf_ost	description	source.x	source.y	typegroup_name
AABP013	AAB	Aabeek	178315	209637	VLD	Gevalideerd	P	Peilbuis/Piëzometer	24479	100% 91E0_vn	1	100	1	105	3	982	10623	2.71	10.34	100% 91E0_vn	habitatmap_stdized	habitatmap_stdized	13
AABP013	AAB	Aabeek	178315	209637	VLD	Gevalideerd	P	Peilbuis/Piëzometer	29182	100% 91E0_vm	1	100	1	104	1	982	11958	2.71	10.34	100% 91E0_vm	habitatmap_stdized	habitatmap_stdized	11
AABP014	AAB	Aabeek	178310	209590	VLD	Gevalideerd	P	Peilbuis/Piëzometer	29182	100% 91E0_vm	1	100	1	104	1	982	11958	2.74	9.41	100% 91E0_vm	habitatmap_stdized	habitatmap_stdized	11
AABP017	AAB	Aabeek	178370	209461	VLD	Gevalideerd	P	Peilbuis/Piëzometer	5238	50% rbbhf; 50% gh	1	50	1	69	3	982	6132	2.72	9.31	50% rbbhf; 50% gh	habitatmap_stdized	habitatmap_stdized	13
AABP019	AAB	Aabeek	178417	209404	VLD	Gevalideerd	P	Peilbuis/Piëzometer	5162	60% rbbhc; 40% gh	1	60	1	68	3	982	4514	2.73	9.49	60% rbbhc; 40% gh	habitatmap_stdized	habitatmap_stdized	13
AABP059	AAB	Aabeek	177355	209634	VLD	Gevalideerd	P	Peilbuis/Piëzometer	8890	100% 91E0_vm	1	100	1	104	1	726	1669	1.45	9.275	100% 91E0_vm	habitatmap_stdized	habitatmap_stdized	11
AABP060	AAB	Aabeek	177751	209664	VLD	Gevalideerd	P	Peilbuis/Piëzometer	7127	50% rbbhc; 50% gh	1	50	1	68	3	982	6985	1.2	9.664	50% rbbhc; 50% gh	habitatmap_stdized	habitatmap_stdized	13
AABP063	AAB	Aabeek	178910	209535	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27810	60% rbbhc; 40% gh	1	60	1	68	3	982	5742	1.91	9.875	60% rbbhc; 40% gh	habitatmap_stdized	habitatmap_stdized	13
ABEP011	ABE	Abeek	230541	195642	VLD	Gevalideerd	P	Peilbuis/Piëzometer	20464	100% 9190	1	100	1	99	5	978	7913	1.34	75.08	100% 9190	habitatmap_stdized	habitatmap_stdized	15
ABEP014	ABE	Abeek	230569	195670	VLD	Gevalideerd	P	Peilbuis/Piëzometer	20464	100% 9190	1	100	1	99	5	978	7913	1.864	75.504	100% 9190	habitatmap_stdized	habitatmap_stdized	15
