loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	filterdepth	soilsurf_ost	polygon_id	description_orig	description	source.x	patch_id	phab	certain	type	source.y	groupnr	typegroup_name	rasterid	opp
AABP013	AAB	Aabeek	178315	209637	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.71	10.34	24479	100% 91E0_vn	240	1	1	100	1	105	habitatmap_stdized	3	13	982	10623
AABP013	AAB	Aabeek	178315	209637	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.71	10.34	29182	100% 91E0_vm	233	1	1	100	1	104	habitatmap_stdized	1	11	982	11958
AABP014	AAB	Aabeek	178310	209590	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.74	9.41	29182	100% 91E0_vm	233	1	1	100	1	104	habitatmap_stdized	1	11	982	11958
AABP017	AAB	Aabeek	178370	209461	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.72	9.31	5238	50% rbbhf; 50% gh	1295	1	1	50	1	69	habitatmap_stdized	3	13	982	6132
AABP019	AAB	Aabeek	178417	209404	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.73	9.49	5162	60% rbbhc; 40% gh	2697	1	1	60	1	68	habitatmap_stdized	3	13	982	4514
AABP024	AAB	Aabeek	186199	217790	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.64	16.04	51354	100% rbbmr	292	1	1	100	1	88	habitatmap_stdized	2	12	1014	2843
AABP059	AAB	Aabeek	177355	209634	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.45	9.275	8363	100% 91E0_vm	233	1	1	100	1	104	habitatmap_stdized	1	11	726	13982
AABP059	AAB	Aabeek	177355	209634	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.45	9.275	8890	100% 91E0_vm	233	1	1	100	1	104	habitatmap_stdized	1	11	726	1669
AABP060	AAB	Aabeek	177751	209664	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.2	9.664	7127	50% rbbhc; 50% gh	1266	1	1	50	1	68	habitatmap_stdized	3	13	982	6985
AABP063	AAB	Aabeek	178910	209535	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.91	9.875	27810	60% rbbhc; 40% gh	2697	1	1	60	1	68	habitatmap_stdized	3	13	982	5742
