unieknr	polygon_id	description_orig	patch_id	phab	certain	type	groupnr	rasterid	opp	geselecteerd_basis	geselecteerd_reserve
22471	653152_v2014	70% 91E0_vn; 30% 91E0_vm	2	30	1	104	1	182	9740	1	1
22432	653345_v2014	70% 91E0_vn; 30% 91E0_vm	2	30	1	104	1	182	30419	0	1
22473	657757_v2014	100% 91E0_vm	1	100	1	104	1	182	30657	0	1
20358	504100_v2014	100% 1130; 100% 6430_hw	2	100	1	60	3	233	1581	0	1
20312	504183_v2014	100% 1130; 100% 6430_hw	2	100	1	60	3	233	7742	0	1
20274	621718_v2014	100% 1130; 30% 91E0_sf; 70% rbbmr	2	30	1	101	3	233	28	0	1
20349	621978_v2014	100% 1130; 30% 91E0_sf; 70% rbbmr	2	30	1	101	3	233	8232	0	1
20253	596526_v2014	60% gh; 20% rbbmr; 20% rbbsf	3	20	1	109	3	233	160022	0	1
20286	671609_v2014	60% rbbmr; 30% rbbsf; 10% gh	2	30	1	109	3	233	352939	1	1
47679	636164_v2014	70% 9120; 30% 9160	2	30	1	98	4	422	9799	0	1
47879	636165_v2014	70% 9120; 30% 9160	2	30	1	98	4	422	58457	0	1
47692	636712_v2014	70% 9120; 30% 9160	2	30	1	98	4	422	23715	0	1
47675	636790_v2014	70% 9120; 30% 9160	2	30	1	98	4	422	2815	0	1
47682	636839_v2014	70% 9120; 30% 9160	2	30	1	98	4	422	12004	0	1
47686	636980_v2014	70% 9120; 30% 9160	2	30	1	98	4	422	4841	0	1
47827	637025_v2014	70% 9120; 30% 9160	2	30	1	98	4	422	17500	0	1
47646	645318_v2014	70% 9160; 30% 9120	1	70	1	98	4	422	40205	1	1
47645	645382_v2014	70% 9160; 30% 9120	1	70	1	98	4	422	8830	0	1
47617	609073_v2014	100% 91E0_va	1	100	1	102	4	422	2300	0	1
19475	113864_v2014	100% 1130; 100% rbbmr	2	100	1	88	2	425	295	0	1
19356	559288_v2018	60% 91E0_sf; 100% 1130; 20% rbbmr	3	20	1	88	2	425	22530	0	1
19409	593632_v2014	70% rbbmr; 30% gh	1	70	1	88	2	425	15838	0	1
19419	632900_v2014	70% rbbmr; 30% 6430,rbbhf	1	70	1	88	2	425	4996	1	1
19560	642667_v2014	70% 91E0_sf; 100% 1130; 30% rbbmr	3	30	1	88	2	425	9894	0	1
19494	666167_v2014	70% 91E0_sf; 100% 1130; 30% rbbmr	3	30	1	88	2	425	2122	0	1
19483	666299_v2014	100% 1130; 20% 91E0_sf; 80% rbbmr	3	80	1	88	2	425	7518	0	1
19548	666669_v2014	100% 1130; 30% rbbmr	2	30	1	88	2	425	3649	0	1
6795	553318_v2018	100% 1130; 100% rbbmr	2	100	1	88	2	445	906	0	1
6887	553648_v2018	100% 1130; 100% rbbmr	2	100	1	88	2	445	1173	0	1
6892	553672_v2018	100% 1130; 100% rbbmr	2	100	1	88	2	445	79	0	1
6969	562027_v2018	100% 1130; 100% rbbmr	2	100	1	88	2	445	19860	0	1
6974	562265_v2018	100% 1130; 100% rbbmr	2	100	1	88	2	445	215013	1	1
34496	622087_v2014	100% 9190	1	100	1	99	5	466	61093	0	1
34497	640215_v2014	100% 9190	1	100	1	99	5	466	210216	0	1
34495	673014_v2014	50% 9190; 50% gh	1	50	1	99	5	466	165575	1	1
45484	537993_v2018	100% 9130_end	1	100	1	95	4	505	1113	0	1
45818	627921_v2014	100% 9130_end	1	100	1	95	4	505	2314	0	1
45755	648598_v2014	100% 9130_end	1	100	1	95	4	505	780	0	1
45472	537973_v2018	100% 91E0_va	1	100	1	102	4	505	3020	0	1
45473	537975_v2018	100% 91E0_va	1	100	1	102	4	505	2188	0	1
45474	537976_v2018	100% 91E0_va	1	100	1	102	4	505	5686	0	1
45480	537982_v2018	100% 91E0_va	1	100	1	102	4	505	2464	0	1
45482	537990_v2018	100% 91E0_va	1	100	1	102	4	505	1285	0	1
45483	537991_v2018	70% gh; 30% 91E0_va	2	30	1	102	4	505	1728	0	1
45493	538028_v2018	100% 91E0_va	1	100	1	102	4	505	549	0	1
45494	538030_v2018	95% 91E0_va; 5% rbbhf	1	95	1	102	4	505	4099	0	1
45520	562637_v2018	100% 91E0_va	1	100	1	102	4	505	2525	0	1
45524	580846_v2018	100% 91E0_va	1	100	1	102	4	505	3335	0	1
45828	611196_v2014	100% 91E0_va	1	100	1	102	4	505	5365	0	1
