loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	firstyear	lastyear	nryears	cat	gew_aantal_meetptn	n	rankclus_lastyear	rankclus_nryears	rankclus	beschikbaar_aantal_cluster	unieknr	geselecteerd	reserve	selectie	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
ALMP003	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	110287	185136	2	1	1	1	4	601	0.7	17.63	4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	3	1	0	1	4	2	18.33	1.55	0.3
ARHP009	ARH	Aronst Hoek	203834	177051	1	2	1	1	2	486	1.95	24.01	3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	4	1	0	-1	6	3	24.31	2.4	0.3
ASBP003	ASB	Asbeek	238036	179497	2	1	1	1	3	1010	0.95	75.391	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	6	1	0	1	3	1	75.931	1.64	0.3
BOEP003	BOE	Boembeke	107334	170403	2	1	1	1	4	89	2.8	0	4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	9	1	0	-1	4	2	0.6	3.4	0
BRAP009	BRA	Bos van Ranst	165408	210432	2	1	1	1	4	918	0.61	9.24	4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	12	1	0	-1	5	4	9.93	1.9	1.2
BTRP001	BTR	Bos ter Rijst	101924	164018	2	1	1	1	4	25	2.02	68.02	4	2003	2019	100	2	1	1	1	1	1	1	NA	NA	NA	1	4	2	68.17	2.32	0.3
BUCP010	BUC	Buckenslinde	229690	170679	2	1	1	1	3	818	1.33	0	2	2003	0	0	2	1	1	1	1	1	1	NA	NA	NA	-1	4	2	0.57	3.8	3.8
COOP001	COO	Coolhembos	146113	196127	2	1	1	1	1	233	1.25	1.96	5	2006	2019	100	2	1	1	1	1	1	1	NA	NA	NA	1	3	1	2.56	2	0.3
DORP024	DOR	Dorent	154823	182431	2	1	1	1	4	710	2.56	9.8	4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	16	1	0	1	1	6	10.17	3.08	0.3
DPBP007	DPB	Diepenbeek	221649	179772	2	1	1	1	2	306	2.01	-0.55	3	NA	0	0	2	1	1	1	1	1	1	NA	NA	NA	-1	3	1	0	2.76	0.4
DUNP012	DUN	Dunbergbroek	178707	179625	2	1	1	1	4	134	1.53	18.29	4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	19	1	0	1	3	1	19.08	2.32	0
DURP015	DUR	Durmemeersen	128773	199480	2	1	1	1	3	425	2	3.85	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	20	1	0	1	3	1	4.15	2.45	0.3
DYLP029	DYL	Dijlevallei	169238	167404	2	1	1	1	2	262	1.29	27	3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	23	1	0	1	3	1	27.42	1.86	0.3
DYLP037	DYL	Dijlevallei	169802	167510	2	1	1	1	4	582	0.97	27.99	4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	24	1	0	1	3	1	28.42	1.55	0.3
GSCP017	GSC	Groot Schietveld	167657	229201	2	1	1	1	3	478	1.66	18.51	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	37	1	0	1	4	2	19.01	2.41	0.5
GSCP039	GSC	Groot Schietveld	165195	226726	2	1	1	1	3	222	1.14	22.16	2	NA	0	0	2	1	1	1	1	1	1	NA	NA	NA	-1	4	2	22.95	2.08	0.3
HAGP019	HAG	Hageven	224064	217725	2	1	1	1	2	274	1.811	34.401	3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	41	1	0	1	4	2	34.611	2.271	0.5
HALP001	HAL	Hallerbos	143431	155389	2	1	1	1	4	185	1.87	74.762	4	NA	NA	NA	3	2	NA	NA	NA	NA	NA	42	1	0	-1	4	2	74.902	2.16	0.3
HALP005	HAL	Hallerbos	144281	156162	2	1	1	1	4	185	1.81	68.573	4	NA	NA	NA	3	2	NA	NA	NA	NA	NA	44	1	0	-1	3	1	68.673	2.06	0.3
HBTP007	HBT	Helderbeekvallei Terril	212986	193133	2	1	1	1	3	694	1.75	33.026	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	45	1	0	1	3	1	33.586	2.46	0.3
IJSP023	IJS	Ijsevallei	166813	166073	2	1	1	1	4	262	1.28	35.804	4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	48	1	0	1	3	1	36.094	1.72	0.3
ITTP212	ITT	Itterbeekvallei	242307	202672	2	1	1	1	1	146	1.99	34.995	5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	49	1	0	1	3	1	35.225	2.37	0.3
KALP022	KAL	Kalmthoutse heide	155356	230811	2	1	1	1	3	734	0.82	23.47	2	NA	NA	NA	3	2	NA	NA	NA	NA	NA	50	1	0	1	3	1	23.29	1.14	1
KALP136	KAL	Kalmthoutse heide	154423	234049	2	1	1	1	3	734	1.01	17.174	2	NA	NA	NA	3	2	NA	NA	NA	NA	NA	51	1	0	1	3	1	18.514	2.53	0.36
KBRP060	KBR	Polders van Kruibeke	145448	202168	2	1	1	1	2	233	1.89	1.693	3	2003	2019	100	2	1	1	1	1	1	1	NA	NA	NA	1	3	1	2.233	2.68	0.5
LAVP080	LAV	Laanvallei	169100	164579	2	1	1	1	3	262	1.86	29.223	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	56	1	0	1	3	1	29.663	2.3	0
LDOP019	LDO	Langdonken	184754	191421	2	1	1	1	1	342	1.5	14.16	5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	57	1	0	1	3	1	14.49	1.98	0.3
LDOP041	LDO	Langdonken	186424	191178	2	1	1	1	3	310	2.47	14.544	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	59	1	0	1	2	5	14.604	2.68	0.3
LOHP015	LOH	Lovenhoek	175526	211989	2	1	1	1	4	214	0.69	10.712	4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	67	1	0	1	3	1	11.572	2.55	2
MANP029	MAN	Mangelbeekvallei	220497	193374	2	1	1	1	1	722	1.06	55.418	5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	69	1	0	1	3	1	55.868	1.76	0.5
MATP010	MAT	De Maten	225128	182769	2	1	1	1	1	306	1.97	46.29	5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	72	1	0	1	3	1	46.64	2.57	0.5
MATP011	MAT	De Maten	225382	182289	2	1	1	1	3	306	1.04	44.92	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	73	1	0	1	3	1	45.34	1.71	0.5
