rasterid,groupnr,gew_aantal_meetptn,loc_code,nryears,firstyear,lastyear,n_tubes,n_tubes_lgl
1,5,1,BREP201,1,2009,2010,18,0
1,5,1,BREP202,1,2009,2010,18,0
1,5,1,BREP203,1,2009,2010,18,0
1,5,1,BREP204,1,2009,2010,18,0
1,5,1,BREP205,1,2009,2010,18,0
1,5,1,BREP206,1,2009,2010,18,0
1,5,1,BREP207,1,2009,2010,18,0
1,5,1,BREP208,1,2009,2010,18,0
1,5,1,BREP210,1,2009,2010,18,0
1,5,1,PJEP021,0,NA,NA,18,0
25,4,1,BTRP001,0,NA,NA,2,0
25,4,1,BTRP002,0,NA,NA,2,0
41,2,1,WAHP521,1,2006,2008,7,0
41,2,1,WAHP511,1,2004,2008,7,0
41,2,1,WAHP514,1,2004,2008,7,0
41,2,1,WAHP516,1,2004,2008,7,0
41,2,1,WAHP711,1,2004,2008,7,0
41,2,1,WAHP712,1,2004,2008,7,0
41,2,1,WAHP713,1,2004,2008,7,0
54,2,1,VDBP004,1,2017,2018,12,0
54,2,1,VDBP050,1,2006,2007,12,0
54,2,1,MSBP002,0,NA,NA,12,0
54,2,1,MSBP006,0,NA,NA,12,0
54,2,1,MSBP007,0,NA,NA,12,0
54,2,1,MSBP008,0,NA,NA,12,0
54,2,1,MSBP013,0,NA,NA,12,0
54,2,1,MSBP014,0,NA,NA,12,0
54,2,1,WEBP211,0,NA,NA,12,0
57,4,1,NEIP001,4,2007,2011,2,0
57,4,1,NEIP002,4,2007,2011,2,0
89,4,1,BOEP003,0,NA,NA,6,0
89,4,1,BOEP004,0,NA,NA,6,0
89,4,1,SBBP002,0,NA,NA,6,0
166,2,1,GOBP001,4,2014,2018,27,0
166,2,1,GOBP002,4,2014,2018,27,0
166,2,1,GOBP004,4,2014,2018,27,0
166,2,1,ROTP002,4,2014,2018,27,0
166,2,1,ROTP003,4,2014,2018,27,0
166,2,1,WEBP202,0,NA,NA,27,0
166,2,1,WEBP205,0,NA,NA,27,0
182,1,1,RAMP003,0,NA,NA,1,0
217,3,1,NUCP003,1,2004,2008,13,0
217,3,1,NUCP004,1,2004,2008,13,0
217,3,1,NUCP005,1,2004,2008,13,0
217,3,1,MOEP030,0,NA,NA,13,0
217,3,1,NUCP001,0,NA,NA,13,0
217,3,1,NUCP002,0,NA,NA,13,0
217,4,1,KARP001,4,2007,2011,8,0
217,4,1,RASP002,2,2004,2013,8,0
217,4,1,RASP003,2,2004,2013,8,0
217,4,1,RASP001,1,2004,2011,8,0
217,4,1,KLUP003,0,NA,NA,8,0
390,4,1,SNOP019,0,NA,NA,22,0
390,4,1,SNOP020,0,NA,NA,22,0
390,4,1,SNOP021,0,NA,NA,22,0
390,4,1,SNOP022,0,NA,NA,22,0
390,4,1,SNOP023,0,NA,NA,22,0
390,4,1,SNOP024,0,NA,NA,22,0
390,4,1,SNOP025,0,NA,NA,22,0
390,4,1,SNOP026,0,NA,NA,22,0
390,4,1,SNOP027,0,NA,NA,22,0
390,4,1,SNOP028,0,NA,NA,22,0
390,4,1,SNOP029,0,NA,NA,22,0
390,4,1,SNOP030,0,NA,NA,22,0
390,4,1,SNOP031,0,NA,NA,22,0
390,4,1,SNOP032,0,NA,NA,22,0
390,4,1,SNOP033,0,NA,NA,22,0
390,4,1,SNOP121,0,NA,NA,22,0
390,4,1,SNOP122,0,NA,NA,22,0
390,4,1,SNOP124,0,NA,NA,22,0
390,4,1,SNOP129,0,NA,NA,22,0
437,5,1,UKPP007,0,NA,NA,18,0
437,5,1,UKPP010,0,NA,NA,18,0
437,5,1,UKPP022,0,NA,NA,18,0
437,5,1,UKPP034,0,NA,NA,18,0
437,5,1,UKPP035,0,NA,NA,18,0
437,5,1,UKPP038,0,NA,NA,18,0
454,4,1,MOLP016,6,2004,2014,11,0
454,4,1,MOLP018,6,2004,2014,11,0
454,4,1,MOLP022,6,2004,2014,11,0
454,4,1,MOLP023,6,2004,2014,11,0
454,4,1,MOLP024,6,2004,2014,11,0
454,4,1,MOLP025,6,2004,2014,11,0
454,4,1,MOLP026,6,2004,2014,11,0
454,4,1,MOLP027,6,2004,2014,11,0
