loc_code	hydroyear	lg3_lcl	hg3_lcl	vg3_lcl
ALMP001	2004	-1.0033	-0.31	-0.3333
ALMP001	2005	-1.13	-0.3	-0.32
ALMP001	2006	-1.2667	-0.29	-0.3067
ALMP001	2007	NA	NA	-0.3133
ALMP001	2008	NA	NA	-0.35
ALMP001	2009	NA	NA	-0.32
ALMP001	2010	NA	NA	-0.42
ALMP002	2004	-0.7267	0.0467	0.0167
ALMP002	2005	-0.87	0.0667	0.0233
ALMP002	2006	-0.9433	0.05	0.0467
ALMP002	2007	-0.3867	0.05	0
ALMP002	2008	-0.9333	0.0133	0.02
ALMP002	2009	NA	NA	-0.0533
ALMP002	2010	NA	NA	-0.12
ALMP003	2004	-2.0367	-0.6367	-0.7767
ALMP003	2005	-1.9333	-0.5367	-0.7667
ALMP003	2006	-1.9067	-0.4033	-0.52
ALMP003	2007	-1.4333	-0.4267	-0.53
ALMP003	2008	-1.7667	-0.4533	-0.4133
ALMP003	2009	NA	NA	-0.56
ALMP003	2010	NA	NA	-0.6567
ARHP009	2005	NA	NA	-0.5767
ARHP010	2005	NA	NA	-0.16
ASBP001	2008	-0.0363	-0.0057	-0.027
ASBP001	2009	-0.0747	0.013	-0.033
ASBP001	2010	-0.0487	0.006	-0.0237
ASBP001	2011	-0.055	0.0203	-0.0143
ASBP001	2012	-0.026	0.0236	0.0023
ASBP001	2013	-0.007	0.0589	0.0148
ASBP001	2014	0.0077	0.0745	0.0327
ASBP001	2015	0.0324	0.0759	0.0506
ASBP001	2016	0.0429	0.0829	0.0556
AVEP007	2006	NA	NA	-1.07
AVEP007	2007	NA	NA	-1.08
AVEP007	2008	NA	NA	-0.4467
AVEP032	2006	NA	NA	-0.7933
AVEP032	2007	NA	NA	-0.7067
AVEP032	2008	NA	NA	-0.6067
AVEP032	2012	NA	NA	-0.47
AVEP036	2006	NA	NA	-1.4167
AVEP036	2007	NA	NA	-1.36
AVEP036	2012	NA	NA	-0.8967
BELP001	2001	0.1667	0.6767	0.5367
BELP001	2002	NA	NA	0.63
BELP001	2003	-0.3533	0.42	0.3067
BELP001	2004	-0.3033	0.27	0.1933
BELP001	2005	-0.2167	0.4733	0.19
BELP001	2006	-0.1967	0.62	0.3233
BELP001	2007	NA	NA	0.4733
BELP001	2008	NA	NA	0.42
BELP001	2009	NA	NA	0.3567
BELP001	2011	NA	NA	0.2433
BELP001	2013	NA	NA	0.5067
BELP004	2001	-1.12	-0.2567	-0.5
BELP004	2002	NA	NA	-0.7133
BELP004	2003	-1.67	-0.89	-0.8833
BELP004	2004	-1.6467	-1.11	-1.1567
BELP004	2005	-1.5367	-0.8333	-1.1933
BELP004	2006	-1.56	-0.6767	-1.0733
BELP004	2007	NA	NA	-0.7933
BELP004	2008	NA	NA	-0.9033
BELP004	2011	NA	NA	-1.0633
BELP004	2013	NA	NA	-0.69
BELP005	2001	-0.53	-0.0967	-0.1633
BELP005	2002	NA	NA	-0.28
BELP005	2003	-0.97	-0.4167	-0.46
BELP005	2004	-0.92	-0.4467	-0.57
BELP005	2005	-0.82	-0.1033	-0.5533
BELP005	2006	-0.84	0	-0.4533
BELP005	2007	NA	NA	-0.0633
BELP005	2008	NA	NA	-0.0533
BELP005	2009	NA	NA	-0.2867
BELP005	2011	NA	NA	-0.0167
BELP005	2013	NA	NA	0.1433
BELP006	2001	-0.58	-0.04	-0.4867
BELP006	2002	NA	NA	-0.13
BELP006	2003	-0.86	-0.52	-0.6
BELP006	2004	-0.8767	-0.62	-0.6967
BELP006	2005	-0.67	-0.5233	-0.6167
BELP006	2006	-0.6833	-0.31	-0.5833
BELP006	2007	NA	NA	-0.3567
BELP006	2008	NA	NA	-0.3433
BELP006	2009	NA	NA	-0.5633
BELP006	2013	NA	NA	-0.0467
BELP008	2001	-0.5733	-0.0867	-0.2167
BELP008	2002	NA	NA	-0.3133
BELP008	2003	-1.0067	-0.4233	-0.5233
BELP008	2004	-0.9267	-0.4733	-0.59
BELP008	2005	-0.8233	-0.14	-0.57
BELP008	2006	-0.84	0.0267	-0.49
