jaar	mean	sd	p02.5	p50	p97.5	intercept	tijdvenster	gem_jaar	og_jaar	bg_jaar
1985	2.25359892845154	0.0591849610209465	2.13741591356982	2.25360544209592	2.36972177123154	2.25403547286987	0	9.52194303651184	8.47750270052643	10.694416375841
1986	3.05930137634277	0.0491748340427876	2.96273285338908	3.05928370030817	3.15594574107854	2.25403547286987	0	21.3126624295547	19.3507824120401	23.4752280838375
1987	1.81863713264465	0.0962241068482399	1.62999704470761	1.8186339613548	2.00735593042702	2.25403547286987	0	6.16345275470523	5.10385963511689	7.44360988244321
1988	1.90589308738708	0.0778663903474808	1.7532065791916	1.90588532757948	2.05864447600397	2.25403547286987	0	6.72541132635062	5.77308488169423	7.8353416149827
1989	4.38547039031982	0.0478771962225437	4.29140768452856	4.38545607900861	4.47956912984995	2.25403547286987	0	80.27597537481	73.0692545966698	88.1966631781633
1990	4.25654888153076	0.0475933849811554	4.16299946582804	4.2565481336128	4.35006139608317	2.25403547286987	0	70.5660310090929	64.2639914500952	77.4832199454446
1991	3.59699845314026	0.0481185428798199	3.50241694864878	3.59700107648102	3.6915316054029	2.25403547286987	0	36.488547825124	33.1955871078177	40.1062268541368
1992	2.50663304328918	0.0516536124050617	2.40521979806641	2.50662810850658	2.60810327256597	2.25403547286987	0	12.2635695622439	11.080865567367	13.5732816053474
1993	3.20440077781677	0.0482840202748775	3.10950790804372	3.20439970005222	3.29926571945912	2.25403547286987	0	24.6407303195148	22.4100138993784	27.0927379448304
1994	3.40436792373657	0.0492562837898731	3.30765446967094	3.40434651913952	3.50117951143954	2.25403547286987	0	30.0952672067714	27.3209681004875	33.1545350580534
1995	3.85249519348145	0.0480063632130623	3.75818375246092	3.85248011393963	3.94684670496051	2.25403547286987	0	47.1104664275599	42.8704918010746	51.7718572327107
1996	4.11589956283569	0.0476124547421932	4.02230893125927	4.11590032657848	4.20944623649912	2.25403547286987	0	61.3073392687927	55.8298644414072	67.3192505424947
1997	3.51174139976501	0.0479919910430908	3.41737797222516	3.51175409890083	3.60600443434156	2.25403547286987	0	33.5065653345423	30.4893661568385	36.8186472041708
1998	2.62988829612732	0.049312774091959	2.53297725009837	2.62989366944908	2.72675209143917	2.25403547286987	0	13.8722202348567	12.590936756558	15.2831679900312
1999	3.17285776138306	0.0488301925361156	3.07695760962595	3.17283978236047	3.2688282405833	2.25403547286987	0	23.8756177740057	21.692305439548	26.2805268395706
2000	2.06855249404907	0.0568536259233952	1.95697547946808	2.06854465153326	2.18017766808032	2.25403547286987	0	7.91336018755776	7.07788744331712	8.84787810460107
2001	2.92584824562073	0.0501945018768311	2.82732340367369	2.92582719374847	3.02449609849642	2.25403547286987	0	18.6500391562924	16.9001653122934	20.5836299753994
2002	1.8787362575531	0.0618098862469196	1.75747142018588	1.87872228998374	2.00005261474398	2.25403547286987	0	6.54522815083809	5.79775874842113	7.38944488245332
2003	4.22691965103149	0.0475872345268726	4.13339710057851	4.22691365428281	4.32043154330607	2.25403547286987	0	68.5058847975524	62.389506775048	75.2210824434374
2004	3.19660830497742	0.0486298501491547	3.10095299910889	3.19663849488452	3.2920782871808	2.25403547286987	0	24.4494642833014	22.2191159926056	26.8987088464015
2005	3.9853253364563	0.0476815439760685	3.89158911570129	3.98533001933831	4.07899862005732	2.25403547286987	0	53.8027906400982	48.9886733712518	59.0862724071867
2006	3.78500699996948	0.0477230325341225	3.69121702277784	3.78500203764496	3.87878241414253	2.25403547286987	0	44.0359788081788	40.0936121163045	48.3652903121719
2007	2.76338505744934	0.0516595020890236	2.66191033390201	2.76339439836087	2.86482976458287	2.25403547286987	0	15.8534169487085	14.3236258872993	17.5460659884663
2008	2.74362373352051	0.0529188625514507	2.63967250110231	2.74364116326586	2.84750467764301	2.25403547286987	0	15.5432076095444	14.0086150504137	17.2446970296402
2009	4.2350549697876	0.0475777946412563	4.14153494012522	4.23505459566734	4.32853620077383	2.25403547286987	0	69.0654751436723	62.8992940407055	75.8332007048118
2010	3.99262094497681	0.0477820076048374	3.89872513694531	3.99261278768816	4.08651846000583	2.25403547286987	0	54.1967500774307	49.339507877602	59.5322665193428
2011	3.83362746238708	0.0478098765015602	3.73964285877626	3.83363143638981	3.92755323759698	2.25403547286987	0	46.2299317824591	42.0829579217491	50.7825726470187
2012	3.09813499450684	0.0491767898201942	3.00152221367215	3.09812959456132	3.19475688867332	2.25403547286987	0	22.1565905613384	20.1161346843615	24.4042400238844
2013	3.66918754577637	0.0481002144515514	3.57468535270453	3.66917527212096	3.76371685429225	2.25403547286987	0	39.2200284348306	35.6833913665041	43.108356054482
2014	2.95821237564087	0.0496032275259495	2.86077099764262	2.95820776649441	3.05566719673892	2.25403547286987	0	19.2635050470531	17.4749949239107	21.2353489570634
2015	4.02077198028564	0.0477170124650002	3.92699833987628	4.02076541713597	4.1145390920351	2.25403547286987	0	55.7441225842905	50.7544013300284	61.2239891344237
2016	2.72505664825439	0.052696768194437	2.62163706181312	2.72504552218123	2.82858392733851	2.25403547286987	0	15.257278200556	13.7582282293555	16.9214818027566
2017	4.11282634735107	0.0476733557879925	4.01912602491198	4.11282392797489	4.20649917875185	2.25403547286987	0	61.1192178213655	55.6524457148878	67.1211488755479
2018	4.77696943283081	0.0476098582148552	4.68341482500623	4.77695919758969	4.87053624775088	2.25403547286987	0	118.743942707025	108.138717581008	130.390819936036
1985	2.286785364151	0.0487629882991314	2.19112103687575	2.28678877665789	2.38243635657808	2.28699326515198	2	9.84324432109535	8.94523543473854	10.8312595542097
1986	2.6763699054718	0.0400391779839993	2.597784269199	2.67636427441573	2.75495995586228	2.28699326515198	2	14.5322440105005	13.4339390414064	15.720411379881
1987	1.96815288066864	0.0416715703904629	1.88637914710873	1.96814773120806	2.04992127401943	2.28699326515198	2	7.15744361829348	6.59544426035839	7.76728959474646
1988	1.74582540988922	0.0709353685379028	1.60677871607718	1.74582292590192	1.88494070977251	2.28699326515198	2	5.73062964219319	4.98672168086891	6.58596394713824
1989	3.96564292907715	0.038652777671814	3.88976328561933	3.96563752746511	4.04153089240396	2.28699326515198	2	52.7541756822958	48.8993099837412	56.9134044460136
1990	4.2652268409729	0.0383053831756115	4.19001457911977	4.26522557782151	4.34042477515169	2.28699326515198	2	71.1810649241771	66.0237535216038	76.740129716255
1991	3.82612347602844	0.0384081043303013	3.7507030443345	3.82612500684932	3.90151236690289	2.28699326515198	2	45.88432135474	42.5509867167987	49.4772202609377
1992	2.86509704589844	0.0392368212342262	2.78805923757887	2.86509797721335	2.94210172105825	2.28699326515198	2	17.5507563508619	16.2494528522623	18.9556439519031
1993	2.92863011360168	0.0391113720834255	2.85183966417775	2.92863029433952	3.00539322934659	2.28699326515198	2	18.701993334392	17.3196148255556	20.194155469448
