type,groupnr,typegroup_name
1310_zk,1,types van zeer nat milieu
1310_zv,1,types van zeer nat milieu
1320,1,types van zeer nat milieu
1330_da,1,types van zeer nat milieu
3270,1,types van zeer nat milieu
7140_base,1,types van zeer nat milieu
7140_meso,1,types van zeer nat milieu
7140_mrd,1,types van zeer nat milieu
7140_oli,1,types van zeer nat milieu
7210,1,types van zeer nat milieu
7230,1,types van zeer nat milieu
91E0_vc,1,types van zeer nat milieu
91E0_vm,1,types van zeer nat milieu
91E0_vo,1,types van zeer nat milieu
2190_mp,2,types van nat milieu
6430_mr,2,types van nat milieu
rbbmc,2,types van nat milieu
rbbmr,2,types van nat milieu
rbbms,2,types van nat milieu
1310_pol,3,types van matig nat milieu
1330_hpr,3,types van matig nat milieu
4010,3,types van matig nat milieu
rbbsm,3,types van matig nat milieu
6410_mo,3,types van matig nat milieu
6410_ve,3,types van matig nat milieu
6430_hf,3,types van matig nat milieu
6430_hw,3,types van matig nat milieu
rbbhc,3,types van matig nat milieu
rbbhf,3,types van matig nat milieu
rbbhfl,3,types van matig nat milieu
rbbzil,3,types van matig nat milieu
7150,3,types van matig nat milieu
91E0_sf,3,types van matig nat milieu
91E0_vn,3,types van matig nat milieu
rbbsf,3,types van matig nat milieu
rbbso,3,types van matig nat milieu
2160,4,types van vochtig milieu
2170,4,types van vochtig milieu
2180,4,types van vochtig milieu
2190_overig,4,types van vochtig milieu
6230_hmo,4,types van vochtig milieu
6510_hua,4,types van vochtig milieu
6510_hus,4,types van vochtig milieu
rbbvos,4,types van vochtig milieu
9130_end,4,types van vochtig milieu
9160,4,types van vochtig milieu
91E0_va,4,types van vochtig milieu
91F0,4,types van vochtig milieu
2130_had,5,types van droog milieu
2130_hd,5,types van droog milieu
6430_bz,5,types van droog milieu
rbbkam,5,types van droog milieu
9130_fm,5,types van droog milieu
9190,5,types van droog milieu
rbbppm,5,types van droog milieu
