vegetatietype_code;spoc;loc_code;jaaropname
6230,6410 - hm_min;kz001;ABEP042;2013
6230,6410 - hm_min;bg026;ABEP045;2013
6230,6410 - hm_min;kz002;ABEP045;2013
6410_mo - hm_min;kz003;ABEP046;2013
6230,6410 - hm_min;ni029;BORP001;2002
6410_mo - hme;bg002;DMLP002;2013
6410_mo - hme;bg002;DMLP025;2013
6230,6410 - hm_min;hd067;HHUP068;2012
6410_mo - hm_min;ni568;PABP004;2002
6410_mo - hmm;ni586;POMP004;2004
6230,6410 - hm_min;bg051;TIEP004;2013
6410_mo - hme;bg016;TORP003;2013
6410_mo - hme;ni739;TORP003;2004
6410_mo - hme;bg017;TORP006;2013
6410_mo - hme;ni742;TORP006;2004
6410_mo - hme;ni743;TORP007;2004
6410_mo - hme;bg018;TORP014;2013
6410_mo - hme_min;ni749;TORP017;2005
6410_mo - hme;ni750;TORP019;2005
6410_mo - hme;14_393;TORP020;2014
6410_mo - hme;bg019;TORP022;2013
6410_mo - hme;ni753;TORP022;2005
6410_mo - hme;ni759;TORP029;2005
6410_mo - hme;ni743;TORP036;2004
6410_mo - hme;ni743;TORS015;2004
6230,6410 - hm_min;ni764;TVGP018;2004
6410_mo - hm_min;bg319;VISP101;2013
6410_mo - hm_min;kz044;VOTP001;2013
6410_mo - hm_min;ni837;VOTP001;2004
6230,6410 - hm_min;hs007;VOTP017;2012
6230,6410 - hm_min;ni843;VOTP017;2004
6230,6410 - hm_min;hs007;VOTP018;2012
6230,6410 - hm_min;ni843;VOTP018;2004
6230,6410 - hm_min;ni804;VOTP021;2004
6410_mo - hmm;r00455;VRIP028;2001
6410_mo - hm_min;kz052;WALP107;2013
6230,6410 - hm_min;ni1044;ZOEP004;2002
6410_ve - hm_min;kz092;ZWAP221;2013
